Variable:,pr
Country:,"United Arab Emirates"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.57,19.07,13.40,8.37,2.61,1.17,1.93,2.37,0.78,0.62,1.35,6.99
1902,5.43,19.23,13.71,9.09,2.61,3.79,1.93,2.37,0.78,0.32,1.50,5.55
1903,4.72,18.42,15.33,7.12,3.14,1.17,1.93,2.37,0.78,0.32,4.72,5.08
1904,7.10,27.59,32.29,7.01,2.61,1.17,1.93,2.37,0.78,0.32,2.24,5.97
1905,5.96,25.80,27.06,7.01,2.71,1.55,1.93,4.00,0.78,0.32,1.32,11.27
1906,5.04,36.00,13.35,10.68,2.70,1.17,1.93,2.37,0.78,0.32,2.24,5.59
1907,5.47,17.73,16.78,7.64,2.61,1.17,1.93,2.37,0.78,0.32,1.30,5.78
1908,14.13,17.62,13.35,7.40,2.61,1.17,1.93,2.37,0.78,0.32,1.47,13.78
1909,7.15,17.73,17.50,7.06,2.73,1.17,1.93,2.37,0.78,0.32,1.30,11.24
1910,10.13,18.35,18.58,7.10,2.61,1.17,1.93,2.37,0.78,0.32,4.76,6.18
1911,9.71,20.71,13.65,23.11,2.61,1.17,1.93,3.03,0.78,0.32,2.24,10.61
1912,4.84,40.67,20.61,7.01,2.63,1.17,1.93,2.37,0.78,0.32,1.30,7.67
1913,5.16,26.99,14.63,7.41,2.70,1.55,4.21,4.00,0.78,0.62,1.90,8.70
1914,5.47,18.55,14.97,12.34,2.70,1.17,1.96,2.37,0.78,0.32,1.34,6.33
1915,12.68,24.54,15.63,22.49,2.70,1.17,1.96,3.03,0.78,0.62,1.34,5.21
1916,9.67,22.26,13.98,7.72,2.70,1.17,1.96,2.37,0.78,0.32,1.34,9.02
1917,5.23,18.34,17.30,8.64,2.70,1.17,1.96,2.37,0.78,0.32,1.34,11.40
1918,6.66,22.87,20.58,7.41,3.21,1.17,1.96,2.37,0.78,0.32,1.34,5.21
1919,5.38,21.24,14.31,7.41,2.70,1.17,1.96,2.37,0.78,0.32,2.10,5.21
1920,5.23,18.34,13.98,7.41,2.70,1.17,1.96,2.37,0.78,0.32,6.08,7.60
1921,5.38,19.58,13.98,7.41,2.70,1.17,1.96,2.37,0.78,0.32,1.34,5.21
1922,5.47,19.99,13.98,12.96,2.70,1.17,1.96,2.37,0.78,0.32,5.14,11.40
1923,5.16,19.58,13.98,7.41,2.70,1.17,1.96,2.37,0.78,0.32,1.34,8.23
1924,5.47,18.76,15.63,7.41,2.70,1.17,1.96,2.37,0.78,0.62,1.54,5.21
1925,6.89,18.34,16.94,8.33,2.70,1.17,1.96,2.37,0.78,0.32,1.34,10.31
1926,4.91,21.86,13.98,8.97,2.70,1.17,4.97,2.37,0.78,0.32,3.25,6.65
1927,8.38,29.15,13.52,7.01,2.61,1.17,1.93,2.37,0.78,0.32,1.90,8.67
1928,5.20,18.91,13.57,7.01,2.61,1.17,1.93,2.37,0.78,0.32,7.76,7.84
1929,6.53,17.93,13.83,8.16,2.61,1.17,1.93,2.37,0.78,0.32,1.30,5.72
