Variable:,pr
Country:,"American Samoa"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,458.50,477.50,175.80,272.80,84.50,223.00,28.00,14.60,30.10,88.40,228.50,108.30
1902,321.70,660.50,146.60,387.20,141.30,270.40,82.00,113.20,195.80,322.50,232.40,266.80
1903,594.50,593.00,244.40,518.90,199.30,127.20,116.90,123.60,221.80,152.50,169.00,260.40
1904,315.80,134.60,241.90,169.60,16.70,155.00,64.00,151.10,105.10,59.20,169.00,161.10
1905,129.60,133.70,417.80,146.20,197.10,164.30,83.00,136.20,107.20,93.20,307.40,256.70
1906,351.50,413.70,232.40,527.10,129.30,182.80,51.30,12.30,159.30,197.20,511.00,403.40
1907,874.10,508.00,509.60,368.80,279.10,249.80,49.20,146.50,362.50,136.90,326.90,406.10
1908,348.90,336.00,262.50,223.80,140.30,41.70,8.90,24.90,12.40,79.60,165.10,123.80
1909,88.80,191.90,459.90,353.50,227.70,113.80,36.40,100.60,139.50,190.40,323.90,576.40
1910,330.20,581.90,233.30,134.90,107.50,61.30,90.40,54.70,65.50,36.90,184.60,152.90
1911,159.40,208.50,221.30,405.60,211.30,139.60,22.70,68.50,99.90,247.70,105.70,102.80
1912,385.40,692.80,366.30,403.50,316.30,143.80,157.10,49.00,130.10,146.60,181.70,238.50
1913,151.70,307.40,186.90,286.10,200.40,277.60,148.70,133.90,207.20,311.80,239.20,245.80
1914,471.30,92.00,373.20,141.10,28.80,86.00,86.20,26.10,130.10,55.30,216.80,563.70
1915,363.40,347.20,403.20,271.80,405.90,328.10,121.10,150.00,207.20,116.50,252.80,622.00
1916,557.10,437.70,325.10,271.80,97.60,122.00,145.50,100.60,89.50,238.00,234.30,482.60
1917,269.90,715.90,168.00,114.50,47.30,119.00,35.40,72.00,119.70,89.30,128.10,501.70
1918,541.00,154.90,237.60,219.70,156.70,78.80,44.90,130.40,59.20,67.00,225.50,237.60
1919,299.60,273.20,251.30,244.20,198.20,193.10,164.50,388.50,63.40,388.50,482.70,287.70
1920,483.40,289.90,169.40,449.10,403.50,109.60,116.90,71.50,155.00,121.30,326.10,316.70
1921,505.70,211.00,263.30,148.50,386.30,130.60,47.00,156.70,264.40,273.60,366.10,563.20
1922,415.30,305.00,264.50,247.10,199.40,177.80,110.80,180.80,120.60,83.90,202.50,295.10
1923,393.70,338.90,228.60,222.60,167.50,267.70,261.90,160.20,106.20,206.10,260.80,378.00
1924,276.10,165.20,292.60,259.20,199.00,81.60,42.10,25.80,42.00,132.70,212.00,437.90
1925,247.80,240.20,353.00,144.60,40.50,157.80,126.10,115.00,93.00,176.20,358.70,515.90
1926,633.40,429.80,186.30,284.40,216.50,112.10,93.60,43.50,116.40,325.50,334.30,475.50
1927,473.40,519.40,353.10,304.00,186.60,37.10,239.30,179.80,217.10,194.80,361.10,257.20
1928,534.90,360.40,267.40,60.10,130.70,103.40,83.00,88.00,65.40,317.10,240.80,438.20
1929,231.50,453.40,164.70,275.20,101.00,95.40,27.30,10.00,95.10,102.00,298.40,419.20
1930,388.00,476.50,233.30,420.90,393.90,280.70,109.50,62.80,149.90,212.70,159.40,206.10
1931,456.80,330.60,326.00,358.40,109.40,44.20,70.30,179.00,161.50,163.30,480.90,346.30
1932,497.70,536.90,281.90,426.20,122.00,67.80,165.50,67.80,268.90,244.90,307.40,397.70
1933,339.20,279.30,469.50,199.20,194.40,54.20,214.20,37.10,268.40,136.60,353.90,476.30
1934,871.80,113.80,505.20,121.80,165.70,71.00,87.00,269.70,178.20,106.10,383.20,446.30
1935,341.20,286.00,248.70,221.50,217.90,116.10,106.30,231.40,127.80,317.20,200.40,265.40
1936,330.60,371.30,355.70,248.60,412.70,25.10,59.40,195.90,141.30,235.90,119.80,280.40
1937,474.80,310.80,257.00,175.50,248.20,102.70,162.50,153.90,67.70,237.30,810.10,473.70
1938,453.80,442.40,411.00,255.80,71.10,51.30,92.50,71.30,199.70,272.00,168.00,281.20
1939,92.10,331.20,319.90,215.70,142.70,204.10,48.60,100.70,102.40,183.20,95.20,197.70
1940,163.30,464.50,283.00,122.20,50.70,64.60,166.90,206.70,67.30,111.90,178.80,150.40
1941,221.30,321.80,191.30,222.60,133.30,156.20,176.50,82.40,190.70,274.50,243.40,484.90
1942,184.00,349.60,203.10,268.70,177.60,35.70,47.20,34.90,151.50,252.20,43.60,261.70
1943,458.80,215.30,200.90,430.40,132.20,97.00,65.30,78.30,424.60,303.30,155.30,172.30
1944,237.30,329.30,307.30,229.60,253.20,356.50,140.70,216.90,247.20,264.10,461.90,205.40
1945,461.80,374.90,265.40,221.00,346.20,167.40,174.20,204.00,103.90,177.20,207.70,357.00
1946,374.70,265.20,300.70,130.40,303.80,310.40,232.90,93.10,264.40,188.60,330.50,456.30
1947,393.50,556.80,91.40,330.50,288.00,79.80,84.80,90.40,64.80,380.60,388.20,775.30
1948,264.10,212.70,209.40,190.50,330.20,93.00,194.00,201.00,201.80,271.90,102.10,535.70
1949,388.50,496.70,587.40,207.10,430.60,293.60,168.30,132.50,118.90,202.00,180.70,766.70
1950,257.20,246.50,176.40,290.00,205.20,264.90,42.80,15.70,79.90,273.10,212.20,292.50
1951,276.10,275.00,293.80,321.20,204.20,124.80,66.80,58.00,151.40,211.60,60.60,252.50
1952,217.60,308.00,177.30,88.70,194.00,62.00,278.10,22.80,25.20,257.40,238.70,155.80
1953,235.30,227.30,603.20,285.10,178.30,207.20,152.50,279.60,119.80,327.30,414.60,440.50
1954,426.80,325.60,530.20,92.00,306.40,91.70,115.00,312.80,311.40,266.10,192.40,432.50
1955,491.30,493.10,478.10,167.70,32.00,263.80,71.70,53.20,69.50,103.40,335.20,294.50
1956,359.40,402.50,207.40,228.80,157.10,182.80,155.80,27.60,110.00,146.70,287.00,299.60
1957,162.40,257.00,348.60,170.70,164.40,240.60,101.00,204.10,78.60,188.90,330.60,197.60
1958,355.50,498.20,228.60,167.30,195.80,51.00,129.30,157.40,269.80,308.30,352.60,669.30
1959,389.50,331.40,275.70,121.60,230.30,202.10,180.00,145.10,55.60,151.20,350.90,334.10
1960,293.40,266.30,714.70,148.20,157.10,244.40,51.90,158.30,148.40,257.90,325.30,193.10
1961,405.50,347.80,251.00,177.20,220.30,135.90,216.90,319.90,132.20,309.30,335.00,490.90
1962,351.30,244.30,441.00,295.90,137.30,126.80,58.70,118.30,118.00,219.40,160.00,187.40
1963,368.60,272.10,253.80,315.70,242.80,236.00,223.20,150.50,367.60,164.30,285.80,357.00
1964,285.00,368.50,185.10,258.40,300.60,224.60,71.10,53.60,86.30,335.20,30.10,169.60
1965,466.50,123.10,379.00,272.60,235.30,249.40,146.40,163.10,197.90,330.10,153.80,342.20
1966,244.10,257.30,211.10,530.50,201.60,231.70,198.90,303.80,128.60,368.10,287.90,365.10
1967,241.00,608.90,345.90,305.70,144.00,125.80,78.80,180.30,200.30,382.00,107.30,116.90
1968,437.90,326.40,300.10,270.30,112.50,57.30,196.00,175.80,90.10,123.80,195.10,320.70
1969,291.30,232.70,540.50,322.00,181.10,244.30,99.30,151.70,188.10,130.60,282.70,765.00
1970,343.10,343.20,211.10,334.20,201.00,186.60,63.40,92.50,204.50,158.30,240.60,233.00
1971,499.90,223.10,303.40,217.00,86.50,72.50,130.50,137.90,546.20,305.70,185.40,589.70
1972,512.90,259.20,130.20,269.80,158.80,110.40,151.20,283.00,295.30,476.50,601.40,456.00
1973,290.00,336.00,308.20,312.50,156.90,243.20,29.70,26.10,76.20,253.40,448.50,365.10
1974,748.60,274.30,211.10,341.10,335.70,115.10,243.70,100.20,162.60,138.10,168.60,337.50
1975,380.20,361.50,155.50,233.10,315.50,158.90,190.80,62.00,56.40,59.50,231.50,531.40
1976,281.00,208.30,374.90,102.10,238.00,99.80,63.70,52.10,69.10,169.00,229.10,138.50
