Variable:,pr
Country:,Austria
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,67.47,76.13,97.53,51.67,144.51,136.92,148.56,112.39,79.92,103.82,12.67,105.58
1902,74.43,38.95,48.73,123.36,62.04,109.19,210.20,142.67,111.08,139.64,135.71,77.93
1903,24.38,106.28,76.29,104.11,112.72,129.03,74.53,124.92,155.29,126.73,102.92,86.97
1904,71.37,87.01,91.84,90.53,99.21,89.15,103.85,192.31,78.28,118.89,161.93,28.19
1905,55.97,73.89,100.08,85.33,106.56,155.00,183.16,107.36,150.97,51.33,112.41,105.13
1906,95.11,36.69,83.67,156.42,94.43,108.83,167.96,119.17,70.00,108.59,35.78,97.91
1907,32.73,77.49,48.71,136.48,88.09,104.64,116.92,145.15,85.03,18.73,43.91,47.90
1908,43.96,99.55,88.74,62.20,93.49,129.93,154.37,172.86,110.46,80.12,62.94,120.10
1909,138.93,93.56,43.12,116.91,149.26,198.69,175.78,160.78,117.43,54.17,156.08,67.78
1910,31.40,55.32,74.63,76.10,134.13,135.17,57.16,88.17,98.82,107.12,66.57,116.51
1911,67.91,64.32,99.25,85.45,161.41,124.98,156.11,154.14,162.51,112.83,79.61,36.78
1912,61.22,20.47,55.89,71.86,94.50,143.09,199.00,138.38,139.20,56.10,175.88,114.14
1913,64.77,31.87,127.05,74.61,158.83,115.39,248.71,86.43,132.52,68.96,50.36,73.35
1914,133.80,72.88,98.47,69.08,68.23,123.52,188.90,146.98,99.25,122.90,87.29,80.19
1915,88.60,97.34,98.09,134.07,83.44,157.97,160.72,121.34,181.69,68.57,119.10,124.46
1916,125.05,21.63,79.87,135.72,38.59,62.70,126.89,125.60,55.66,178.70,76.47,63.19
1917,34.58,45.08,44.20,89.40,77.03,176.81,171.00,172.54,123.62,111.24,34.36,164.19
1918,93.28,39.36,70.56,135.54,83.00,155.70,167.08,89.96,80.19,118.43,141.91,105.83
1919,111.97,26.74,46.66,93.71,134.97,132.88,183.73,160.79,134.33,14.45,11.90,97.29
1920,93.85,50.37,16.33,142.56,76.00,135.77,89.14,111.25,59.87,67.73,55.14,45.02
1921,104.48,55.68,82.80,122.32,78.96,123.20,124.93,124.24,202.98,135.86,90.70,72.37
