Variable:,pr
Country:,"Bosnia and Herzegovina"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,41.96,110.92,137.33,109.77,154.39,121.51,56.14,34.23,122.40,190.50,56.27,66.53
1902,41.73,37.47,59.96,129.39,87.63,96.11,104.03,31.85,42.34,128.91,136.09,141.55
1903,68.43,96.33,93.02,53.61,62.47,77.82,40.88,71.55,98.62,158.94,70.64,73.54
1904,54.89,92.85,73.81,113.01,87.09,121.80,61.45,39.06,79.81,215.93,178.53,25.70
1905,89.37,83.68,73.04,50.88,95.16,140.42,91.07,72.12,129.03,56.46,92.52,186.21
1906,78.06,74.77,33.21,158.35,78.22,79.72,71.38,28.76,48.30,93.46,81.19,164.07
1907,91.59,91.86,89.25,141.64,25.56,46.75,84.30,80.82,39.10,54.92,142.16,104.68
1908,60.43,44.62,113.38,68.12,138.07,78.96,66.44,138.96,157.68,103.47,147.22,119.11
1909,111.99,92.82,49.59,139.92,118.51,117.85,145.76,70.16,173.58,134.57,166.38,102.66
1910,64.13,40.50,20.15,93.42,165.18,97.13,53.75,60.33,119.06,102.41,68.36,95.99
1911,98.86,66.82,119.20,145.88,101.87,72.34,69.78,85.17,130.64,100.05,113.70,68.61
1912,65.72,40.50,20.56,74.73,127.70,124.93,194.17,126.99,128.77,40.50,67.89,126.20
1913,61.78,29.46,139.63,52.57,98.78,112.74,135.94,36.23,110.28,116.28,109.57,123.03
1914,170.01,124.58,103.53,94.29,97.63,173.09,212.34,115.73,113.03,240.83,118.95,110.21
1915,34.79,55.79,112.64,77.28,84.97,31.36,74.62,110.69,155.03,171.21,121.47,172.90
1916,124.89,47.86,100.65,76.23,36.94,26.34,73.79,57.10,41.71,152.01,161.45,116.18
1917,48.34,14.29,50.93,77.89,96.18,108.12,75.11,102.56,39.16,157.82,53.40,111.78
1918,89.56,70.13,88.62,144.20,137.32,73.07,136.67,47.38,82.68,144.12,185.93,82.59
1919,96.07,27.52,71.10,81.97,58.48,151.17,104.50,82.42,60.73,70.86,36.76,124.31
1920,47.10,56.55,22.38,117.41,111.53,182.18,41.27,78.87,20.20,35.74,125.75,62.19
1921,107.85,101.78,106.98,139.37,45.99,91.35,34.98,16.70,185.15,209.29,85.69,49.56
1922,88.70,105.88,57.76,92.76,68.22,146.40,54.93,73.24,58.82,105.07,220.59,136.60
1923,78.13,124.05,61.39,153.78,80.46,127.99,101.96,100.53,101.01,115.12,29.12,48.66
1924,16.38,89.50,63.16,98.98,114.18,137.47,77.39,78.68,169.56,77.96,256.22,138.98
1925,87.90,33.86,54.03,86.18,128.40,193.00,172.45,73.71,53.42,86.58,115.83,164.48
1926,112.59,21.31,114.14,33.07,99.20,60.80,52.62,95.41,122.44,106.37,112.60,157.86
1927,19.35,34.16,89.67,100.61,143.22,55.32,20.05,44.13,143.95,124.56,127.53,79.38
1928,102.54,54.84,11.42,114.80,103.98,124.27,25.55,117.43,61.77,127.36,166.27,61.47
1929,63.01,108.77,67.60,107.49,102.87,86.19,128.98,79.39,65.14,142.32,54.14,105.02
1930,75.39,87.32,93.68,119.31,69.01,41.65,63.51,37.36,160.35,130.84,118.45,56.80
1931,32.21,48.00,131.63,135.40,88.77,79.71,125.13,38.36,27.95,198.25,93.29,70.31
1932,80.91,91.23,58.76,78.87,151.31,87.48,59.09,40.80,59.24,131.13,156.72,158.97
1933,67.01,16.90,85.27,42.59,93.31,143.14,101.12,106.86,121.53,91.56,140.56,86.14
1934,73.50,96.79,52.06,71.81,53.07,36.31,39.94,84.72,52.87,112.83,99.88,154.62
1935,68.13,159.77,67.23,81.32,100.04,108.26,67.37,43.75,139.75,183.78,58.42,56.73
1936,89.37,84.78,123.95,161.55,78.70,115.55,79.26,153.88,140.50,130.46,183.10,172.68
1937,70.53,61.76,28.50,70.88,124.21,36.95,72.08,132.05,88.16,96.89,53.33,75.57
1938,72.41,26.36,112.45,36.13,199.45,112.79,38.09,71.60,108.64,190.72,90.58,107.33
1939,98.56,92.10,45.20,78.04,133.64,119.08,113.87,112.02,87.48,230.52,154.32,80.77
1940,83.74,133.20,54.94,83.18,129.12,119.04,82.10,81.47,92.93,175.65,126.53,88.58
1941,115.74,170.15,67.40,105.89,87.61,88.98,85.66,25.04,37.42,61.26,115.59,51.24
1942,105.34,55.53,33.86,37.95,120.24,140.51,83.63,17.58,96.36,49.31,189.33,127.23
1943,44.06,82.53,79.12,64.93,37.62,117.96,94.65,59.94,146.35,203.57,154.67,90.40
1944,144.49,10.72,21.51,67.52,46.42,35.82,36.28,48.04,125.40,55.80,112.14,121.94
1945,55.24,63.34,26.69,34.15,75.89,41.89,36.77,48.77,18.40,143.55,205.41,93.40
1946,59.39,118.69,64.54,32.78,79.01,98.78,62.26,59.30,18.30,90.08,69.88,130.61
1947,114.94,70.00,9.71,106.61,77.43,167.95,102.31,48.43,83.87,114.60,89.81,12.30
1948,60.46,11.97,86.42,19.72,136.48,157.65,48.57,49.78,54.49,48.23,179.56,95.43
1949,66.63,75.39,39.75,94.17,27.18,23.93,41.59,20.69,91.09,126.13,140.26,189.05
1950,75.69,130.42,105.68,81.01,96.40,109.45,114.49,49.53,85.69,64.97,117.72,75.36
1951,111.82,65.10,34.46,33.91,73.02,46.51,40.25,29.15,139.30,149.58,163.19,219.83
1952,59.91,87.10,12.61,67.07,148.19,137.19,103.76,103.35,48.80,46.01,22.64,57.66
1953,75.10,61.29,91.14,91.78,169.07,112.91,62.78,58.48,76.59,91.60,101.46,102.44
1954,64.76,159.45,89.62,56.33,71.10,84.81,151.68,116.57,121.95,191.34,98.47,97.21
1955,77.14,89.08,42.31,71.69,128.73,148.63,76.74,47.97,14.37,70.89,128.54,84.54
1956,59.29,71.46,12.98,90.46,168.34,40.62,129.42,102.30,90.78,85.84,76.22,64.03
1957,70.43,76.21,112.00,139.34,41.10,91.19,62.91,35.38,47.63,95.61,112.67,143.07
1958,105.67,23.61,54.62,90.57,122.67,165.63,70.40,149.24,64.16,55.76,97.44,221.85
1959,83.97,92.76,75.97,92.14,51.63,73.88,134.40,35.89,120.03,142.23,165.05,121.83
1960,54.85,42.99,27.81,102.94,147.19,87.42,108.72,27.12,17.35,127.67,149.32,77.13
1961,74.38,86.10,154.45,108.49,48.09,63.67,80.78,10.90,59.74,38.57,231.14,87.07
1962,134.49,102.62,52.03,68.91,83.77,82.59,97.28,128.84,93.16,56.07,76.12,161.45
