Variable:,pr
Country:,"Central African Republic"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,8.08,15.69,59.89,96.30,143.60,167.08,207.09,230.30,217.01,166.28,37.67,9.58
1902,8.08,15.69,59.89,96.30,143.60,167.08,207.09,230.30,217.01,166.28,37.67,9.58
1903,7.80,15.29,59.32,93.85,144.56,167.32,204.42,227.86,213.28,162.76,37.37,9.16
1904,7.80,15.29,57.86,94.11,142.28,167.52,203.96,233.42,215.91,163.40,37.67,9.16
1905,7.80,15.69,61.70,93.55,142.48,167.53,203.12,229.78,215.17,165.48,35.97,9.07
1906,8.59,19.55,58.04,98.05,147.42,165.44,197.78,223.51,216.19,166.75,45.11,9.16
1907,9.00,18.31,56.67,96.11,117.60,140.51,233.49,230.41,229.19,170.31,37.63,8.99
1908,12.03,16.72,52.99,119.71,133.06,167.19,206.12,220.83,268.53,162.08,56.30,10.36
1909,6.65,16.87,38.73,89.25,136.89,163.01,197.65,232.53,201.12,160.36,39.53,7.35
1910,6.52,20.35,53.64,89.10,164.92,150.96,192.35,212.04,174.12,161.11,31.63,9.71
1911,8.74,16.40,60.38,83.90,138.10,161.90,217.11,236.23,218.68,152.14,36.24,7.68
1912,6.38,11.72,32.98,124.40,147.55,129.68,171.58,195.07,173.64,172.55,21.63,5.46
1913,17.85,9.69,63.84,101.29,143.73,155.57,209.71,245.30,210.19,169.29,62.19,10.56
1914,8.55,18.98,58.38,85.75,123.63,160.75,195.89,214.48,214.83,164.37,48.70,8.62
1915,7.38,26.08,46.78,108.59,143.20,177.02,191.79,198.29,225.96,177.27,35.55,10.08
1916,8.53,16.75,55.54,104.35,142.57,155.43,206.41,221.82,219.50,160.75,55.83,13.07
1917,8.57,16.74,61.22,89.83,129.95,174.44,203.07,195.35,225.06,162.47,60.03,10.89
1918,14.85,12.04,39.58,94.17,172.13,138.89,205.01,258.37,203.13,156.01,57.53,10.54
1919,7.11,14.40,57.77,99.80,156.03,173.96,216.85,225.77,226.89,169.87,35.92,9.16
1920,7.16,14.35,54.05,118.68,165.44,163.33,209.27,233.39,214.60,168.32,41.32,9.91
1921,6.88,15.82,53.08,94.66,150.12,170.92,208.55,244.71,229.28,185.53,36.81,9.52
1922,7.20,18.60,66.76,97.79,145.89,161.32,224.39,221.50,229.45,158.81,37.13,9.48
1923,7.36,15.90,69.14,103.27,138.50,157.31,201.97,234.49,224.71,178.44,39.57,9.65
1924,7.13,14.35,62.67,100.15,141.51,167.28,196.98,219.95,207.86,166.09,42.76,10.71
1925,6.78,19.04,56.70,99.88,132.89,171.15,209.72,243.28,224.80,160.31,32.76,8.65
1926,4.64,14.18,67.77,78.01,144.12,174.67,200.24,206.76,183.46,176.51,33.76,10.50
1927,5.19,8.34,41.99,151.26,157.55,237.52,176.16,238.58,203.54,149.53,32.41,6.12
1928,4.61,9.89,50.58,86.27,216.68,134.36,193.13,228.57,231.32,140.25,33.08,7.87
1929,4.65,21.37,54.38,95.70,150.50,138.39,169.64,242.31,210.20,133.87,37.74,13.31
1930,5.86,14.35,49.40,86.73,148.34,197.87,183.45,253.29,227.24,144.93,39.22,7.08
1931,6.32,27.38,101.74,73.90,135.11,122.90,169.64,228.78,229.62,175.32,59.54,2.88
1932,18.30,32.68,80.90,67.20,172.22,152.93,209.03,265.48,238.11,174.85,84.38,21.50
1933,7.05,19.27,44.80,103.96,184.57,174.73,218.17,259.72,207.93,160.50,39.27,8.39
1934,10.52,25.21,92.69,76.41,114.21,209.77,197.38,237.09,199.30,174.46,24.94,21.50
1935,2.37,20.71,94.60,82.84,144.75,163.94,188.86,247.17,207.94,203.88,39.25,18.54
1936,4.80,19.72,46.77,105.90,146.07,143.75,202.83,210.71,204.78,175.70,18.98,11.78
1937,11.42,26.40,27.96,100.81,139.70,179.42,205.97,220.81,242.76,181.44,31.90,9.91
1938,9.09,30.77,73.49,112.16,142.33,162.73,192.02,231.67,245.04,223.62,66.84,9.87
1939,14.48,25.95,33.62,102.76,139.65,181.57,215.12,218.85,191.03,165.62,48.75,11.55
1940,1.61,14.75,58.98,97.18,210.14,174.79,199.02,245.77,177.19,161.87,77.77,4.21
1941,12.17,27.50,56.59,84.54,215.95,138.95,230.67,264.47,218.53,142.74,27.93,18.19
1942,10.36,6.80,62.44,66.24,164.42,153.36,214.03,243.63,250.61,203.88,51.11,11.04
1943,9.32,24.29,137.30,83.12,137.64,121.67,168.51,244.75,216.50,179.86,27.15,12.76
1944,18.84,11.78,27.49,64.13,165.23,169.03,206.92,239.31,243.44,184.07,40.31,13.58
1945,12.97,14.83,34.12,88.79,123.49,176.91,238.42,267.45,250.33,226.76,55.57,10.31
1946,3.31,29.10,42.01,131.06,166.52,179.58,228.08,250.69,225.45,158.74,47.32,26.41
1947,11.50,32.89,35.46,115.28,140.70,173.34,204.59,275.96,202.43,155.03,50.17,12.53
1948,7.10,10.69,49.78,54.33,186.52,148.03,206.77,227.89,225.21,170.93,46.32,6.69
1949,8.83,9.83,53.44,108.34,191.42,163.35,240.78,271.06,224.81,168.38,45.74,6.04
1950,4.65,15.97,63.85,48.97,164.13,145.98,193.12,262.39,234.64,239.01,23.72,0.53
1951,7.12,31.67,58.14,91.58,131.60,178.08,219.14,246.65,240.61,195.76,41.58,12.87
1952,9.57,28.36,69.96,68.87,186.27,153.19,199.19,227.43,191.57,166.12,56.67,3.93
