Variable:,pr
Country:,"Cote d'Ivoire"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,10.60,37.38,82.60,123.11,166.72,214.75,155.52,164.68,193.40,129.63,60.84,23.62
1902,12.65,38.98,81.19,119.52,162.60,215.42,157.95,162.39,192.87,130.23,63.09,24.66
1903,11.35,36.77,81.24,117.32,163.96,214.32,155.46,163.55,195.61,130.69,59.54,24.19
1904,10.08,33.55,76.54,135.16,190.15,200.32,171.68,178.01,186.87,119.78,54.66,18.50
1905,24.53,42.79,57.66,156.04,240.57,225.18,158.89,179.37,225.66,164.24,74.79,26.28
1906,8.45,27.89,76.90,130.95,209.06,184.32,135.24,108.42,227.56,207.92,100.07,18.31
1907,21.17,27.81,66.93,111.10,224.33,195.34,186.82,128.86,238.25,113.97,66.38,19.71
1908,17.00,47.86,88.38,155.89,198.12,230.04,158.55,202.10,252.84,182.25,75.69,46.06
1909,6.03,28.83,148.65,106.83,185.60,219.30,190.50,215.76,226.68,124.01,38.17,18.26
1910,7.34,75.79,116.25,168.34,240.82,178.65,234.23,240.62,197.56,166.19,103.98,29.13
1911,10.16,34.21,54.25,77.92,210.16,380.54,230.67,138.18,169.21,91.39,41.39,9.41
1912,10.82,33.10,56.61,125.55,179.43,196.44,176.85,234.16,208.30,103.04,87.39,30.01
1913,6.35,19.53,77.75,143.30,172.76,166.77,78.95,122.27,218.06,223.62,74.15,10.78
1914,3.38,54.11,120.99,94.64,202.69,331.61,161.87,164.88,158.05,116.82,113.56,17.33
1915,10.19,38.11,66.24,74.67,121.12,308.84,274.80,156.15,220.14,112.07,46.13,12.95
1916,10.56,44.57,74.90,106.24,166.06,214.84,155.49,181.92,238.49,126.68,79.49,27.35
1917,11.52,19.54,60.73,120.97,137.88,177.19,166.76,169.54,206.42,166.40,73.41,21.82
1918,12.04,37.46,84.48,126.49,184.55,217.04,109.29,89.37,169.79,91.95,35.69,14.35
1919,14.37,27.95,51.79,137.52,169.01,223.11,151.62,102.74,135.53,74.96,128.48,18.06
1920,5.37,34.34,68.84,111.27,150.14,184.89,157.69,218.26,189.75,143.86,85.86,13.03
1921,15.38,34.58,74.20,136.86,137.23,180.37,81.33,132.98,220.44,236.42,120.89,20.13
1922,24.04,37.50,86.76,135.24,195.89,188.55,156.87,109.98,190.72,145.81,77.26,11.18
1923,22.55,61.96,81.07,144.86,196.81,282.92,152.15,108.02,299.31,134.39,69.54,22.30
1924,3.64,14.35,110.53,140.64,152.18,236.31,225.65,155.63,249.95,142.01,97.68,7.82
1925,13.56,21.50,110.52,98.05,211.63,240.66,130.31,156.38,271.32,103.54,73.87,17.70
1926,12.28,28.18,68.69,145.02,189.16,248.76,145.77,109.77,247.96,252.61,75.87,30.84
1927,12.30,21.25,105.70,112.59,164.22,232.29,182.23,210.44,238.50,199.92,44.98,29.20
1928,4.15,47.31,114.94,98.38,173.23,325.87,158.25,138.60,237.80,152.99,95.43,8.16
1929,17.63,33.95,90.77,98.03,217.67,250.31,131.13,114.19,237.87,139.23,92.35,19.72
1930,24.47,56.24,80.30,157.33,245.33,244.01,145.71,193.67,233.79,146.01,70.15,25.93
1931,9.74,82.78,119.58,122.19,207.83,146.07,98.91,115.64,215.71,153.20,72.93,21.92
1932,17.57,47.74,100.98,132.35,170.43,272.08,235.27,253.69,163.85,108.74,139.88,49.53
1933,5.16,12.52,113.45,106.15,133.52,216.29,167.09,180.14,191.61,150.75,33.39,18.82
1934,19.11,12.97,87.80,145.94,158.98,214.63,153.73,177.60,217.74,173.58,74.47,14.47
1935,11.51,80.28,69.40,148.99,222.66,184.38,95.02,83.29,235.40,137.79,103.58,17.93
