Variable:,pr
Country:,Colombia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,154.45,105.98,200.14,240.31,269.05,254.60,221.74,225.46,220.87,240.78,208.50,128.45
1902,111.57,107.63,144.81,238.36,286.98,340.83,220.06,318.11,219.90,233.03,227.14,159.93
1903,124.89,124.22,200.55,283.64,315.09,251.02,259.33,227.69,215.88,270.25,177.41,122.38
1904,124.36,95.68,150.34,249.05,294.50,273.96,243.71,210.33,272.30,266.85,243.77,176.35
1905,99.69,118.17,156.14,284.30,307.72,312.54,283.24,238.79,190.41,259.53,201.84,141.12
1906,112.07,135.71,228.65,286.53,294.13,297.98,313.06,237.77,245.31,255.37,201.30,141.60
1907,137.47,113.00,187.21,237.98,262.11,258.36,275.20,264.99,253.56,328.23,215.99,169.15
1908,114.77,150.21,133.59,251.68,334.09,306.86,344.35,266.18,219.66,254.62,199.26,133.76
1909,150.99,115.91,227.48,232.11,388.81,317.46,263.54,230.78,247.52,305.25,193.68,166.66
1910,112.30,139.97,168.63,281.89,300.11,299.96,268.04,212.27,185.62,245.15,207.88,137.45
1911,114.11,110.74,150.79,238.50,271.19,262.98,286.95,339.76,231.25,271.80,240.32,165.00
1912,106.88,107.81,164.62,303.10,309.66,278.04,234.61,217.55,347.97,276.96,232.75,153.49
1913,107.90,105.97,136.13,280.17,247.35,254.99,232.74,235.72,193.82,274.57,248.09,162.24
1914,123.11,141.36,136.07,258.52,315.82,326.90,296.68,339.47,215.96,281.19,206.07,133.36
1915,119.50,112.95,189.68,259.52,252.66,355.53,281.18,264.36,214.84,284.67,208.22,139.92
1916,142.51,120.26,178.98,299.05,375.10,299.17,302.36,313.17,226.01,240.21,235.79,152.92
1917,119.01,117.36,179.97,302.38,316.06,261.01,251.71,203.28,208.71,274.75,254.76,118.76
1918,124.37,102.40,148.61,249.14,285.64,277.15,299.22,260.85,276.46,222.56,212.47,158.16
1919,101.44,118.70,154.17,214.39,362.41,276.46,350.82,237.55,252.05,308.35,169.87,140.86
1920,136.35,132.10,247.92,265.00,374.76,308.71,321.16,229.47,261.06,299.69,187.20,170.76
1921,100.14,132.11,232.63,215.63,304.52,379.75,248.88,209.00,211.84,247.44,213.81,161.25
1922,92.93,96.61,160.67,220.93,290.28,273.22,270.62,254.58,185.77,239.62,175.15,150.50
1923,93.22,88.61,149.73,205.32,274.39,313.99,305.65,216.74,237.90,280.63,279.83,166.47
1924,113.87,134.22,218.54,314.74,258.69,272.70,291.53,262.14,255.15,212.29,211.25,121.66
1925,82.91,94.79,137.71,181.54,271.52,343.77,271.46,266.22,208.32,295.68,216.88,166.19
1926,137.64,124.03,177.50,248.04,330.58,301.87,313.99,262.43,269.18,252.79,224.94,134.15
1927,114.57,129.28,186.27,245.73,318.01,306.13,307.24,244.28,237.61,231.23,269.82,174.45
1928,94.06,84.28,182.81,269.95,337.32,294.02,276.99,209.03,223.84,245.92,183.25,114.74
1929,125.97,118.36,163.37,247.02,243.19,334.02,273.59,219.01,190.78,275.78,174.46,120.41
1930,103.92,107.00,150.14,224.71,309.79,332.94,336.38,210.59,238.40,262.95,235.43,160.74
1931,146.23,125.74,132.18,215.30,288.77,279.94,273.00,251.00,241.88,278.26,225.89,163.41
