Variable:,pr
Country:,Comoros
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,301.68,235.23,219.36,237.01,157.68,131.93,113.06,94.14,32.84,61.84,86.06,185.25
1902,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1903,301.67,236.48,219.52,237.57,157.12,132.24,113.19,95.14,32.98,62.27,87.03,186.24
1904,300.27,235.78,218.66,236.98,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1905,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1906,282.48,180.45,183.19,216.65,154.58,76.73,161.83,72.77,22.41,26.19,87.30,185.82
1907,331.55,302.07,172.28,198.47,132.13,53.12,113.61,96.27,32.85,61.88,86.75,186.22
1908,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1909,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,84.92,185.66
1910,300.41,235.91,219.41,239.47,160.60,132.12,113.48,94.45,32.71,61.70,85.19,185.66
1911,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1912,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1913,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1914,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1915,301.58,271.81,229.83,300.54,311.06,132.64,125.16,97.26,50.57,42.86,132.24,235.51
1916,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1917,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1918,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1919,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1920,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1921,300.14,237.91,218.50,235.99,157.97,133.22,113.31,94.41,32.99,61.59,85.75,185.96
1922,301.67,236.48,219.52,237.57,158.57,133.10,113.90,95.00,33.00,62.00,85.62,186.24
1923,302.53,235.65,217.91,236.10,157.19,133.21,112.90,93.96,32.62,61.52,85.04,184.80
1924,399.05,212.57,218.58,239.31,180.72,91.58,84.37,65.28,27.08,43.32,85.87,186.38
1925,301.37,235.73,218.42,236.20,156.94,131.66,112.72,97.63,32.73,61.64,85.99,186.50
1926,302.59,236.38,218.87,239.06,157.27,131.66,113.12,93.96,32.62,61.46,85.22,186.97
1927,302.71,236.33,219.42,236.80,157.33,133.20,112.72,94.41,34.48,62.35,85.14,186.74
1928,302.12,237.66,218.53,236.85,157.48,132.28,113.09,99.25,33.27,61.91,85.08,185.43
1929,301.40,236.12,218.71,236.48,160.65,132.46,113.09,94.28,32.73,61.55,85.44,185.88
1930,302.71,237.17,220.18,237.78,157.20,132.24,112.72,94.84,32.62,61.66,86.75,186.39
1931,302.20,238.04,219.09,238.17,157.12,132.40,113.03,94.70,33.30,61.85,85.08,186.38
1932,396.64,280.62,191.57,131.70,69.20,158.25,109.41,155.78,37.07,33.75,56.08,185.05
1933,417.62,271.03,155.35,217.23,236.99,247.31,123.10,161.38,40.02,58.05,64.25,180.86
1934,278.99,256.88,153.92,206.55,98.17,100.72,74.43,61.98,23.65,39.05,66.09,175.63
1935,276.25,153.06,231.15,284.98,107.20,72.56,57.05,65.71,17.81,26.39,68.87,221.56
1936,500.74,297.74,259.35,138.12,108.38,229.82,49.75,60.68,27.77,33.60,64.47,176.99
1937,248.77,171.86,258.93,260.21,100.86,53.88,113.10,79.65,28.54,38.54,66.29,140.77
1938,291.05,238.64,214.73,284.21,179.31,54.62,95.27,84.71,59.75,70.30,66.01,137.38
1939,364.58,207.72,354.45,107.38,94.65,326.68,175.67,71.97,14.58,72.99,68.26,145.71
1940,479.89,192.92,165.56,144.17,82.33,225.99,125.29,55.37,15.96,63.36,71.77,146.39
1941,210.23,220.05,152.73,267.94,146.65,94.78,102.97,87.63,62.11,85.73,59.04,203.79
1942,414.55,160.92,144.44,191.14,158.77,212.61,92.79,81.36,20.58,39.07,54.66,148.07
1943,285.90,177.80,203.24,130.11,108.83,95.36,65.79,80.87,24.40,33.99,110.35,182.37
1944,360.13,230.67,218.59,202.66,175.03,54.97,43.88,34.02,25.46,25.04,90.11,161.39
1945,294.40,109.72,154.37,310.33,77.29,76.72,89.83,81.87,54.05,43.52,60.61,200.21
1946,267.89,250.29,274.66,196.79,125.35,125.77,45.80,65.16,55.09,121.93,57.70,156.97
1947,279.17,178.49,263.12,187.81,97.63,148.62,179.31,46.78,58.30,40.40,82.66,157.52
1948,248.87,267.56,200.08,185.96,185.45,153.89,136.06,83.78,28.25,44.69,56.25,165.01
1949,296.80,298.56,227.96,172.74,88.67,113.98,76.53,60.47,16.65,60.18,82.65,157.25
1950,287.48,230.30,190.91,194.27,102.59,89.36,99.69,100.10,81.66,30.70,119.08,186.48
1951,244.04,258.48,154.67,309.12,146.99,149.24,74.81,149.36,37.10,59.58,69.43,148.78
1952,218.78,166.73,250.98,204.29,84.79,88.47,51.31,120.59,52.73,32.35,56.43,221.58
1953,298.27,295.49,164.15,261.12,114.68,61.02,81.60,52.73,33.35,45.73,61.68,164.86
