Variable:,pr
Country:,Egypt
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,7.62,3.39,2.85,3.89,2.90,2.14,2.89,3.00,1.48,1.70,2.94,4.06
1902,5.06,3.49,5.12,2.76,2.70,1.87,2.88,3.01,1.52,1.73,1.92,3.32
1903,6.93,5.03,2.30,4.65,4.15,1.87,2.88,3.00,1.48,1.92,3.79,7.02
1904,4.68,3.82,5.46,4.87,2.55,1.87,2.88,3.00,1.40,2.24,2.12,8.14
1905,3.37,2.82,3.21,3.05,6.64,2.14,2.87,2.99,1.40,4.35,2.34,1.85
1906,8.63,3.75,4.58,3.37,2.50,2.14,2.89,3.02,1.36,3.21,3.96,2.78
1907,12.69,5.10,6.67,5.50,2.73,2.32,2.85,2.97,1.34,2.77,3.43,4.62
1908,5.68,2.58,2.51,5.60,3.17,1.79,2.85,2.97,1.42,2.53,2.26,3.69
1909,5.44,2.01,5.87,3.61,3.44,1.79,2.85,3.04,1.42,1.27,3.00,2.46
1910,6.39,6.22,3.64,3.71,2.56,1.79,2.99,2.97,1.40,3.72,3.51,5.47
1911,3.96,5.95,2.84,2.49,3.62,1.79,2.86,3.00,1.38,1.62,2.62,5.77
1912,2.21,5.30,3.17,2.60,6.75,1.79,2.86,2.97,1.39,4.20,3.73,5.14
1913,2.14,3.96,2.62,5.93,2.80,1.81,2.90,3.03,1.48,1.32,3.59,6.51
1914,3.33,2.89,3.88,3.08,2.98,1.79,2.85,2.96,1.42,1.17,1.89,3.09
1915,10.42,5.37,5.48,3.49,2.57,1.83,2.86,2.98,1.42,2.33,4.22,4.74
1916,9.32,7.11,2.87,2.67,3.01,1.83,2.85,2.96,1.73,1.97,3.25,6.10
1917,3.81,4.87,6.42,5.45,4.14,1.83,2.85,2.98,1.74,5.11,4.61,3.87
1918,8.84,1.77,2.25,2.91,4.36,1.79,2.85,2.96,1.38,1.69,3.27,4.95
1919,3.77,7.04,6.96,3.82,3.16,1.79,2.85,3.00,1.36,1.16,2.73,6.98
1920,7.34,3.75,6.46,2.77,8.38,2.07,2.87,3.01,1.34,1.39,2.29,7.38
1921,4.85,2.12,4.41,2.38,4.04,1.76,2.91,3.00,1.34,1.14,2.53,5.60
1922,2.49,2.97,2.30,2.85,3.90,1.76,2.89,3.02,1.34,4.12,2.59,3.75
1923,7.12,3.21,4.97,2.30,2.61,1.77,2.88,3.06,1.40,2.03,6.49,6.45
1924,8.79,1.48,3.10,2.77,2.45,2.26,2.86,2.98,1.44,3.17,5.12,2.06
1925,3.44,2.28,6.63,3.25,1.88,1.81,2.85,2.97,1.34,1.21,1.62,3.92
1926,1.92,5.79,1.34,2.18,1.37,1.76,2.88,2.97,1.34,1.06,4.36,2.62
1927,2.02,3.94,1.70,2.40,1.35,1.76,2.85,2.97,1.34,0.90,2.92,2.46
1928,7.50,2.30,1.64,5.91,3.78,1.77,2.87,3.02,1.38,1.44,5.17,12.82
1929,6.40,2.25,3.14,2.73,4.56,1.76,2.85,3.04,1.70,1.49,2.36,6.87
1930,1.80,3.43,1.54,2.21,2.04,1.76,2.85,3.20,1.52,2.47,2.15,2.09
1931,7.60,2.91,0.83,1.06,1.59,1.76,2.95,3.00,1.34,1.31,4.16,3.89
1932,2.54,2.62,1.97,1.50,2.51,1.77,2.86,3.11,1.82,0.92,1.72,4.03
1933,6.26,4.36,0.79,2.16,3.54,1.77,2.85,3.01,1.32,1.13,1.81,6.04
1934,2.06,2.96,1.76,0.97,1.37,1.76,2.85,2.96,1.34,1.31,2.42,1.12
1935,1.11,2.01,0.89,0.88,2.58,1.76,2.92,3.02,1.39,1.49,3.10,7.32
1936,4.00,1.64,0.86,4.82,1.25,1.77,2.85,2.79,1.32,5.29,3.99,2.73
1937,4.84,6.90,2.59,1.81,1.50,1.76,2.85,2.58,1.93,1.09,4.59,2.36
1938,1.28,6.94,4.24,1.35,1.33,1.78,2.85,2.57,1.34,1.18,4.33,1.78
1939,3.41,2.45,2.51,2.44,1.42,1.77,2.87,2.58,1.33,2.70,2.06,2.30
1940,1.24,3.51,4.54,3.05,1.36,1.81,2.85,2.57,1.37,0.99,1.61,5.20
1941,2.24,5.56,2.80,0.94,1.58,1.81,2.93,2.59,1.38,4.25,1.73,2.40
1942,3.25,5.06,4.32,1.97,3.33,1.79,2.98,2.58,1.35,4.56,1.45,6.73
1943,3.47,0.93,1.60,1.30,6.27,1.79,2.86,2.58,1.43,0.72,4.32,5.30
1944,2.27,4.17,2.67,1.20,5.10,1.80,2.83,2.65,1.33,2.09,4.41,2.41
1945,1.09,2.74,2.33,1.11,2.81,1.78,2.91,2.64,1.56,1.34,1.83,1.55
1946,4.57,0.86,2.83,0.99,1.47,2.70,2.91,2.57,1.80,1.89,3.91,1.05
1947,2.75,6.49,5.04,4.50,1.58,1.75,2.83,2.58,1.36,1.25,3.36,5.70
1948,4.96,3.98,3.57,2.93,2.54,1.75,2.83,2.71,1.34,0.65,1.75,10.31
1949,6.79,2.81,2.12,2.65,4.47,1.75,3.04,3.07,1.33,1.44,1.52,1.10
1950,1.92,3.07,2.74,0.87,2.08,1.75,2.86,2.56,1.42,0.95,1.32,6.43
1951,3.46,6.93,1.45,0.80,1.41,1.75,2.84,3.06,1.33,2.68,1.14,1.85
1952,1.24,2.29,3.68,0.99,1.81,1.75,3.03,2.66,1.40,0.98,3.89,5.13
1953,0.76,3.77,1.79,2.94,1.17,1.75,2.84,2.63,1.33,3.64,3.64,10.96
1954,0.78,0.71,1.45,1.10,1.05,1.75,2.83,2.57,1.31,0.66,6.04,7.39
1955,3.09,2.78,2.84,0.79,1.25,1.75,2.89,2.74,1.35,1.77,1.10,11.55
1956,7.50,6.19,3.98,1.64,4.74,1.92,2.83,2.60,1.52,2.38,4.69,3.06
1957,3.40,0.92,0.66,0.75,0.99,2.17,3.02,2.56,1.35,1.75,1.10,2.23
1958,2.48,4.90,1.22,1.32,1.47,1.75,2.86,2.68,1.50,4.87,0.72,5.43
1959,4.50,1.42,2.62,0.90,5.19,1.75,2.83,2.56,1.40,0.59,3.28,1.91
1960,6.05,5.37,1.35,0.81,4.17,1.76,2.98,2.98,1.27,4.41,1.58,10.95
1961,6.28,2.64,0.66,0.89,1.27,1.74,2.85,4.97,1.50,1.79,1.18,2.25
1962,1.09,6.43,1.81,4.91,5.92,1.74,2.87,2.56,1.33,1.08,1.60,2.40
1963,5.26,3.14,1.22,2.19,1.31,1.75,2.94,2.69,1.58,0.63,3.18,6.69
1964,9.43,1.16,2.01,3.36,0.98,1.81,2.83,4.73,1.39,6.28,1.43,1.26
1965,5.12,5.72,3.95,1.20,6.02,1.96,2.83,2.89,1.86,1.54,7.54,3.35
1966,3.69,4.69,2.05,1.09,6.31,1.74,2.83,2.87,1.28,5.47,4.60,2.84
1967,2.81,1.09,2.31,3.21,7.98,2.54,3.07,2.59,1.40,3.48,3.72,3.29
1968,10.32,1.38,4.03,4.31,2.73,1.74,2.83,2.57,1.42,8.25,1.05,0.67
1969,3.92,0.66,1.44,2.18,0.96,1.74,3.19,2.60,1.82,2.68,4.59,2.05
1970,7.10,1.74,1.99,5.66,2.05,1.89,2.91,2.60,1.78,0.61,1.99,7.54
1971,2.04,1.91,5.96,6.61,1.02,2.12,2.89,2.57,1.31,2.07,3.97,2.63
1972,4.27,1.05,2.45,4.24,1.13,1.74,2.94,2.56,1.27,1.38,3.22,0.84
1973,14.72,2.08,16.68,1.36,1.00,1.74,2.90,2.54,1.41,0.44,1.84,7.14
1974,6.13,9.78,1.07,2.90,0.93,1.75,2.84,2.59,1.34,0.64,0.63,5.14
1975,2.33,4.16,2.57,1.56,2.95,2.91,2.84,2.54,2.28,3.56,1.74,0.88
1976,2.40,1.28,3.13,4.77,5.78,1.85,2.94,2.63,1.70,2.30,0.65,7.72
1977,6.56,1.61,2.68,1.18,0.91,4.40,2.96,2.60,1.43,3.26,2.39,3.51
1978,0.97,3.64,2.26,1.00,9.45,2.65,2.83,2.63,1.64,3.62,2.13,5.87
1979,2.09,5.70,2.26,1.51,1.27,1.74,2.98,2.53,1.40,0.63,2.63,4.70
1980,3.32,1.97,1.64,1.77,0.93,1.74,2.83,3.46,1.35,1.46,1.68,0.51
1981,4.25,8.16,7.66,4.11,3.49,1.81,2.83,2.55,1.72,1.24,4.21,3.21
1982,7.25,3.57,4.31,0.84,1.00,2.92,2.83,2.53,1.27,1.20,3.25,2.03
1983,2.70,0.76,4.42,1.07,1.00,1.74,2.85,2.53,1.27,1.56,3.14,2.91
1984,1.95,4.00,8.64,2.30,1.50,1.74,2.83,2.53,1.29,1.40,2.31,13.61
1985,1.31,3.45,1.87,4.21,6.68,2.43,2.83,2.60,1.95,0.73,5.86,3.02
1986,1.52,1.91,5.27,1.06,1.06,1.74,2.83,3.96,1.27,4.37,0.77,9.31
1987,6.09,6.29,4.86,1.29,1.41,1.75,2.86,3.55,1.83,2.10,1.60,11.43
1988,7.67,5.67,4.71,1.54,2.38,2.15,2.83,2.57,1.28,4.69,1.54,2.03
1989,6.00,5.50,4.67,2.70,2.07,1.77,2.84,2.53,1.28,1.66,0.87,3.01
1990,5.92,4.13,8.61,3.24,1.46,1.84,2.85,2.64,1.56,2.19,3.50,7.32
1991,6.85,7.79,0.95,1.54,1.41,2.09,2.85,2.66,1.30,0.52,1.79,5.56
1992,3.57,4.87,1.38,0.85,15.01,1.84,2.84,2.54,1.29,4.59,0.75,3.83
1993,7.32,1.24,3.98,1.09,1.20,1.84,3.04,2.56,1.59,4.76,11.14,4.01
1994,1.13,5.21,1.90,2.51,1.45,1.84,2.85,2.58,1.39,0.98,1.86,0.99
1995,4.66,1.21,3.44,2.75,1.07,1.84,2.86,2.57,1.84,2.09,2.38,1.29
1996,3.97,3.55,4.97,1.22,2.15,2.12,2.87,2.54,1.50,5.84,0.98,3.17
1997,2.22,3.97,3.25,4.42,10.07,1.84,2.93,2.63,1.34,0.69,1.33,2.88
1998,1.77,5.62,0.89,1.22,3.57,1.85,2.90,2.84,1.36,0.71,0.81,1.05
1999,8.04,2.12,1.68,1.27,1.81,1.85,2.85,2.61,1.94,3.86,3.21,5.44
2000,2.17,2.18,1.82,1.83,1.11,1.85,2.86,2.61,1.28,1.78,1.25,4.04
2001,7.44,5.00,1.15,1.64,1.12,1.85,2.84,2.63,1.35,3.71,0.80,3.63
2002,1.76,4.07,3.88,1.25,1.00,1.88,2.94,2.61,1.28,0.53,1.22,4.19
2003,7.20,4.01,4.56,0.96,1.41,1.85,2.85,2.65,1.38,0.58,1.97,2.73
2004,4.32,6.44,5.13,5.97,0.95,2.15,2.95,2.63,1.81,0.75,1.45,2.66
