Variable:,pr
Country:,Fiji
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,150.00,488.21,620.32,262.00,175.74,72.76,67.10,167.64,134.88,96.98,84.25,158.66
1902,123.48,128.74,699.15,310.89,44.79,36.18,44.72,54.89,118.67,132.89,239.07,140.11
1903,454.41,291.47,378.18,250.01,146.50,264.79,120.62,157.24,91.67,203.31,132.91,358.77
1904,416.36,150.02,394.37,122.33,94.85,59.80,80.78,103.85,10.00,59.63,127.60,286.56
1905,434.83,156.41,715.34,390.56,166.35,161.16,72.69,122.81,175.36,98.43,264.72,608.36
1906,427.90,349.94,313.27,148.88,218.00,219.83,75.81,61.57,65.33,200.46,243.84,19.43
1907,167.31,355.27,375.83,307.41,279.05,72.03,112.52,182.48,68.74,100.58,131.13,241.17
1908,53.17,431.85,368.91,178.87,120.42,49.15,48.42,100.88,80.87,178.18,501.78,353.61
1909,222.65,330.82,377.02,100.90,197.11,199.25,56.52,176.54,229.38,363.53,299.22,266.96
1910,570.88,324.43,585.57,131.71,147.56,158.87,101.94,142.40,51.15,79.74,561.97,160.74
1911,498.25,259.56,383.97,119.74,261.29,97.90,34.11,132.04,111.91,73.98,150.60,683.67
1912,334.51,179.80,764.02,204.59,81.30,54.48,299.24,79.37,151.75,213.38,148.84,443.34
1913,216.90,382.92,387.43,464.28,300.93,190.12,42.20,278.14,256.37,147.98,25.00,448.49
1914,160.41,152.13,772.11,90.60,60.42,116.20,167.30,95.70,94.37,203.31,233.76,311.32
1915,347.20,494.60,315.59,483.99,198.14,257.92,39.09,393.12,240.86,76.86,281.53,363.91
1916,547.80,169.16,437.27,326.30,193.47,250.30,118.14,396.84,225.32,257.20,383.26,367.00
1917,102.73,435.03,360.77,222.57,202.34,180.21,77.69,182.48,72.77,117.82,71.87,414.47
1918,305.67,223.42,403.66,599.70,49.44,179.44,166.06,85.30,203.05,322.59,335.49,335.05
1919,173.09,347.83,417.56,418.87,171.02,65.14,68.97,66.01,171.33,109.20,112.57,477.36
