Variable:,pr
Country:,"Falkland Islands (Islas Malvinas)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1902,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1903,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1904,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1905,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1906,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1907,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1908,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1909,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1910,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1911,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1912,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1913,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1914,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1915,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1916,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1917,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1918,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1919,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1920,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1921,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1922,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1923,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1924,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1925,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1926,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1927,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1928,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1929,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1930,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1931,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1932,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1933,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1934,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1935,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1936,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1937,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1938,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1939,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1940,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1941,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1942,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1943,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
1944,65.71,46.44,53.37,51.77,49.64,46.75,41.71,38.99,35.13,36.78,39.98,54.46
