Variable:,pr
Country:,Georgia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,53.72,50.03,62.27,79.41,111.12,94.93,87.64,135.83,93.12,80.31,71.50,80.69
1902,82.25,82.10,27.15,57.92,103.23,134.53,161.09,90.18,79.16,54.57,40.92,38.69
1903,43.62,36.38,78.77,68.76,153.42,91.46,83.28,55.62,100.01,80.67,108.12,93.67
1904,74.87,19.55,29.79,100.59,109.91,138.81,82.23,93.83,43.32,69.45,67.42,95.32
1905,54.28,28.90,65.29,35.91,156.59,81.67,155.58,70.07,83.72,77.45,59.19,110.78
1906,88.72,52.72,43.74,77.48,38.90,95.27,139.95,69.73,107.55,21.68,81.13,81.40
1907,79.31,50.31,70.98,69.57,69.48,89.59,83.22,40.05,43.92,66.65,114.19,89.15
1908,41.09,59.50,56.80,62.62,52.52,118.20,61.18,89.11,94.02,69.26,77.93,51.85
1909,59.49,43.97,46.50,68.73,110.29,117.96,77.96,82.60,91.25,43.59,54.81,16.94
1910,59.78,69.71,47.41,89.80,92.92,97.53,60.82,82.78,86.11,47.80,36.71,27.91
1911,45.66,70.21,36.05,110.67,125.39,91.14,134.06,38.28,39.40,138.70,71.21,88.22
1912,54.79,72.44,45.65,64.42,149.24,60.07,75.99,27.78,84.65,73.56,46.45,69.11
1913,62.08,11.18,67.68,91.43,105.07,163.90,108.57,95.27,87.77,104.29,79.50,43.33
1914,29.25,35.51,119.18,123.16,139.20,173.33,102.01,108.91,85.88,97.19,65.06,72.11
1915,54.21,40.38,27.11,66.48,169.53,47.31,69.86,45.07,135.74,40.60,32.11,63.02
1916,56.87,66.70,53.51,70.36,125.60,117.75,50.77,78.24,87.76,32.41,53.88,54.10
1917,43.52,40.44,21.04,60.60,97.48,121.88,90.55,97.04,41.87,55.48,67.38,66.89
1918,24.35,84.40,83.99,107.28,129.42,173.95,100.86,52.83,79.79,66.07,101.47,56.98
1919,83.29,49.31,60.33,56.30,131.12,133.58,85.81,83.54,130.86,142.31,86.21,17.08
1920,55.82,38.24,51.54,125.47,32.04,121.76,66.42,70.85,111.87,88.37,72.93,95.86
