Variable:,pr
Country:,Gibraltar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.50,183.90,68.90,113.50,43.10,9.60,4.20,25.30,15.80,124.90,125.50,66.40
1902,58.80,4.40,44.30,51.50,53.10,27.20,0.00,0.20,16.60,39.60,36.50,158.70
1903,79.70,142.20,135.20,48.20,16.70,26.30,0.30,2.50,44.60,36.60,79.50,87.90
1904,48.60,17.10,23.70,40.10,61.80,11.10,2.40,0.00,15.00,76.60,188.00,67.60
1905,12.80,28.80,84.20,53.40,58.70,20.60,0.10,2.00,39.60,46.90,79.00,40.50
1906,19.80,37.60,1.50,41.10,28.40,0.50,1.40,2.70,65.20,119.90,112.00,77.40
1907,91.10,41.20,47.50,38.30,12.60,43.80,0.50,3.20,9.60,27.80,135.20,65.30
1908,57.50,62.20,169.90,64.00,71.20,6.50,0.00,3.20,18.70,53.70,202.50,95.90
1909,18.80,23.60,53.60,47.20,106.70,7.00,0.00,0.00,21.50,96.60,33.20,201.70
1910,61.30,46.20,138.50,94.40,43.80,12.50,0.40,14.50,7.30,91.40,70.50,82.80
1911,169.10,211.40,31.90,48.50,4.30,12.80,1.70,0.00,42.00,53.50,25.50,39.70
1912,70.70,84.30,132.10,37.80,24.80,1.80,0.50,1.30,41.50,117.50,20.90,50.20
1913,53.60,87.20,44.40,66.90,16.00,0.90,3.30,0.00,0.20,71.10,125.30,111.30
1914,122.70,62.70,150.30,47.90,30.60,1.10,0.10,0.00,5.30,24.60,130.80,62.90
1915,7.20,117.60,213.20,23.10,32.00,0.80,0.20,0.20,34.70,21.60,120.00,130.60
1916,119.60,138.70,143.50,16.30,39.90,11.00,0.00,0.60,6.30,20.20,3.10,104.20
1917,161.60,25.40,90.40,105.70,34.80,2.10,0.80,3.90,4.50,49.60,89.30,16.20
1918,52.00,133.40,66.40,52.30,7.60,7.60,0.10,2.00,43.20,87.80,195.20,36.40
1919,28.40,112.70,57.60,27.30,43.00,1.80,0.30,0.00,5.80,51.30,147.50,100.00
1920,25.90,146.40,64.90,78.10,40.70,9.50,0.00,7.90,33.40,33.10,72.30,55.50
1921,56.50,51.90,106.30,10.20,19.70,22.80,0.00,1.60,15.50,120.20,61.00,67.40
1922,14.60,86.00,31.60,162.20,11.30,31.30,0.70,1.10,21.90,37.50,170.40,16.60
1923,69.50,159.30,172.50,58.80,12.90,1.80,0.00,6.60,3.10,68.20,125.70,75.80
1924,2.40,90.70,80.60,14.40,25.90,31.20,1.30,4.10,0.60,49.30,197.70,145.90
1925,48.90,105.60,52.50,35.80,44.40,0.00,0.00,5.30,4.70,119.70,123.00,16.10
1926,42.40,106.10,30.80,19.80,34.10,12.40,0.10,2.30,3.80,89.20,127.70,196.50
1927,12.80,88.90,123.90,82.20,63.50,8.50,0.80,0.60,53.50,23.90,76.40,44.70
1928,21.10,125.90,70.30,50.90,19.10,2.20,0.80,0.70,28.00,43.30,67.20,51.30
1929,91.80,90.00,47.90,132.70,25.10,46.90,1.10,0.10,2.20,14.20,75.50,57.80
1930,32.80,4.10,186.00,50.50,10.90,1.60,0.10,1.50,22.90,117.70,55.90,33.90
1931,38.00,140.40,114.90,78.60,32.20,17.20,0.30,0.00,39.70,33.40,84.00,166.30
1932,114.40,63.50,78.70,27.60,7.70,4.30,0.10,0.40,0.40,97.40,133.30,139.30
1933,10.90,33.30,104.80,135.60,8.70,0.60,0.00,0.00,0.90,19.30,157.10,73.80
1934,27.70,28.00,34.10,25.10,84.70,4.50,0.00,3.70,23.90,57.50,86.20,99.40
1935,210.10,237.70,182.60,118.40,105.70,8.30,0.60,1.60,6.70,42.60,73.80,34.30
1936,117.60,25.30,117.10,59.50,15.40,0.60,0.00,3.30,14.90,192.20,63.40,107.70
1937,31.00,12.90,26.50,87.30,65.40,1.30,0.00,0.20,41.20,43.50,24.80,151.50
1938,82.90,78.40,53.60,57.50,19.20,25.90,0.10,8.30,43.20,162.40,75.30,129.60
1939,162.30,113.50,91.40,20.90,19.30,20.70,0.00,8.40,22.80,124.00,61.10,15.10
1940,191.20,207.40,63.00,95.70,31.90,9.10,2.00,10.40,20.90,17.60,79.50,43.20
1941,59.90,88.90,117.50,103.30,16.90,0.70,0.20,0.70,27.60,131.70,138.60,78.60
1942,52.40,44.80,143.90,57.30,25.10,2.00,2.50,0.30,22.20,49.00,17.90,138.90
1943,13.60,106.00,55.70,58.10,33.70,16.40,1.40,10.90,33.90,47.70,58.00,60.50
1944,84.70,24.80,60.40,20.30,11.60,5.70,0.50,1.70,5.50,40.50,111.30,149.60
1945,118.70,57.20,140.90,113.90,73.80,5.70,0.40,2.60,4.50,64.10,110.30,31.30
1946,144.60,256.70,148.20,7.10,30.40,0.50,1.60,0.80,23.50,42.40,79.30,62.30
1947,163.30,85.90,20.10,80.00,63.30,4.20,0.10,0.00,0.00,44.80,4.10,103.10
1948,65.10,30.90,63.20,62.20,22.30,3.20,2.10,3.60,62.70,0.60,73.40,108.30
1949,72.40,30.90,49.20,30.70,39.40,0.00,1.00,10.30,22.10,35.50,20.00,98.00
1950,82.30,145.50,116.40,35.00,19.40,2.50,0.00,0.00,22.50,33.00,142.90,48.80
1951,71.30,23.20,95.90,41.30,80.60,9.10,0.10,20.90,13.40,48.00,43.10,64.60
1952,79.60,106.20,78.80,73.40,2.80,7.30,0.40,0.00,15.60,53.20,39.70,117.50
1953,38.60,57.80,153.00,40.30,1.30,3.70,0.90,0.50,0.40,4.90,42.20,73.10
1954,166.00,204.00,137.50,23.80,20.50,4.90,0.30,0.20,1.10,113.60,114.70,84.70
1955,91.70,161.20,171.30,108.90,7.60,0.00,1.20,12.20,41.80,15.00,57.80,38.50
1956,48.50,30.70,35.10,132.40,40.00,13.90,0.10,0.00,17.80,47.70,80.70,88.90
1957,47.70,14.50,66.60,21.50,15.10,19.50,0.20,13.80,1.80,26.20,37.00,235.60
1958,101.40,70.10,68.10,19.60,83.20,2.70,0.40,5.20,14.90,47.40,83.30,59.80
1959,118.70,191.80,169.10,34.40,53.30,9.40,1.60,6.90,5.40,184.40,69.40,60.10
1960,32.30,16.40,64.90,38.40,70.80,8.70,1.70,0.00,22.20,22.70,272.90,133.20
1961,60.00,39.10,192.00,51.60,36.80,13.30,0.00,0.10,9.70,87.50,122.70,194.60
1962,226.30,176.60,38.70,72.60,56.80,18.00,0.50,1.20,21.30,12.30,120.60,272.60
1963,60.50,159.60,103.70,36.30,14.00,20.00,0.40,2.90,10.10,6.00,79.10,93.90
1964,79.10,95.90,86.40,14.50,5.80,14.20,0.00,0.80,62.80,150.20,67.40,43.80
1965,60.10,147.90,13.40,37.40,13.70,8.30,0.10,0.60,37.80,61.80,51.00,21.20
1966,42.30,166.20,28.00,38.60,23.20,36.60,0.20,0.00,2.20,67.20,130.00,21.60
1967,10.70,228.30,69.00,28.00,19.40,13.60,0.20,23.20,3.90,21.20,117.90,75.00
1968,141.00,257.60,126.20,61.10,37.80,20.30,1.10,3.50,46.50,94.30,177.50,52.70
1969,338.80,11.70,67.50,50.80,45.90,45.60,0.00,0.30,1.20,36.90,44.30,155.30
1970,99.80,14.30,102.50,153.00,84.60,16.30,0.40,18.50,5.50,8.40,39.80,77.20
1971,135.90,103.60,142.00,25.50,22.50,6.60,0.30,0.50,38.70,143.90,79.70,68.10
1972,51.40,38.00,54.80,5.00,70.60,3.20,1.80,10.30,0.00,13.40,45.70,124.70
1973,27.50,65.90,44.40,130.50,9.60,34.50,0.00,0.00,0.20,39.10,15.00,3.40
1974,76.10,109.20,117.10,57.80,34.70,3.00,0.00,0.40,8.20,10.10,24.70,116.20
1975,49.40,82.00,81.70,123.20,56.30,8.30,1.90,12.50,41.80,135.90,19.10,230.70
1976,166.30,105.30,14.20,1.80,8.60,17.90,2.90,6.10,1.10,80.30,93.10,94.40
1977,35.80,138.80,41.60,75.10,49.10,24.60,0.00,0.40,2.50,32.50,43.90,131.20
1978,171.10,165.70,74.50,38.00,2.90,0.80,2.40,1.10,15.80,140.80,12.60,22.90
1979,81.10,74.00,80.70,24.30,64.80,12.20,0.00,1.30,11.00,36.70,99.10,7.40
1980,0.80,23.20,35.20,134.10,27.80,5.40,2.00,8.90,13.20,9.40,0.40,136.30
1981,98.20,55.40,52.10,64.40,2.30,0.20,4.30,12.40,6.30,18.40,135.50,40.80
1982,0.10,65.00,18.90,48.40,6.70,0.50,0.00,5.20,0.40,3.90,218.80,101.90
1983,8.60,65.90,82.20,33.00,80.50,13.60,0.00,2.90,1.50,13.70,166.00,9.90
1984,111.00,93.00,9.60,62.90,30.00,5.90,0.60,0.00,2.30,0.30,115.00,75.70
1985,42.80,119.20,67.70,59.70,5.80,8.70,0.20,0.90,14.80,74.60,54.90,17.80
1986,174.50,119.80,9.90,35.60,1.60,1.70,5.30,29.60,18.20,87.40,95.90,153.10
1987,82.70,57.10,28.90,27.50,51.40,25.20,2.90,0.00,13.40,79.70,145.50,3.80
1988,86.50,108.30,25.90,72.70,28.80,3.80,0.80,5.30,34.10,65.60,249.10,259.30
1989,68.90,0.10,48.10,106.60,5.70,2.00,0.80,0.10,5.20,85.40,48.10,113.20
1990,55.40,153.70,110.30,53.30,0.70,3.70,0.90,7.30,42.90,136.30,37.70,57.80
1991,14.50,62.40,39.50,52.00,6.80,47.70,1.20,0.50,20.90,96.30,13.00,46.30
1992,30.10,75.60,94.00,74.20,67.90,2.40,0.00,4.70,13.80,124.60,98.00,11.60
1993,57.30,116.30,1.60,43.20,33.10,0.60,0.30,1.20,24.10,42.30,54.10,5.70
1994,22.10,34.70,29.10,21.30,2.30,17.80,2.30,0.00,12.60,12.80,85.60,200.40
1995,297.60,98.00,90.00,54.40,100.50,3.60,0.80,6.90,26.70,41.10,111.60,366.80
1996,199.90,4.10,4.20,30.50,40.20,16.50,2.20,13.20,40.40,44.70,193.70,173.50
1997,54.50,136.90,26.00,31.80,56.80,10.10,0.00,1.00,43.60,2.70,12.60,51.70
1998,57.60,47.30,54.90,22.20,14.30,1.50,0.40,2.70,37.10,138.80,52.80,40.70
1999,39.00,0.00,23.40,121.30,58.90,0.20,0.00,0.50,19.00,71.90,70.60,174.70
2000,100.90,40.40,90.90,5.60,39.80,0.20,0.10,4.50,49.60,60.70,69.40,144.20
2001,23.20,24.10,104.40,84.90,23.70,6.70,0.00,2.80,43.20,58.20,167.10,100.50
2002,75.00,97.40,83.70,68.60,5.90,1.10,0.00,0.20,15.70,182.30,73.90,124.90
