Variable:,pr
Country:,Guinea-Bissau
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.00,0.28,0.04,1.14,81.79,127.62,268.02,476.09,225.30,191.43,7.66,0.42
1902,0.00,0.28,0.02,0.67,26.33,242.23,358.75,478.84,250.44,182.10,7.38,0.42
1903,0.00,0.28,0.04,0.62,23.98,176.48,469.61,574.76,270.13,177.12,19.06,0.42
1904,0.00,0.27,0.02,1.19,27.64,247.49,537.72,424.20,301.19,248.86,50.81,0.06
1905,0.00,0.34,0.02,2.77,52.57,299.23,372.67,756.66,400.21,196.87,16.87,5.41
1906,0.00,0.00,0.02,0.76,13.53,163.99,139.26,637.06,337.61,81.16,11.83,0.06
1907,0.00,0.00,0.02,0.94,14.92,79.26,255.27,789.84,457.36,120.53,6.71,1.30
1908,0.00,0.00,0.04,1.23,13.61,263.21,356.49,488.51,453.41,163.54,1.28,0.07
1909,0.00,0.00,0.03,0.60,8.33,171.44,243.99,587.26,459.61,151.83,9.42,0.71
1910,0.00,0.00,0.01,0.09,68.67,215.78,252.81,441.22,303.18,126.11,14.80,1.17
1911,0.00,0.00,0.00,0.09,6.11,152.42,463.10,500.49,270.43,144.75,31.66,0.01
1912,0.00,0.00,0.02,0.64,21.10,141.86,202.34,466.28,274.82,98.61,6.93,7.90
1913,0.00,0.00,0.01,0.16,21.60,186.86,299.73,593.14,498.85,159.67,106.59,0.01
1914,0.00,0.00,0.02,1.72,43.18,136.82,512.77,633.53,256.48,104.19,14.27,0.03
1915,0.00,0.09,0.07,1.30,15.33,125.49,351.62,767.56,364.09,99.71,4.32,0.09
1916,0.00,0.11,0.12,0.61,21.85,125.13,267.45,627.76,421.38,139.94,12.64,0.06
1917,0.00,0.00,0.04,1.12,106.34,294.27,418.56,624.40,470.21,222.25,1.18,0.06
1918,0.00,0.00,0.04,1.56,114.52,187.05,364.93,488.22,383.57,115.42,1.18,0.06
1919,0.00,0.38,0.02,1.10,20.89,168.01,330.78,606.51,436.57,156.25,2.96,0.06
1920,0.00,0.03,0.05,1.12,26.02,159.43,329.14,559.47,402.16,162.37,14.84,1.79
1921,0.00,0.00,0.02,1.42,81.34,130.67,340.75,541.89,403.72,289.04,21.73,0.89
1922,0.00,0.00,0.02,2.03,21.54,140.99,345.68,514.72,324.56,209.91,53.55,2.10
1923,0.00,0.00,0.00,0.87,17.12,217.16,402.64,608.33,398.66,128.57,26.74,0.00
1924,0.00,0.00,0.15,0.29,36.42,179.85,299.14,590.45,398.80,223.63,9.60,0.00
1925,0.00,0.14,0.00,0.21,14.70,238.84,395.91,475.60,340.10,105.70,10.27,0.13
1926,0.00,0.00,0.01,1.12,135.21,241.70,290.65,645.56,403.86,297.93,44.98,0.82
1927,0.00,0.14,0.03,1.74,51.60,146.49,376.96,649.02,378.86,246.45,18.95,0.00
1928,0.00,0.00,0.01,0.36,27.32,240.38,290.87,641.05,498.84,152.94,3.03,2.25
1929,0.00,0.32,0.01,0.56,16.47,219.24,327.41,433.34,369.03,196.35,8.13,0.07
