Variable:,pr
Country:,Grenada
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,58.00,33.50,41.90,37.70,155.20,232.50,228.00,187.00,163.90,147.60,228.20,132.40
1902,47.20,43.00,26.60,91.10,67.90,233.70,186.60,273.10,184.60,153.30,135.80,142.50
1903,91.00,45.90,53.30,34.80,88.00,99.80,194.70,179.30,238.30,180.90,106.80,111.70
1904,61.40,37.40,50.20,42.10,67.00,153.30,151.10,177.00,208.40,227.20,194.10,87.00
1905,57.20,38.50,36.80,47.20,80.70,187.40,194.90,203.30,241.50,177.80,178.60,96.00
1906,56.30,37.30,40.40,42.60,89.00,125.40,180.50,168.00,152.70,202.20,140.10,134.90
1907,53.80,24.30,26.90,45.00,52.20,163.80,206.40,153.60,177.90,149.70,113.30,192.40
1908,70.00,48.00,41.00,47.00,88.00,156.00,193.00,204.00,181.00,193.00,181.00,128.00
1909,75.70,62.40,49.60,23.10,175.20,174.90,198.10,211.90,157.20,118.60,125.20,95.30
1910,70.00,48.00,41.00,47.00,88.00,156.00,193.00,204.00,181.00,193.00,181.00,128.00
1911,70.00,48.00,41.00,47.00,88.00,156.00,193.00,204.00,181.00,193.00,181.00,128.00
1912,70.00,48.00,41.00,47.00,88.00,156.00,193.00,204.00,181.00,193.00,181.00,128.00
1913,70.00,48.00,41.00,47.00,88.00,156.00,193.00,204.00,181.00,193.00,181.00,128.00
1914,70.00,48.00,41.00,47.00,88.00,156.00,193.00,204.00,181.00,193.00,181.00,128.00
1915,70.00,48.00,41.00,47.00,88.00,156.00,193.00,204.00,181.00,193.00,181.00,128.00
1916,70.00,48.00,41.00,47.00,88.00,156.00,193.00,204.00,181.00,193.00,181.00,128.00
1917,70.00,48.00,41.00,47.00,88.00,156.00,193.00,204.00,181.00,193.00,181.00,128.00
1918,70.00,48.00,41.00,47.00,88.00,156.00,193.00,204.00,181.00,193.00,181.00,128.00
1919,70.00,48.00,41.00,47.00,88.00,156.00,193.00,204.00,181.00,193.00,181.00,128.00
1920,57.60,45.20,57.10,65.60,88.90,141.70,184.60,184.90,235.40,271.60,194.50,147.90
1921,53.60,47.40,45.90,40.20,87.20,162.20,194.20,168.60,147.40,155.90,162.80,153.10
1922,60.60,38.80,42.70,36.90,66.40,174.80,181.70,193.00,169.30,259.10,170.60,160.60
1923,45.40,43.40,27.90,35.80,62.20,163.60,142.40,175.00,181.00,159.80,184.50,104.70
1924,56.50,35.50,29.60,54.70,64.30,115.20,163.00,191.10,173.00,210.70,150.90,107.60
1925,49.70,42.00,29.60,62.90,59.20,111.80,151.00,214.70,183.70,208.20,148.60,109.70
1926,57.20,57.50,48.20,54.70,96.40,137.50,176.00,239.10,150.40,196.80,160.00,156.20
1927,61.20,58.70,26.60,40.10,87.20,167.00,169.10,206.60,180.70,144.90,162.90,127.20
1928,85.60,38.50,33.10,49.20,140.30,140.40,184.40,167.50,185.30,145.60,172.20,126.70
