Variable:,pr
Country:,Croatia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,42.92,127.19,110.76,86.31,139.35,123.09,81.95,36.74,84.67,181.16,61.01,48.94
1902,42.74,28.95,63.33,135.39,68.36,93.02,121.45,45.69,54.54,114.19,147.21,195.14
1903,72.18,117.98,92.55,65.04,68.92,74.32,27.53,148.57,102.91,149.53,68.65,74.24
1904,38.39,80.73,75.62,103.78,96.17,110.09,68.18,72.36,117.63,219.61,256.12,28.78
1905,85.38,83.31,71.61,63.34,100.93,110.17,114.31,74.10,122.42,70.69,126.78,188.62
1906,66.91,56.17,21.23,167.53,85.77,54.64,81.43,31.65,59.67,149.80,63.40,164.10
1907,53.11,81.39,83.32,151.01,19.11,46.61,91.00,134.99,37.21,48.85,109.69,105.47
1908,66.62,45.30,110.27,65.31,99.87,83.02,85.73,130.37,110.35,107.02,104.06,153.04
1909,125.77,92.20,41.41,110.96,105.33,121.12,117.09,72.54,156.22,128.75,219.76,114.06
1910,53.04,28.69,44.29,74.06,132.66,110.97,43.90,46.02,108.15,113.11,66.18,111.41
1911,82.00,88.48,122.78,118.22,94.52,98.23,62.12,88.22,150.83,122.78,108.67,67.97
1912,62.24,30.87,26.77,77.22,96.27,103.05,184.10,124.60,135.86,45.55,99.36,108.81
1913,59.39,30.66,131.48,57.34,131.21,99.18,142.32,45.30,117.06,84.00,75.90,135.26
1914,170.16,126.21,89.13,81.64,75.29,142.10,155.00,141.58,105.29,230.20,132.81,120.36
1915,23.88,72.38,126.48,101.39,63.28,43.29,67.22,94.72,185.20,147.89,135.56,202.51
1916,145.51,55.42,121.77,88.49,32.86,20.71,83.15,69.94,36.11,222.59,169.29,96.40
1917,46.82,14.23,54.41,86.80,87.84,113.13,65.39,113.55,72.52,186.11,52.94,109.42
1918,106.29,63.37,100.24,148.31,73.87,110.31,144.54,58.51,103.88,150.74,207.13,55.96
1919,93.20,22.55,48.50,97.36,64.33,154.64,90.10,87.26,60.06,63.84,32.01,132.46
1920,33.94,57.22,24.16,121.62,108.27,142.78,29.90,68.10,18.91,63.73,97.43,53.88
1921,90.22,83.16,108.17,160.01,45.13,84.26,37.03,28.73,184.65,205.14,88.04,54.92
1922,78.01,90.44,53.22,126.71,54.86,152.30,44.92,82.65,69.36,92.37,255.04,127.25
1923,84.83,94.52,73.36,124.44,98.99,106.46,98.92,127.35,81.81,96.61,13.95,63.90
1924,23.18,110.46,82.10,109.75,111.10,143.44,62.19,94.26,163.58,67.28,243.66,91.94
1925,75.33,43.61,44.58,87.31,96.61,152.12,164.53,124.50,116.79,142.96,136.79,124.93
1926,99.28,25.95,109.47,47.36,98.11,64.89,37.69,78.04,121.43,89.57,101.96,128.59
1927,27.63,26.98,112.57,83.68,149.87,59.76,23.35,63.16,168.46,144.70,124.50,84.05
1928,92.08,57.92,9.74,99.67,79.67,110.61,34.47,90.91,45.67,121.43,191.66,67.59
1929,79.73,87.43,83.44,99.97,110.05,54.32,122.00,107.36,121.47,191.49,70.86,121.44
1930,74.13,101.02,112.02,126.63,53.70,57.37,52.12,64.96,112.17,102.72,150.08,42.46
1931,38.65,39.23,119.10,104.94,112.08,74.91,102.86,35.82,39.25,200.94,112.50,70.34
1932,73.29,74.15,59.64,76.28,160.67,102.93,44.30,66.72,106.03,155.89,199.07,149.39
1933,71.45,17.49,88.94,53.57,99.95,179.17,95.23,114.12,96.88,86.91,138.71,92.33
1934,51.73,66.81,46.48,83.30,61.62,37.62,61.24,88.62,51.40,164.38,130.77,155.29
1935,98.78,147.43,69.16,80.76,118.07,111.77,77.23,35.00,134.58,161.32,49.57,53.95
1936,92.87,88.73,162.46,153.16,56.65,121.01,109.29,159.48,161.28,119.25,190.16,180.89
1937,67.20,41.74,26.01,76.06,119.47,48.72,59.37,150.31,80.55,109.16,47.82,92.15
1938,81.46,22.78,67.57,27.86,201.09,108.54,41.96,57.16,101.26,216.11,89.55,85.89
1939,77.78,87.02,43.76,73.40,128.94,109.81,120.52,133.53,120.54,211.19,148.21,66.72
1940,84.84,120.24,72.82,102.71,91.44,112.72,82.41,96.50,52.60,151.62,144.84,74.74
1941,81.26,134.45,56.89,108.56,81.00,90.37,80.33,25.59,50.73,82.09,82.85,86.92
1942,92.09,66.30,36.62,42.47,99.46,128.13,81.24,35.21,122.18,56.35,168.70,112.29
1943,29.57,73.18,62.99,53.60,51.75,122.47,77.49,40.65,111.30,212.24,176.12,80.64
1944,116.14,12.47,21.35,79.57,52.69,40.99,47.00,73.03,93.05,68.49,104.13,102.89
