Variable:,pr
Country:,Hungary
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.97,63.83,42.51,41.76,87.25,91.79,81.38,44.07,33.84,86.98,10.19,41.11
1902,27.06,16.39,24.28,88.39,44.29,81.43,101.34,43.95,44.17,46.06,68.86,58.04
1903,23.30,60.68,42.99,32.54,52.67,55.46,17.82,56.52,69.49,76.34,42.21,33.12
1904,18.80,17.89,33.45,59.65,80.31,73.53,37.25,51.86,62.68,96.89,95.88,16.06
1905,34.28,29.15,56.46,37.11,62.88,100.92,93.29,64.67,95.12,13.55,47.74,85.69
1906,48.51,16.90,21.85,86.91,43.28,55.82,74.65,32.67,28.10,19.03,27.72,59.99
1907,22.52,48.90,42.42,69.83,45.91,37.43,62.70,74.59,24.39,8.92,43.51,38.60
1908,25.30,32.90,44.05,32.31,76.86,71.27,71.08,68.27,55.93,30.15,32.04,79.94
1909,53.85,42.27,8.68,64.53,90.04,92.72,57.04,59.87,84.46,21.62,96.14,42.42
1910,24.07,25.71,23.41,40.19,107.40,58.75,25.84,47.92,42.52,52.54,28.27,46.26
1911,37.93,42.18,68.29,62.35,70.49,74.83,54.09,64.35,89.39,62.52,46.72,32.76
1912,31.25,9.79,20.10,45.68,72.91,65.65,111.36,87.58,67.04,24.21,53.01,43.49
1913,18.16,9.50,62.39,24.06,84.73,88.02,132.09,37.91,88.93,42.22,16.10,54.60
1914,75.45,28.76,54.93,39.53,52.77,105.34,94.91,88.97,75.90,102.67,55.94,50.87
1915,34.78,38.04,56.12,90.86,53.49,72.27,50.58,40.46,76.65,43.82,44.51,67.80
1916,56.40,21.17,42.96,53.00,17.72,24.00,62.58,34.04,24.36,59.01,45.26,51.45
1917,22.83,19.42,16.93,40.49,55.10,68.58,70.03,104.84,49.84,84.40,46.30,62.67
1918,42.14,27.01,50.69,76.23,74.27,55.92,72.84,43.37,44.34,55.71,92.24,48.69
1919,44.67,19.18,28.98,54.33,62.61,96.93,94.07,62.34,51.71,23.64,13.50,67.21
1920,29.17,41.09,5.53,58.68,55.01,73.61,33.80,53.85,17.80,29.80,60.85,25.60
1921,64.27,34.30,48.22,79.62,35.41,61.47,39.94,37.81,114.00,102.34,37.51,22.37
