Variable:,pr
Country:,Israel
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,107.13,25.16,23.62,23.35,0.47,0.24,0.32,0.32,0.05,6.95,71.09,66.34
1902,66.53,48.22,38.93,2.63,0.49,0.21,0.32,0.32,0.03,2.45,24.70,44.22
1903,102.28,47.22,30.33,26.12,3.64,0.23,0.32,0.32,0.09,11.77,64.27,157.92
1904,62.74,55.81,67.15,22.46,1.73,0.20,0.32,0.32,0.19,8.25,9.84,139.19
1905,70.78,54.19,28.82,33.52,12.25,0.34,0.32,0.32,0.03,11.66,25.29,28.45
1906,169.24,61.65,40.32,8.06,0.29,0.25,0.32,0.32,0.35,5.36,46.61,50.55
1907,104.49,63.07,64.08,23.99,1.24,0.41,0.32,0.32,0.02,0.40,41.20,62.51
1908,61.28,24.99,13.82,51.70,4.64,0.18,0.32,0.32,0.74,21.85,29.67,35.93
1909,64.21,19.83,67.35,17.20,3.31,0.21,0.32,0.32,0.29,8.21,26.37,36.03
1910,112.32,95.79,39.42,33.29,1.88,0.17,0.32,0.32,0.20,10.24,34.95,124.90
1911,109.80,49.27,27.97,10.18,6.24,0.17,0.33,0.32,0.06,21.58,33.51,96.73
1912,70.39,72.38,19.81,11.72,2.94,0.19,0.32,0.35,0.24,18.60,25.19,75.59
1913,42.64,19.92,26.10,39.11,2.73,0.24,0.32,0.33,0.05,3.07,98.36,64.39
1914,23.88,36.18,40.08,19.56,0.45,0.18,0.32,0.32,0.33,1.72,25.78,22.38
1915,122.64,68.51,56.07,25.59,0.12,0.17,0.32,0.32,0.46,0.80,19.15,90.29
1916,149.69,73.47,21.25,1.63,0.74,0.17,0.32,0.32,2.08,4.07,22.43,89.08
1917,70.37,70.06,66.08,15.18,8.92,0.18,0.32,0.33,2.59,37.34,42.36,87.81
1918,77.84,59.92,22.31,13.34,2.01,0.19,0.32,0.32,0.03,1.61,25.10,103.37
1919,80.29,122.90,52.86,17.15,2.85,0.19,0.32,0.43,0.10,3.40,39.96,74.76
1920,86.36,72.51,38.47,6.38,5.79,0.49,0.32,0.42,0.11,0.72,21.64,110.11
1921,81.97,77.09,25.05,3.20,1.77,0.02,0.32,0.32,0.01,0.39,22.59,72.35
1922,49.60,68.39,14.81,15.20,2.66,0.02,0.32,0.32,0.68,23.68,7.35,60.58
1923,57.30,96.48,33.76,0.62,1.71,0.07,0.32,0.32,0.05,15.69,60.06,57.27
1924,33.16,21.33,9.02,38.66,0.38,1.94,0.32,0.32,0.26,2.75,49.36,39.60
1925,74.38,64.30,53.55,12.21,1.31,0.02,0.33,0.32,0.01,0.64,14.18,61.95
1926,41.30,133.58,9.11,27.56,0.84,0.02,0.32,0.32,0.01,10.64,25.19,30.38
1927,46.50,107.12,7.03,0.58,0.18,0.02,0.32,0.32,0.02,1.46,30.25,69.89
1928,70.67,57.16,12.63,32.74,1.08,0.08,0.32,0.32,0.08,1.26,72.01,61.44
1929,86.27,49.65,6.25,21.15,0.67,0.02,0.32,0.32,2.03,0.77,28.32,56.36
1930,91.33,55.28,22.52,10.19,0.50,0.08,0.32,0.32,1.16,2.91,26.88,93.78
