Variable:,pr
Country:,Jamaica
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,152.65,26.21,90.06,163.99,211.45,494.12,36.85,146.02,25.96,109.76,125.21,124.60
1902,113.15,11.79,17.24,74.50,770.40,65.88,11.31,407.32,35.78,76.70,139.42,183.17
1903,52.11,78.33,59.14,35.55,102.29,562.88,81.58,39.55,513.08,671.95,138.98,75.96
1904,102.26,58.29,277.02,172.05,342.23,516.69,69.78,240.90,427.17,476.28,127.97,449.87
1905,135.45,118.40,119.27,189.38,382.54,676.72,57.10,224.83,863.56,160.20,208.43,52.77
1906,21.43,52.72,12.39,16.38,287.80,142.04,236.17,81.90,95.23,224.78,78.43,60.26
1907,170.85,72.80,80.39,61.38,78.89,425.54,61.55,53.79,52.98,283.35,130.72,499.14
1908,171.56,19.57,79.62,70.40,242.74,327.25,145.19,278.42,577.22,563.42,255.87,7.63
1909,267.70,26.25,170.62,122.54,72.16,346.67,167.88,219.63,342.84,660.64,90.37,393.91
1910,120.89,32.15,136.56,100.01,229.41,58.41,32.59,73.77,34.35,162.13,237.68,238.30
1911,82.35,73.87,105.78,55.73,27.10,25.47,21.04,101.69,24.85,74.92,633.57,36.49
1912,77.02,27.02,53.48,241.50,199.00,93.56,150.78,104.93,165.88,116.44,225.16,36.84
1913,134.09,48.35,54.91,62.17,122.60,97.72,28.59,23.30,25.06,107.91,214.39,97.18
1914,223.43,129.36,54.05,466.24,430.30,772.61,124.20,386.46,691.93,625.65,393.31,79.52
1915,75.00,128.50,78.70,165.07,700.85,133.16,533.77,316.12,110.59,602.89,537.50,7.01
1916,134.32,85.97,45.64,221.20,283.24,198.91,200.11,156.30,594.68,126.55,148.07,64.53
1917,13.14,126.86,90.56,420.57,450.69,98.77,110.79,251.83,135.12,277.22,32.51,86.13
1918,161.22,120.17,251.78,237.90,856.72,183.43,140.81,52.25,236.26,349.53,109.88,324.25
1919,16.90,38.26,71.20,10.43,351.15,30.18,27.30,169.77,144.88,261.57,45.55,17.58
1920,98.03,155.51,80.37,130.04,436.66,91.74,102.01,126.80,446.62,342.70,54.54,132.24
1921,140.95,177.23,114.83,69.33,76.51,154.01,46.40,120.62,122.39,368.52,41.52,30.49
1922,105.52,212.11,32.31,240.00,417.43,55.84,37.38,134.57,45.22,540.48,45.46,104.08
1923,34.32,106.06,34.11,43.04,52.36,145.88,144.91,144.86,535.82,456.98,760.51,86.55
1924,50.33,35.30,41.93,268.48,223.44,58.58,100.00,23.66,260.56,93.60,368.75,103.69
1925,53.74,162.76,117.08,21.11,114.89,45.41,187.22,248.05,342.53,199.33,113.71,129.13
1926,134.02,102.87,7.31,80.43,126.07,45.64,368.84,161.17,90.71,674.51,201.92,11.53
1927,34.67,23.34,14.88,48.29,229.06,100.28,50.28,630.79,209.06,221.52,201.81,47.15
1928,56.50,52.14,40.70,25.56,57.03,37.79,86.66,187.02,259.64,197.54,112.18,139.97
1929,203.05,122.06,25.08,178.72,86.21,95.66,57.82,121.83,74.59,215.04,378.06,40.80
1930,269.01,55.20,71.43,140.29,277.90,215.19,491.15,171.76,290.79,412.47,308.32,193.71
1931,140.55,59.35,44.20,353.24,190.71,168.92,52.15,113.96,230.77,311.10,327.38,58.74
1932,62.55,35.50,134.15,36.50,151.43,740.85,130.87,416.19,428.38,709.13,504.02,67.31
1933,166.04,301.82,125.03,287.67,137.88,60.31,127.37,259.16,141.64,297.07,432.24,193.05
1934,143.28,116.22,87.41,31.12,110.17,77.83,75.89,393.81,236.72,627.47,53.35,150.32
1935,124.50,88.52,70.50,59.84,610.33,583.12,321.86,342.04,205.41,322.39,78.19,232.44
1936,227.17,61.12,86.81,107.16,743.60,95.74,122.94,291.97,89.07,294.27,687.44,100.68
1937,73.61,73.03,97.19,56.11,162.05,167.04,250.54,328.93,411.08,319.40,162.86,70.75
1938,101.14,50.93,119.93,266.00,174.40,186.47,142.27,177.47,91.93,378.32,444.60,100.75
1939,252.70,175.41,151.89,71.47,179.32,85.66,81.19,89.83,248.92,290.45,275.37,328.25
1940,370.62,250.16,93.65,154.20,116.56,42.09,231.00,47.74,158.20,122.18,238.80,97.57
1941,213.37,72.37,8.66,187.77,385.51,514.24,178.97,297.49,225.55,409.56,184.28,338.35
1942,33.17,174.71,164.36,214.35,291.64,63.01,82.58,190.67,162.19,531.42,151.32,68.62
1943,42.99,6.53,16.57,66.82,141.21,423.59,385.53,358.76,235.78,522.21,163.03,54.75
1944,155.22,21.48,49.48,97.99,301.49,75.90,104.09,321.43,397.00,305.34,522.72,188.89
1945,34.44,136.14,100.49,159.05,199.94,67.99,78.88,144.20,217.91,202.98,257.22,102.56
1946,54.96,285.50,58.47,54.20,154.84,26.88,233.52,122.68,391.80,250.96,123.87,208.93
1947,201.98,14.01,15.01,138.25,537.44,536.94,207.66,154.62,387.39,245.52,166.68,63.64
1948,48.66,21.61,64.41,60.52,330.05,108.90,251.66,172.02,256.56,201.71,366.82,204.92
1949,83.39,122.39,12.08,96.64,100.63,91.75,120.01,399.85,377.80,562.84,287.47,154.91
1950,22.68,92.17,10.74,121.02,246.03,109.87,246.58,402.74,201.65,266.00,261.84,67.86
1951,156.62,131.65,20.87,265.48,175.68,104.94,220.97,163.01,233.71,304.79,118.88,199.77
1952,208.71,33.78,43.43,71.93,551.86,160.02,193.79,120.85,318.95,167.56,165.20,82.19
1953,40.76,256.02,176.79,122.60,434.46,119.87,120.50,245.16,243.05,286.55,255.36,97.22
1954,69.91,146.61,14.39,63.88,206.20,298.00,254.04,246.50,293.80,265.08,102.35,197.04
1955,58.63,111.83,170.46,148.85,185.43,168.47,248.57,99.82,114.05,456.98,197.21,81.57
1956,63.20,164.31,83.23,235.47,347.70,76.72,89.42,90.45,266.53,232.51,68.34,92.02
1957,361.26,19.59,49.47,20.91,630.94,324.02,111.47,152.11,224.78,538.71,280.99,134.69
1958,117.25,40.49,51.55,169.07,245.02,61.03,119.41,89.91,122.49,298.69,275.09,202.03
1959,263.74,120.84,135.70,358.67,218.70,355.01,88.22,243.41,273.43,342.03,248.98,210.62
1960,96.81,66.90,126.58,113.26,179.61,149.61,161.52,135.24,220.30,589.96,141.68,341.05
