Variable:,pr
Country:,"Kyrgyz Republic"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,46.28,18.93,51.95,87.77,99.04,46.62,35.86,6.95,11.92,46.82,78.47,29.80
1902,36.18,38.56,31.78,15.77,110.65,36.07,39.02,19.21,15.37,11.27,22.76,18.62
1903,19.83,5.28,43.23,62.89,91.95,42.17,23.05,9.46,21.25,25.78,13.90,28.87
1904,39.37,8.97,21.48,71.76,85.15,50.97,19.46,23.18,3.77,15.92,19.28,36.74
1905,23.21,19.57,29.19,46.81,54.76,44.80,50.32,25.96,5.87,15.93,15.17,33.56
1906,49.90,9.20,44.35,55.16,87.55,57.16,17.79,18.77,14.11,47.33,53.18,23.72
1907,59.75,41.73,48.45,57.76,57.63,43.61,6.65,15.65,14.12,28.70,23.34,18.97
1908,37.41,21.05,43.10,46.70,25.02,38.53,38.51,2.28,9.66,29.95,17.66,6.65
1909,14.91,38.26,93.33,50.80,51.06,60.18,14.73,8.55,7.88,14.51,8.75,20.95
1910,20.62,28.10,27.22,58.01,57.46,33.51,23.99,10.14,11.07,55.88,32.33,25.70
1911,15.27,50.77,42.18,24.24,64.50,41.08,23.86,6.22,11.61,10.04,14.85,32.94
1912,34.61,27.48,26.58,59.91,59.08,30.41,1.93,4.75,8.39,25.97,41.24,13.23
1913,28.08,25.02,39.12,48.82,86.69,43.43,10.98,9.08,4.87,27.83,28.01,22.46
1914,11.59,32.52,40.40,77.75,44.53,25.58,38.16,7.12,2.87,17.85,6.57,26.72
1915,20.86,18.80,59.73,42.67,25.23,28.44,14.61,2.51,7.86,25.12,17.54,15.26
1916,4.62,19.24,19.96,7.98,25.22,13.98,9.27,6.49,1.26,16.28,16.61,15.14
1917,15.47,24.28,46.96,45.61,59.88,5.28,32.88,3.31,2.43,16.72,41.49,28.76
1918,22.71,26.11,50.73,32.39,49.10,30.56,13.55,3.45,11.85,4.77,13.01,15.54
1919,23.79,36.59,45.83,49.18,45.62,61.31,38.51,16.76,20.66,33.98,44.75,24.58
1920,18.94,34.32,45.00,93.19,68.70,57.33,16.10,19.05,7.75,36.61,28.70,40.98
1921,22.86,38.81,36.58,49.38,79.56,30.59,37.20,8.47,1.92,26.48,16.72,18.62
1922,10.01,38.98,73.09,51.53,63.52,51.62,23.37,4.23,10.70,33.21,24.05,14.64
1923,20.46,27.73,55.21,50.15,64.19,35.19,16.81,8.41,13.23,21.40,25.81,47.66
1924,18.87,3.70,38.46,75.34,38.32,15.36,17.98,6.69,0.97,26.45,19.69,20.35
1925,20.93,22.22,16.60,41.53,49.58,52.71,44.28,9.82,12.70,6.24,24.59,15.98
1926,18.83,8.90,24.10,24.25,60.94,8.85,10.34,11.53,15.50,14.80,37.89,43.97
1927,29.64,27.10,43.23,70.37,70.96,31.81,44.60,30.57,12.40,16.20,49.70,42.85
1928,28.90,35.73,50.36,22.30,54.65,36.89,17.36,10.42,15.60,10.22,20.84,37.85
1929,13.62,39.99,11.29,58.91,45.30,38.77,8.63,16.33,10.18,25.94,12.89,42.89
1930,42.01,19.89,26.50,51.63,73.63,49.03,36.73,11.95,1.64,18.81,38.15,31.12
1931,54.59,12.72,20.46,49.06,50.04,36.27,23.43,16.74,8.52,28.08,44.04,28.60
1932,18.16,23.95,46.34,31.86,37.88,52.62,17.10,7.89,5.68,22.57,32.40,66.94
1933,13.69,59.28,35.97,75.63,60.34,51.01,33.83,19.88,18.26,15.17,17.41,30.63
1934,30.60,17.12,57.70,30.78,43.39,65.28,21.85,2.77,14.41,33.04,66.83,34.01
1935,6.56,22.97,28.81,58.10,58.48,30.37,34.29,19.02,8.81,20.42,7.57,27.02
1936,35.15,12.64,24.15,66.26,92.96,42.08,27.88,14.72,8.75,31.03,31.44,9.54
1937,37.05,31.88,33.67,18.08,47.94,34.13,22.12,11.18,6.64,13.59,14.53,34.53
