Variable:,pr
Country:,Cambodia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,10.76,10.44,32.48,81.92,184.76,263.45,273.51,311.08,321.44,234.97,102.86,33.20
1902,8.34,10.28,23.30,72.49,198.49,288.05,280.29,313.35,312.08,234.56,99.77,35.51
1903,6.57,14.88,37.06,90.65,203.91,267.52,275.53,296.76,318.66,240.13,114.55,30.64
1904,7.87,13.53,47.45,78.84,202.14,276.83,294.16,310.12,311.64,233.30,106.68,30.28
1905,22.65,9.82,22.88,72.74,188.73,272.96,294.73,311.22,317.58,228.55,102.10,30.28
1906,7.10,27.55,48.50,73.60,200.65,272.03,276.15,297.08,300.67,241.68,106.24,30.35
1907,22.93,38.16,39.75,79.13,197.84,280.69,297.54,323.31,321.35,242.66,111.22,31.49
1908,17.97,29.72,51.90,77.15,189.24,266.32,293.31,326.21,316.11,233.96,122.25,30.28
1909,14.54,22.42,94.90,80.94,190.54,291.92,282.02,331.46,317.42,238.62,102.48,34.01
1910,25.24,30.98,13.87,99.34,162.67,281.30,221.63,226.34,298.53,191.05,62.45,30.12
1911,18.53,8.41,40.43,67.27,162.46,213.88,431.33,324.50,244.27,195.64,181.56,32.26
1912,17.02,37.10,14.17,55.36,190.92,240.76,284.03,275.53,302.51,176.74,146.88,26.02
1913,19.59,13.76,50.50,57.28,151.26,298.25,310.07,256.63,248.61,228.53,119.18,37.70
1914,3.02,3.58,55.32,60.98,177.75,234.60,220.63,337.56,351.77,351.24,71.90,56.06
1915,4.31,16.40,99.60,41.36,174.68,304.45,289.22,265.20,337.64,251.04,93.30,21.40
1916,5.46,4.21,36.33,51.69,147.10,331.99,252.89,316.54,405.90,354.19,166.20,41.05
1917,5.71,13.92,35.54,87.52,171.95,245.97,192.03,283.26,345.01,260.99,88.00,25.11
1918,3.02,33.46,30.60,78.52,166.33,259.67,328.10,290.68,238.06,159.22,87.00,20.20
1919,8.83,6.58,32.63,72.84,162.68,261.30,310.53,224.66,295.08,236.58,81.13,48.09
1920,25.43,13.91,137.07,84.18,201.12,216.92,286.94,228.69,356.39,159.66,53.97,24.39
1921,10.13,11.45,51.83,50.86,131.72,207.45,288.37,250.89,331.74,158.81,114.86,29.88
1922,11.92,21.40,69.80,102.39,219.73,307.35,271.25,297.13,301.34,309.45,121.37,17.79
1923,20.87,5.81,59.10,88.34,191.10,290.66,306.39,310.07,260.68,264.94,57.06,17.79
1924,10.07,6.63,129.34,91.31,174.48,270.65,286.16,335.83,299.21,185.21,73.95,27.28
1925,5.41,9.78,44.72,43.70,148.01,272.23,303.90,371.40,386.42,249.86,80.02,44.85
1926,13.33,20.00,28.49,85.72,192.11,268.96,290.85,243.21,220.46,250.77,62.27,22.62
1927,4.39,36.71,38.66,122.16,165.77,281.50,217.35,238.05,318.74,192.42,65.18,18.58
1928,22.78,31.22,52.56,86.21,164.98,241.59,281.30,318.12,225.45,260.13,57.80,46.28
1929,5.49,24.81,34.43,70.74,202.05,242.98,242.18,249.67,341.93,140.56,129.73,26.34
1930,12.98,26.69,22.89,76.71,169.20,232.48,283.06,354.17,268.13,219.28,63.96,19.40
1931,4.00,15.49,25.19,53.14,139.60,204.77,318.08,197.59,290.43,333.75,79.91,12.31
1932,11.41,19.52,14.51,64.26,119.50,277.88,270.90,260.44,322.24,180.45,127.62,11.27
1933,2.89,28.06,72.52,84.63,137.58,222.56,261.04,339.23,309.01,157.47,104.89,41.09
1934,7.64,27.10,37.28,91.03,182.68,229.56,268.65,244.69,310.52,230.63,162.42,32.45
1935,7.37,12.64,53.34,54.58,161.48,296.26,238.46,289.78,248.73,147.76,75.72,32.74
1936,11.81,39.74,26.48,97.04,157.64,197.00,176.06,307.19,308.43,185.15,101.43,33.64
1937,5.69,17.37,38.57,98.36,160.35,334.76,269.83,233.91,386.58,295.04,77.15,22.33
1938,4.35,17.10,53.38,71.81,178.67,238.25,280.41,293.33,316.48,192.35,174.69,11.74
1939,2.99,11.54,11.42,59.39,179.30,272.73,233.75,301.99,335.68,135.30,87.11,22.77
1940,15.80,33.21,56.05,36.58,265.43,213.94,393.11,284.34,229.68,303.88,97.64,66.11
1941,28.54,17.78,71.93,87.93,168.16,308.65,210.99,417.85,288.86,264.38,125.26,36.24
1942,2.22,12.26,68.01,115.12,197.45,213.35,203.27,281.36,362.72,184.79,117.51,22.10
1943,11.24,7.56,25.18,84.48,143.59,246.32,231.06,370.37,263.34,334.19,180.90,41.69
1944,14.75,38.00,36.50,107.27,219.57,320.80,267.58,408.86,389.52,107.71,133.19,31.48
1945,3.65,11.68,33.38,119.72,273.20,228.71,242.70,302.17,298.60,289.46,91.89,21.05
