Variable:,pr
Country:,Monaco
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,49.70,156.30,40.10,116.40,37.70,40.20,9.70,51.30,41.70,126.20,123.20,36.30
1902,39.50,22.30,42.00,77.70,75.30,152.40,39.40,13.00,31.00,172.70,66.40,193.30
1903,39.70,101.60,79.00,30.10,16.70,79.00,25.20,82.30,87.70,29.40,20.00,52.00
1904,27.50,41.60,73.30,58.60,132.70,105.70,15.70,80.80,129.80,51.10,169.50,36.70
1905,31.60,70.80,67.80,67.40,29.90,14.70,88.20,0.50,16.30,146.60,201.90,25.20
1906,15.60,34.50,12.70,64.30,72.60,59.20,23.60,13.00,152.80,353.10,162.80,167.70
1907,14.40,5.80,68.20,49.00,39.40,76.30,61.90,63.50,53.90,49.60,38.30,63.20
1908,16.30,85.90,183.80,15.70,44.80,86.20,11.60,63.20,143.80,87.00,71.80,70.10
1909,32.80,40.00,131.50,147.00,60.70,72.10,6.00,38.20,65.80,97.90,146.50,190.90
1910,43.40,28.80,80.50,50.50,87.10,72.40,19.60,35.30,69.70,151.20,188.30,104.00
1911,138.30,110.10,101.10,57.20,57.40,85.20,29.00,56.20,56.00,87.70,41.40,52.90
1912,38.40,19.70,136.10,141.40,60.10,20.00,11.00,17.60,148.20,145.90,77.50,34.30
1913,32.10,146.70,78.70,25.20,115.20,42.50,67.50,93.80,35.90,237.20,90.20,142.70
1914,93.10,187.60,52.10,69.50,142.10,92.00,21.00,6.70,83.00,72.60,67.90,75.00
1915,2.30,134.60,213.60,78.50,62.40,12.40,9.30,41.50,103.00,100.50,149.70,194.80
1916,95.10,38.10,137.80,47.20,184.30,68.70,32.30,31.40,56.60,53.50,10.90,117.20
1917,61.10,12.00,80.90,168.40,82.80,44.10,17.30,5.80,70.90,181.50,58.60,27.50
1918,145.80,82.50,65.40,37.00,9.10,19.70,24.80,17.30,112.80,86.00,138.10,20.80
1919,148.10,23.40,168.50,110.80,15.00,76.30,35.50,58.50,151.90,234.60,197.50,28.20
1920,22.00,32.40,19.30,66.90,64.60,23.40,20.50,39.00,15.10,8.80,29.00,39.50
1921,124.40,39.40,66.40,60.60,26.80,67.30,11.30,30.40,79.30,90.90,22.40,140.70
1922,12.80,102.20,29.20,128.00,39.00,19.30,6.10,39.90,56.20,55.90,228.10,77.00
1923,67.40,69.20,90.80,45.60,37.70,86.60,76.30,48.70,76.70,108.80,76.70,75.60
1924,20.50,87.20,138.30,69.50,79.80,18.00,55.20,70.20,50.80,48.10,65.20,69.30
1925,77.40,113.10,112.60,66.80,172.00,69.40,49.20,11.10,65.00,83.20,271.30,48.10
1926,53.80,58.70,142.10,20.90,33.90,45.50,24.50,16.30,73.70,26.80,150.50,180.40
1927,72.90,16.90,160.20,87.90,44.40,8.80,6.60,17.60,59.50,189.60,122.70,47.00
1928,65.40,16.40,3.00,59.20,65.70,17.90,9.60,87.80,64.60,104.90,58.40,101.10
1929,200.60,101.80,88.10,84.20,77.80,76.70,50.60,29.30,108.90,62.80,51.80,70.60
1930,33.80,44.60,76.80,36.20,130.60,9.40,8.00,51.90,65.30,133.30,255.30,29.30
1931,91.40,22.00,93.70,72.70,80.40,77.10,118.10,39.50,105.90,52.80,82.20,144.30
1932,65.20,34.20,103.60,32.90,34.70,74.60,3.50,6.40,169.50,72.60,228.90,137.90
1933,36.50,30.80,102.50,156.20,35.40,55.10,9.80,94.80,23.80,48.50,304.60,148.40
1934,14.50,50.70,62.70,51.00,95.20,9.60,11.30,93.20,13.60,183.20,278.60,188.20
1935,211.60,82.40,162.70,156.40,97.90,67.40,19.80,5.10,63.10,58.80,72.50,63.10
