Variable:,pr
Country:,"Myanmar (Burma)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,4.44,6.50,12.86,64.57,171.26,452.15,445.15,403.33,327.49,144.07,39.78,10.40
1902,5.49,7.24,25.35,32.28,182.80,356.60,295.38,413.73,295.74,260.98,66.08,8.67
1903,5.24,8.15,15.64,109.81,202.37,379.04,573.06,384.50,343.41,119.39,106.09,13.00
1904,5.48,10.75,25.84,40.78,244.87,299.30,347.39,423.74,425.18,166.14,61.19,31.04
1905,5.42,13.18,14.58,41.63,185.46,378.47,410.17,376.63,315.18,205.11,46.15,5.05
1906,14.15,8.89,75.63,38.29,226.49,378.82,321.04,369.24,265.67,158.92,37.23,23.91
1907,5.12,8.10,11.14,95.12,199.76,526.29,420.16,364.85,223.54,142.57,62.28,5.94
1908,7.73,6.54,10.11,50.48,255.74,412.73,437.29,434.66,213.52,226.57,81.44,5.48
1909,7.07,12.70,26.12,84.61,311.64,402.66,446.87,474.76,330.76,188.47,62.22,9.91
1910,15.31,7.49,22.20,89.05,239.73,436.69,353.86,359.45,319.29,195.19,29.55,4.79
1911,9.38,11.88,21.76,37.49,237.84,452.30,397.04,400.96,251.69,198.53,72.93,7.15
1912,5.84,28.67,49.94,34.66,198.76,345.65,493.82,474.84,219.95,189.33,95.92,15.00
1913,5.48,8.78,21.42,50.22,249.56,452.99,409.40,453.36,192.42,176.10,53.44,29.08
1914,5.75,12.76,28.28,96.56,353.77,442.52,427.02,406.83,255.06,202.97,75.33,27.20
1915,6.70,8.02,26.12,66.33,182.95,388.83,390.37,415.14,310.21,191.12,73.28,23.14
1916,4.12,24.58,12.75,42.01,157.91,460.80,361.09,542.54,279.68,232.49,53.14,9.98
1917,4.69,8.88,27.03,63.13,311.47,412.88,325.90,470.58,246.66,153.76,58.15,8.87
1918,2.24,15.28,12.50,44.24,260.62,419.55,486.95,388.21,232.05,161.39,86.11,10.80
1919,8.95,21.49,31.20,27.52,214.97,223.08,429.70,458.95,253.30,149.92,37.36,8.57
1920,22.40,8.77,30.80,54.67,190.72,337.57,439.96,423.51,349.90,252.89,70.01,4.46
1921,4.86,3.93,28.86,105.34,233.70,377.50,387.67,373.06,328.91,200.07,86.69,22.46
1922,6.12,11.79,36.59,67.62,219.55,459.25,315.16,429.69,206.25,202.00,83.87,15.29
1923,9.24,11.09,9.64,70.97,220.44,370.62,395.48,436.33,221.82,234.08,95.84,3.47
1924,10.33,9.77,13.55,93.77,165.78,558.37,390.72,352.12,246.04,190.13,39.09,8.06
1925,6.62,9.99,30.12,46.42,134.50,361.30,352.04,343.53,288.29,317.30,98.08,16.00
1926,7.40,32.55,15.15,80.17,233.99,423.89,464.17,274.23,302.35,294.07,46.76,2.98
1927,3.75,16.95,11.98,77.43,190.80,503.01,421.71,438.22,249.97,265.14,52.56,3.55
1928,4.15,10.52,38.38,90.77,310.26,358.95,453.61,343.09,284.52,140.74,42.77,7.31
1929,5.09,17.88,41.94,41.32,291.85,435.81,366.39,320.05,331.91,115.85,69.63,6.04
1930,6.38,10.87,20.39,43.79,185.28,335.20,304.89,341.64,327.23,132.80,47.48,24.10
1931,3.85,16.74,17.71,57.65,157.18,452.04,524.66,409.29,255.02,233.95,74.05,6.98
1932,4.29,8.01,17.04,62.56,234.79,372.55,408.68,393.84,265.30,143.60,48.38,3.72
1933,3.56,12.99,11.77,61.24,101.99,331.52,519.42,361.05,312.75,209.65,87.72,5.43
1934,3.14,13.02,12.52,62.55,154.32,463.34,391.75,336.72,335.47,202.47,126.20,15.30
1935,4.18,24.75,11.27,63.12,271.40,355.92,403.95,278.78,268.69,181.77,36.80,5.74
1936,2.96,14.22,11.62,71.47,250.60,287.48,455.89,512.26,346.65,149.33,34.07,23.43
1937,7.56,10.10,19.60,59.53,274.41,544.27,458.44,411.66,314.11,239.27,86.63,4.51
1938,7.60,10.30,56.50,55.75,239.98,343.73,459.22,659.37,407.27,107.24,61.52,4.46
1939,2.02,8.98,23.37,29.21,279.31,391.28,337.37,490.90,292.18,162.18,30.87,20.89
1940,6.11,14.67,19.41,55.64,205.46,429.22,389.03,387.14,283.53,180.01,46.53,11.51
1941,6.76,11.02,26.38,89.92,218.07,435.66,384.09,475.26,304.27,128.96,69.90,10.17
1942,9.45,14.93,23.43,69.27,207.55,358.96,410.28,434.97,317.47,122.60,73.13,7.86
1943,11.95,14.23,19.71,53.48,176.10,433.37,431.18,424.93,254.96,186.48,57.27,11.27
1944,14.19,17.35,21.51,58.08,193.51,438.56,418.26,387.17,263.14,137.52,40.08,15.83
1945,4.01,10.13,23.12,79.17,184.08,368.02,374.05,389.07,272.10,199.13,42.55,9.16
1946,9.98,11.66,23.79,81.53,171.72,415.31,407.78,412.73,310.10,211.58,35.14,13.84
1947,17.82,16.51,20.96,79.70,274.19,316.35,324.28,399.62,335.03,237.81,49.52,4.75
1948,7.00,9.78,24.15,99.90,163.06,224.24,415.32,406.13,332.37,140.00,62.53,4.63
1949,3.78,13.45,15.79,66.55,151.89,433.47,351.20,381.03,277.41,234.09,85.42,24.91
1950,15.57,3.81,29.99,52.82,171.40,403.62,419.75,410.54,295.71,244.53,41.09,19.83
1951,3.46,6.38,38.75,56.16,146.46,454.71,398.26,414.47,284.73,243.31,64.35,4.13
1952,19.93,13.85,24.15,61.99,244.11,416.79,439.54,363.04,306.99,187.68,59.44,5.66
1953,4.74,13.99,39.14,51.20,236.89,284.17,323.66,416.12,287.56,200.59,20.91,7.81
1954,3.31,5.40,47.13,51.68,183.37,540.04,380.75,429.04,271.57,194.12,121.34,4.37
1955,7.37,8.86,23.00,61.19,256.44,328.53,352.88,423.74,293.72,231.53,58.40,3.71
1956,9.30,15.86,12.17,39.72,145.71,423.82,355.77,394.44,285.88,176.18,26.26,4.12
1957,9.98,8.53,32.72,42.89,161.44,446.96,399.85,387.41,244.75,185.91,20.45,4.24
1958,26.15,22.11,35.50,49.94,222.07,420.70,469.21,475.17,348.52,211.65,18.34,12.35
1959,9.08,7.63,13.35,18.98,179.74,266.94,445.49,381.93,286.15,206.10,49.24,10.15
1960,6.14,24.80,26.28,71.37,213.08,598.18,351.03,489.45,302.85,187.58,45.06,18.07
1961,9.53,14.41,9.66,43.63,224.61,301.60,350.37,372.03,266.22,209.63,15.17,4.54
1962,1.64,4.86,13.79,73.14,141.78,487.52,388.41,375.82,295.36,297.99,45.88,11.11
1963,5.53,11.68,14.54,55.62,232.67,351.47,448.85,396.67,286.35,231.92,44.71,7.69
1964,7.38,30.39,13.93,28.77,206.44,424.58,404.96,416.32,259.01,289.21,64.52,42.14
1965,6.24,5.06,15.04,31.18,256.78,380.90,445.40,426.38,263.94,176.24,31.84,19.91
1966,26.15,6.33,27.07,63.83,168.68,373.80,428.43,365.48,376.21,139.79,52.48,4.50
1967,26.72,18.33,16.61,99.05,232.89,522.44,358.27,441.68,291.90,212.18,22.61,2.91
1968,11.22,2.86,21.60,56.88,191.14,408.20,376.82,464.51,273.18,161.13,38.21,4.04
1969,9.31,13.05,29.00,48.42,301.39,426.30,362.59,429.73,308.65,192.89,81.60,35.58
1970,8.09,5.53,17.01,42.62,197.65,396.12,491.42,507.73,246.42,157.92,52.32,10.22
1971,3.71,8.54,12.49,102.21,107.05,364.13,402.44,394.62,216.62,127.93,112.58,15.96
1972,4.82,8.32,26.01,38.76,287.60,377.35,467.66,512.85,314.48,149.75,130.49,9.89
1973,5.43,2.42,62.58,88.72,244.39,375.31,472.99,413.44,326.15,169.17,90.65,13.67
1974,25.55,8.93,23.18,70.89,272.54,367.32,504.15,387.26,233.69,133.73,64.64,13.75
1975,7.23,24.35,27.64,73.82,205.31,411.32,391.62,471.37,189.17,120.02,78.15,6.88
1976,16.88,17.50,37.89,119.83,188.64,308.77,371.48,372.42,271.84,173.58,67.64,32.30
1977,12.28,17.79,6.47,44.29,251.56,326.78,452.70,434.44,329.05,139.83,20.84,2.58
1978,2.54,6.17,12.85,46.45,113.05,377.97,341.27,484.30,275.15,115.18,23.99,23.63
1979,2.16,9.70,28.98,39.40,236.57,445.03,435.64,347.59,324.73,194.85,30.88,10.90
1980,8.28,16.11,23.62,81.21,205.83,429.82,472.23,342.48,235.45,113.52,89.11,10.81
1981,1.61,19.07,15.31,86.01,154.37,338.20,346.67,377.66,269.73,105.63,57.42,6.03
1982,8.63,20.26,32.07,53.62,110.42,316.02,378.46,493.42,281.28,219.00,110.48,33.96
1983,6.62,11.34,7.79,60.65,208.41,382.76,407.62,330.88,199.82,128.57,15.94,6.46
1984,7.53,10.65,18.66,66.67,172.58,440.62,354.96,331.29,285.53,131.05,93.20,4.76
1985,2.40,3.92,9.85,76.68,116.69,274.75,385.88,335.51,159.53,206.37,65.60,15.04
1986,7.13,13.46,20.47,69.59,65.23,335.76,355.72,380.78,316.06,130.91,94.84,9.44
1987,2.90,13.15,18.46,74.95,241.29,403.09,464.43,414.67,251.77,205.96,79.17,8.39
1988,6.61,8.99,22.70,50.39,156.84,363.29,398.39,298.51,256.85,296.61,27.30,8.13
1989,4.21,14.99,32.93,50.47,277.96,402.38,401.97,269.06,244.57,167.35,63.37,13.64
1990,10.37,7.01,15.29,92.05,146.27,395.01,357.62,425.22,270.98,174.72,84.66,17.45
1991,8.89,28.63,10.26,26.60,124.37,267.26,463.73,467.08,279.74,268.22,41.92,13.32
1992,12.01,22.19,50.27,46.99,215.24,301.21,349.13,374.40,290.54,128.70,17.22,2.51
1993,3.90,18.91,57.25,55.80,176.67,401.13,399.88,514.98,250.35,141.80,41.30,9.14
1994,5.74,8.85,13.65,27.89,181.52,321.06,429.11,434.74,339.52,132.69,107.85,2.25
1995,2.38,21.28,34.12,91.11,196.27,351.03,410.33,470.40,300.81,188.04,67.90,5.50
1996,4.07,7.30,41.07,63.31,116.66,327.34,433.69,424.66,392.62,114.58,49.05,17.78
1997,9.60,11.99,32.05,61.79,202.33,364.30,458.18,398.38,230.94,120.79,53.31,4.29
1998,7.37,8.33,14.87,89.72,283.53,283.38,468.52,392.12,286.45,211.15,79.01,12.72
1999,10.52,14.04,28.12,93.04,241.88,373.44,373.91,391.31,298.49,205.88,21.64,2.73
2000,5.73,9.58,31.71,20.09,257.27,332.12,359.59,407.44,293.39,296.10,42.37,4.78
2001,10.71,4.49,19.11,58.75,251.19,321.87,367.41,603.68,292.41,135.69,120.02,18.79
2002,9.59,13.27,25.85,49.95,192.25,373.01,397.48,349.63,302.61,154.49,18.85,7.30
2003,8.36,6.33,10.63,84.50,282.40,388.21,408.95,301.23,354.61,137.95,29.44,3.08
2004,4.49,5.52,36.23,56.85,103.44,305.00,350.70,414.93,341.40,171.89,71.32,34.21
2005,1.70,10.39,13.85,81.89,241.56,333.13,446.74,487.91,375.07,196.06,40.56,5.17
2006,3.03,21.86,6.29,68.01,314.70,438.38,388.17,318.79,338.90,251.69,65.80,3.16
2007,25.82,14.84,17.91,63.62,247.07,308.63,463.98,321.35,278.32,234.27,56.35,5.45
2008,2.67,4.18,15.35,83.23,228.74,329.21,345.47,424.31,259.09,160.21,22.77,3.11
2009,7.08,2.66,23.32,55.69,144.15,340.38,432.05,482.18,273.42,266.44,23.90,31.32
2010,13.71,5.84,41.94,78.90,234.67,357.57,402.85,641.45,306.09,222.66,29.77,9.12
