Variable:,pr
Country:,Mauritania
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.59,0.63,0.25,0.63,0.84,5.47,20.11,33.57,19.41,5.37,1.05,0.78
1902,0.59,0.63,0.25,0.77,0.85,6.87,21.60,38.82,22.11,3.18,1.01,0.78
1903,0.59,0.63,0.25,0.63,0.82,7.86,19.51,36.54,20.82,4.58,1.04,0.82
1904,0.45,0.55,0.34,0.63,1.62,9.55,23.78,44.47,29.62,9.51,0.92,0.67
1905,0.63,0.52,0.24,0.63,1.71,10.35,38.24,42.85,24.35,2.54,1.63,0.82
1906,1.01,0.81,0.26,0.47,0.56,6.22,24.02,38.39,23.53,4.46,1.07,0.65
1907,0.82,0.36,1.36,0.47,0.34,3.96,14.10,35.68,28.98,2.29,0.81,0.75
1908,0.48,0.69,0.29,0.59,1.48,6.69,28.05,35.89,23.50,4.36,0.84,0.77
1909,0.79,0.50,0.28,0.61,0.55,4.63,25.87,43.49,28.55,2.81,0.86,0.67
1910,0.39,0.40,0.19,0.55,1.56,4.08,21.70,37.83,20.16,3.90,0.80,0.64
1911,0.39,0.41,0.19,0.54,0.36,3.46,14.74,46.42,23.79,3.96,0.81,1.09
1912,0.81,0.40,0.23,0.53,0.41,5.45,16.56,41.78,18.98,2.74,0.81,1.14
1913,0.40,0.48,0.19,0.53,0.49,5.22,18.50,32.55,22.46,4.09,2.00,0.71
1914,0.59,0.70,0.27,0.72,0.73,6.28,20.00,38.50,24.23,4.34,1.07,0.78
1915,0.51,0.64,0.26,0.72,0.73,6.37,20.83,44.72,23.99,4.40,0.98,0.78
1916,0.59,0.70,0.27,0.72,0.73,5.95,19.01,39.21,25.55,3.98,1.07,0.78
1917,0.56,1.34,0.33,0.62,1.11,7.80,21.55,42.24,32.84,6.89,0.87,0.68
1918,0.45,0.55,0.23,1.41,1.49,6.68,20.42,36.62,23.52,4.23,2.11,0.66
1919,0.48,0.68,0.19,0.83,1.39,7.69,18.55,44.06,26.37,2.48,1.46,0.69
1920,0.40,0.70,0.17,0.28,0.46,6.36,10.33,33.94,16.23,3.19,0.95,0.68
1921,0.36,0.23,0.16,0.29,1.19,4.33,21.18,39.98,25.52,7.08,1.51,1.47
1922,1.17,0.24,0.27,1.17,0.28,3.13,26.56,34.80,29.58,6.21,1.21,0.83
1923,0.91,0.57,0.14,0.55,0.44,10.33,26.19,32.55,34.49,2.01,1.79,0.91
1924,0.55,0.23,0.29,0.16,0.18,5.27,16.51,44.53,26.52,8.79,0.66,0.56
1925,0.94,0.23,0.15,0.16,0.31,9.54,20.09,28.23,20.23,2.08,0.66,1.08
1926,0.32,0.24,0.14,0.90,2.07,6.36,18.95,58.85,33.35,4.83,1.17,0.57
1927,0.54,0.33,0.14,0.45,0.68,5.88,20.01,53.28,17.55,6.19,1.21,1.18
1928,0.37,0.23,0.14,0.24,0.93,10.13,23.37,53.94,23.86,3.01,0.67,0.60
1929,1.53,1.06,0.14,0.23,1.36,4.65,18.97,52.63,23.36,6.91,0.85,0.98
1930,0.46,0.71,0.18,1.01,1.40,3.84,20.31,16.44,35.12,3.22,1.08,0.92
1931,0.35,0.25,0.14,0.23,1.97,7.97,28.35,52.33,17.08,1.49,0.79,0.55
1932,1.79,0.22,0.18,0.95,0.86,12.65,32.05,45.69,23.70,4.24,2.59,1.22
1933,0.37,0.39,0.15,0.33,0.31,10.67,25.65,41.44,20.40,2.08,0.80,0.55
1934,0.30,0.55,0.12,0.19,0.06,8.62,24.56,48.94,25.88,7.52,0.39,0.96
1935,0.31,0.12,0.07,0.22,1.60,7.04,27.70,50.36,29.96,2.99,2.14,1.49
1936,0.30,0.12,0.08,0.14,0.09,3.80,18.70,58.61,20.31,3.40,0.71,0.55
1937,0.30,0.17,0.78,0.14,0.23,3.71,23.37,36.07,27.03,13.90,0.32,0.44
1938,0.26,0.10,0.43,0.13,2.05,4.94,15.74,54.25,19.92,4.20,0.50,0.76
1939,0.26,0.11,0.06,0.11,0.42,9.54,14.88,59.71,22.13,10.69,0.35,0.59
1940,0.43,0.10,0.19,0.07,1.62,4.76,17.65,21.72,28.07,0.93,0.27,0.50
1941,0.29,0.43,0.40,0.24,1.46,2.10,15.94,35.59,9.18,4.44,3.54,0.82
1942,0.18,0.38,0.27,0.49,0.20,9.27,20.83,60.16,38.89,5.99,0.20,1.46
1943,0.18,0.27,0.04,0.35,0.45,7.55,18.37,29.88,34.24,16.43,2.58,0.24
1944,0.29,0.08,0.06,0.96,1.35,4.28,29.03,41.97,28.47,4.65,1.75,0.23
1945,1.08,0.07,0.04,0.73,0.04,3.59,23.66,37.07,34.53,5.04,0.33,0.44
1946,1.06,0.38,0.04,0.08,0.25,3.50,14.10,63.56,29.62,0.90,2.10,0.23
1947,0.15,1.41,0.04,1.85,0.35,10.80,16.98,49.02,14.57,4.21,0.13,0.42
1948,0.15,0.79,0.43,0.51,0.84,4.54,21.91,41.88,12.60,2.32,2.17,2.41
1949,0.15,0.06,0.04,0.40,0.84,5.85,25.62,68.54,40.03,8.44,0.46,0.57
1950,0.73,1.42,0.18,0.18,1.50,4.58,22.95,37.09,35.22,16.53,2.84,1.59
1951,0.32,0.04,0.06,0.06,1.49,7.72,28.04,45.51,53.10,5.26,2.72,0.23
1952,1.84,0.74,0.59,0.15,0.96,9.88,38.44,46.37,27.07,8.40,0.68,1.12
1953,0.52,1.92,0.04,1.18,0.41,9.70,38.54,58.20,21.08,3.88,5.75,1.46
1954,0.15,0.20,0.15,2.14,0.57,12.52,31.99,55.20,32.53,3.92,0.20,0.24
1955,3.12,1.45,0.08,0.04,0.48,6.53,20.83,34.62,40.58,6.90,1.48,0.94
1956,0.79,0.41,0.03,0.23,1.32,10.60,22.44,56.45,31.20,8.09,0.47,1.74
1957,1.53,1.87,0.03,0.20,0.71,9.40,31.11,63.93,27.31,2.43,1.26,0.23
1958,0.26,0.48,0.58,0.04,1.26,8.35,17.85,48.78,22.50,1.81,0.31,0.23
1959,0.15,0.07,0.08,0.27,1.47,7.72,27.57,35.59,28.52,3.05,0.17,0.81
1960,0.28,0.04,0.03,0.04,1.03,11.18,28.04,33.84,30.46,1.93,0.31,0.23
1961,0.15,0.60,0.07,1.52,0.31,10.39,26.22,53.29,15.86,5.93,0.64,2.28
1962,0.65,0.90,0.10,2.51,1.06,6.97,22.83,37.69,22.12,13.33,0.46,0.24
1963,0.42,0.12,0.07,0.18,1.37,7.28,30.02,51.81,27.22,3.55,0.39,1.81
1964,1.00,1.38,0.07,0.07,0.13,7.79,21.51,58.45,38.51,8.03,2.76,0.23
1965,0.15,0.04,0.53,0.04,1.74,7.97,17.85,33.40,34.59,18.47,1.07,0.98
1966,0.15,0.31,0.56,0.10,0.65,10.17,21.37,43.93,42.58,11.56,3.65,0.23
1967,0.15,2.85,0.08,1.85,0.15,4.74,19.10,30.62,20.65,1.23,1.21,0.33
1968,0.93,0.04,0.40,0.03,0.58,3.24,34.85,57.00,25.49,18.32,0.48,0.89
