Variable:,pr
Country:,Montserrat
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,138.40,78.90,119.80,142.80,381.00,306.60,254.20,226.00,248.10,225.10,375.20,224.40
1902,106.40,102.20,78.60,322.40,173.00,282.90,221.80,335.60,272.60,244.40,228.70,244.50
1903,199.00,116.20,154.10,133.80,216.80,127.30,219.70,220.00,360.40,289.30,193.50,187.50
1904,148.20,92.60,145.50,153.20,175.10,189.90,172.80,223.40,314.10,356.30,324.10,151.20
1905,126.90,94.60,108.50,171.20,199.70,237.30,228.80,241.90,374.00,268.20,292.40,173.90
1906,128.10,94.60,115.40,153.30,221.70,159.90,206.40,204.30,231.40,309.50,235.10,240.40
1907,129.00,66.50,82.40,161.60,135.60,203.90,228.50,189.50,276.90,230.40,198.00,320.40
1908,154.80,124.90,118.80,171.10,216.70,204.00,214.80,267.40,269.10,298.00,318.10,211.80
1909,175.20,149.50,144.90,90.80,424.40,211.70,222.10,258.10,255.60,186.30,209.40,171.60
1910,160.50,123.90,114.20,174.00,225.70,190.60,222.20,248.30,272.50,294.60,293.80,239.10
1911,154.90,115.40,116.70,178.60,216.30,192.50,211.50,243.50,268.60,304.60,307.80,214.40
1912,160.80,120.50,122.10,174.70,218.50,193.30,213.30,244.20,273.40,309.70,298.00,213.30
1913,155.80,124.70,119.50,171.00,233.40,193.80,212.90,248.30,268.60,291.30,301.60,223.20
1914,160.40,121.50,117.60,179.90,218.20,198.90,219.30,245.00,273.30,294.80,309.00,217.40
1915,158.60,118.00,113.40,172.70,219.80,196.80,219.50,261.00,287.40,302.90,309.40,212.40
1916,154.70,115.80,114.50,172.30,226.00,197.00,222.80,248.20,274.00,289.60,306.50,215.40
1917,157.30,118.00,115.50,170.90,216.00,194.70,217.30,242.00,274.30,294.70,301.50,220.70
1918,156.80,115.00,116.50,182.50,216.30,200.30,230.40,241.90,287.60,294.40,300.20,219.70
1919,164.80,121.00,121.30,166.80,216.20,191.70,216.60,249.70,272.70,296.40,296.80,216.60
1920,165.30,120.00,120.40,173.10,217.80,192.30,231.60,247.60,278.30,296.80,294.30,213.80
1921,163.50,121.20,122.30,170.40,215.70,190.80,218.10,249.90,270.50,295.70,292.70,223.60
1922,155.30,116.10,115.30,176.60,214.10,198.20,215.20,246.80,269.60,301.10,300.40,210.90
1923,156.90,118.00,116.00,172.70,218.80,195.50,216.00,251.20,267.30,291.30,313.50,217.10
1924,155.10,117.10,116.50,175.20,216.40,194.90,218.70,246.00,272.10,293.90,311.50,209.70
1925,160.20,116.60,118.60,169.80,217.80,189.80,222.20,250.30,266.50,303.00,292.30,212.40
1926,160.30,119.90,121.50,175.20,218.50,196.10,219.90,246.90,271.70,315.90,304.80,212.60
