Variable:,pr
Country:,"Norfolk Island"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.80,51.50,166.90,146.10,165.10,90.60,157.10,146.40,74.30,84.80,13.60,29.00
1902,16.40,193.80,12.70,160.30,107.70,172.40,196.40,95.20,163.00,213.50,155.30,235.80
1903,75.20,338.30,129.50,112.80,59.50,101.40,334.80,113.80,89.10,57.60,9.50,49.90
1904,14.30,86.00,8.30,28.00,102.60,92.10,120.10,98.00,97.30,74.30,81.60,137.20
1905,17.60,57.10,90.20,52.80,162.90,53.30,213.00,122.50,242.50,90.20,39.90,76.80
1906,107.50,129.70,121.40,118.80,44.70,196.00,166.70,63.00,42.30,102.60,77.80,310.40
1907,22.50,154.60,265.30,25.90,53.90,244.90,146.90,145.10,72.00,44.40,295.70,103.00
1908,274.00,163.60,48.20,112.30,238.80,129.50,111.00,149.50,227.60,55.60,34.70,10.20
1909,243.90,84.30,296.60,118.50,199.40,216.70,256.10,75.10,30.50,228.30,297.00,52.00
1910,158.90,154.60,49.90,106.50,232.30,102.40,104.60,116.70,136.40,110.10,6.60,74.80
1911,26.50,26.40,69.50,126.50,151.50,29.90,103.90,120.00,110.00,35.20,10.00,35.80
1912,99.00,104.00,124.00,143.00,130.00,162.00,130.00,120.00,110.00,97.00,106.00,103.00
1913,99.00,104.00,124.00,38.80,41.30,84.20,59.90,66.20,160.30,34.60,10.10,35.60
1914,60.90,62.90,24.60,117.30,148.70,110.90,268.60,217.80,186.40,112.10,32.60,176.70
1915,124.80,87.10,138.00,110.60,311.70,143.40,105.10,207.80,79.80,149.90,160.40,177.80
1916,27.70,60.90,412.50,263.20,111.80,189.10,109.70,149.80,113.90,302.90,192.00,100.90
1917,225.30,277.80,22.50,60.50,65.00,223.60,75.40,103.50,111.10,151.40,106.00,20.20
1918,97.70,114.00,128.50,134.10,108.50,138.50,233.60,98.20,61.90,111.00,7.20,16.80
1919,114.80,127.40,54.10,95.00,86.00,65.10,115.10,187.20,76.70,125.40,87.30,245.50
1920,106.00,24.50,15.90,48.00,228.70,106.80,156.50,97.10,48.90,104.60,17.10,39.00
1921,173.60,263.40,35.10,50.40,272.50,155.20,216.20,148.70,131.40,46.10,34.50,48.50
1922,125.40,148.80,44.30,209.40,77.00,122.30,209.00,86.80,234.00,53.90,49.10,151.50
1923,55.40,65.40,101.30,89.00,214.40,207.70,185.70,93.20,128.70,123.70,70.90,48.30
1924,57.90,64.00,41.40,179.60,409.60,54.30,138.10,119.40,49.80,45.50,87.00,41.50
1925,109.00,3.10,39.60,95.00,230.30,225.40,283.40,120.00,39.30,116.40,32.00,34.90
