Variable:,pr
Country:,Nauru
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,262.00,224.00,214.00,202.00,183.00,164.00,210.00,171.00,163.00,172.00,175.00,242.00
1902,262.00,224.00,214.00,202.00,183.00,164.00,210.00,171.00,163.00,172.00,175.00,242.00
1903,262.00,224.00,214.00,202.00,183.00,164.00,210.00,171.00,163.00,172.00,175.00,242.00
1904,375.20,318.60,196.30,363.50,244.50,274.90,248.40,171.00,305.60,308.40,245.30,241.00
1905,296.30,218.70,174.60,138.80,121.10,117.70,153.30,117.10,116.10,118.40,327.40,209.60
1906,248.00,166.80,216.20,228.90,129.40,164.00,171.20,121.60,122.50,220.40,242.90,203.20
1907,399.20,229.90,137.80,132.30,131.90,223.00,173.40,160.30,121.70,111.20,113.30,174.70
1908,193.00,146.70,148.60,131.90,123.90,121.10,209.80,140.20,142.20,122.70,126.00,159.10
1909,179.50,155.40,138.10,129.90,206.00,132.20,194.30,128.90,123.60,120.40,143.20,215.00
1910,204.90,197.50,408.20,431.00,183.90,221.00,234.10,169.70,286.60,319.20,216.60,355.80
1911,385.80,283.50,435.70,270.80,199.90,167.90,192.10,126.10,169.70,270.40,171.20,317.20
1912,294.70,292.30,153.30,143.60,139.40,107.00,178.90,164.50,194.90,202.80,240.70,274.20
1913,325.70,250.90,292.10,323.10,306.90,280.90,445.10,218.60,200.80,137.70,242.90,301.90
1914,303.60,222.70,243.10,275.40,383.80,158.40,157.40,116.90,112.30,109.90,114.30,181.70
1915,247.90,154.90,143.80,129.90,128.60,113.80,143.90,116.60,114.40,114.10,112.50,155.00
1916,169.70,146.20,137.80,138.70,120.50,138.40,154.70,118.70,157.20,112.20,116.50,191.70
1917,169.10,147.20,216.30,150.20,164.60,166.40,383.60,290.50,333.50,224.20,233.00,327.90
1918,340.70,342.10,351.60,338.30,209.50,213.30,312.10,276.00,326.40,378.60,212.00,289.90
1919,283.60,279.90,313.40,173.50,180.30,245.80,213.00,127.20,123.20,113.70,114.70,223.90
1920,325.40,158.00,143.80,134.60,129.30,114.10,186.00,125.70,143.00,132.90,157.50,293.30
1921,330.60,229.80,142.50,164.80,181.40,134.00,241.40,156.60,124.10,110.50,145.40,169.20
1922,213.60,189.00,285.70,232.30,120.60,221.60,206.90,329.10,136.00,188.70,275.00,307.70
1923,458.70,186.30,181.00,130.00,179.60,126.20,166.10,120.70,109.60,143.20,113.80,154.90
1924,171.80,150.10,150.60,129.30,132.40,178.10,185.70,197.30,144.80,293.30,178.00,242.00
1925,281.90,266.00,344.60,329.30,261.90,198.80,183.40,199.30,140.90,115.90,166.80,174.20
1926,169.80,144.40,141.20,129.60,143.90,141.20,215.80,131.20,135.40,114.80,193.00,331.70
1927,349.50,228.40,138.80,138.00,117.90,120.10,168.20,137.30,146.40,120.70,126.30,184.20
1928,270.00,324.90,158.30,140.20,173.60,152.70,235.60,236.50,122.00,134.80,291.90,303.70
1929,364.40,272.50,278.90,154.80,119.60,132.10,244.30,193.30,373.30,217.60,393.10,287.30
1930,365.50,280.40,348.70,189.50,182.80,174.20,153.80,177.90,130.00,130.40,116.70,216.50
1931,336.80,258.10,259.00,165.80,157.00,131.20,108.00,88.40,161.60,24.20,126.70,25.50
1932,308.80,42.60,65.90,177.50,147.60,189.80,255.30,140.60,109.60,115.80,114.90,154.70
1933,31.20,34.30,60.60,63.50,130.00,180.00,162.10,90.10,109.30,40.10,147.80,76.00
1934,373.90,179.00,146.20,149.10,138.80,125.00,210.00,119.80,183.70,128.50,190.90,227.70
1935,351.70,303.90,193.20,145.90,135.30,110.90,157.80,147.30,146.40,122.90,299.80,264.00
1936,162.60,422.00,172.20,62.50,47.00,54.10,155.20,140.00,87.60,113.30,185.70,33.00
1937,76.80,26.70,66.80,30.30,94.80,77.60,82.00,91.10,150.60,113.50,137.20,47.60
1938,172.20,152.10,153.20,206.50,201.40,183.10,186.70,218.20,125.80,126.70,248.80,314.90
1939,297.60,295.40,316.70,277.10,278.40,242.70,273.90,210.00,203.90,324.90,260.60,291.70
1940,297.30,208.80,242.00,312.00,223.30,164.00,288.20,171.20,322.80,248.90,268.90,242.00
1941,262.00,224.00,214.00,202.00,183.00,164.00,210.00,171.00,163.00,172.00,175.00,242.00
1942,262.00,224.00,214.00,202.00,183.00,164.00,210.00,171.00,163.00,172.00,175.00,242.00
