Variable:,pr
Country:,Pakistan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,6.06,8.01,17.74,17.37,15.85,18.16,32.61,37.74,17.69,6.68,11.86,7.42
1902,22.85,14.82,35.38,15.06,28.56,8.98,73.18,38.96,23.88,2.61,1.92,11.15
1903,39.83,13.08,54.20,12.96,10.79,7.85,30.75,32.00,18.05,8.51,10.27,8.26
1904,43.80,31.88,37.04,14.82,13.02,8.85,25.60,16.82,33.36,2.79,1.00,22.87
1905,9.91,61.50,34.46,13.13,20.28,12.58,30.60,47.24,26.77,3.28,1.01,11.15
1906,19.66,33.78,27.33,32.78,6.43,28.46,38.49,55.91,6.26,3.40,1.64,5.50
1907,34.83,20.47,16.18,50.79,15.40,11.44,79.17,84.20,25.86,3.28,1.03,17.79
1908,21.76,30.50,19.49,40.33,7.21,21.91,101.91,31.64,32.69,4.31,2.65,31.33
1909,41.63,13.58,17.05,28.03,9.28,28.97,72.21,77.17,6.88,2.49,0.93,9.17
1910,51.05,16.28,52.58,14.43,10.90,9.55,17.11,21.08,11.57,5.26,8.63,11.26
1911,41.75,19.14,12.82,23.43,18.71,13.47,45.62,49.97,10.84,2.90,2.43,19.01
1912,15.04,28.83,27.20,20.50,12.93,21.99,44.35,52.88,27.28,3.56,4.26,20.86
1913,21.52,39.14,22.42,36.75,12.08,28.40,94.40,30.81,31.36,21.69,9.16,11.19
1914,7.89,33.34,26.27,43.87,5.99,12.93,37.81,19.77,16.64,11.11,1.41,7.45
1915,18.53,22.92,13.55,31.44,21.74,13.33,53.97,130.91,24.67,7.50,0.88,3.43
1916,15.34,7.66,31.31,16.96,16.42,18.97,29.50,96.25,61.08,10.15,0.86,16.25
1917,6.72,8.44,46.54,29.77,4.49,15.66,20.20,28.98,13.03,2.68,6.38,29.09
1918,33.83,19.32,28.51,19.29,10.23,4.43,65.70,67.73,16.00,2.06,1.32,32.18
1919,32.26,22.48,34.85,22.45,14.51,12.99,26.42,22.81,14.08,2.02,4.28,5.28
1920,12.50,9.02,18.54,16.96,10.30,13.24,67.84,80.45,17.47,9.27,2.63,29.05
1921,18.63,36.62,19.22,10.98,17.58,12.94,34.35,35.82,39.21,4.84,0.89,15.29
1922,32.08,37.04,24.61,17.74,21.62,5.80,43.80,78.86,9.33,8.90,1.22,10.46
1923,25.57,45.87,21.18,34.18,33.75,3.03,49.66,26.66,39.45,1.48,4.08,33.68
1924,16.06,17.15,13.14,10.49,27.11,15.31,55.36,38.89,16.60,10.45,8.27,3.30
1925,22.09,15.30,53.60,28.25,17.26,9.91,39.85,69.90,38.01,1.40,1.24,16.19
1926,14.61,27.94,23.67,15.24,9.56,9.50,85.01,33.73,15.06,2.36,1.63,33.96
1927,13.93,32.68,27.17,16.02,5.10,7.18,30.45,39.68,29.71,3.49,14.58,18.91
1928,22.92,19.21,12.84,13.72,10.38,13.82,118.98,85.75,5.63,7.15,7.57,19.24
1929,29.81,18.57,19.43,46.37,11.89,14.66,84.74,20.56,20.16,5.04,1.43,5.83
1930,28.29,42.29,16.28,24.02,24.51,20.04,62.45,43.73,12.26,12.98,4.24,6.56
1931,25.69,14.03,40.04,10.84,11.15,16.46,93.75,54.06,7.49,4.33,1.23,13.04
1932,22.83,21.03,37.37,27.75,13.36,16.21,65.93,88.18,22.93,4.36,3.27,13.05
1933,19.99,18.55,29.82,27.59,16.27,14.37,33.93,68.05,12.20,3.24,2.68,14.79
1934,41.50,45.49,25.46,44.36,11.23,12.07,45.81,46.17,15.84,7.77,8.32,5.42
1935,16.82,47.62,36.62,19.05,21.11,23.68,34.02,28.17,16.04,5.32,10.69,15.49
1936,19.64,46.83,30.87,40.53,8.82,7.15,82.84,13.75,17.05,8.24,2.76,15.73
1937,43.89,23.69,23.37,22.99,5.37,27.51,48.12,41.31,6.39,4.28,2.55,15.02
1938,20.91,59.85,55.09,27.77,7.41,9.08,30.97,24.83,8.30,8.06,2.26,8.50
1939,35.73,27.00,26.87,19.33,18.40,30.52,28.45,40.67,12.65,4.15,4.04,8.39
1940,18.70,15.37,25.88,29.05,10.20,9.61,47.77,28.62,21.27,3.00,3.63,15.69
1941,43.85,46.58,21.92,19.95,29.99,24.91,87.11,41.67,21.04,5.24,4.54,21.60
1942,45.54,9.87,27.70,29.43,20.53,10.55,47.31,37.17,16.19,4.45,2.88,6.20
1943,38.73,53.75,34.98,29.39,9.15,10.38,79.58,109.60,17.27,5.64,7.63,24.71
1944,33.92,15.31,28.00,29.50,12.35,22.18,82.31,41.69,22.90,5.85,5.02,11.52
1945,16.02,25.73,18.02,8.94,7.20,12.36,34.48,63.25,7.55,7.65,5.37,12.28
1946,26.51,28.43,21.36,7.15,15.56,10.06,32.24,45.58,20.61,4.01,5.33,14.58
1947,11.75,42.43,47.15,23.96,8.72,17.81,76.17,43.78,10.60,2.68,3.20,24.46
1948,13.44,20.56,36.10,11.60,8.25,16.95,51.11,57.68,16.04,2.78,2.06,6.98
1949,55.45,21.41,31.15,24.80,12.15,6.87,62.90,48.99,27.71,2.70,2.86,1.31
1950,16.94,25.53,43.75,25.07,23.52,9.94,25.25,45.53,4.46,5.86,8.82,5.68
1951,20.78,27.08,23.91,14.56,7.47,12.45,54.30,27.49,6.38,1.36,2.03,16.07
1952,24.79,23.78,20.14,19.10,15.27,21.20,47.19,78.19,19.66,9.85,4.01,13.60
1953,45.95,63.42,22.03,17.93,9.79,10.15,31.54,23.66,41.82,7.61,3.83,3.41
1954,28.87,9.03,46.05,8.45,25.52,7.29,28.93,79.18,34.25,6.67,1.05,16.56
1955,34.58,18.80,56.32,32.51,1.98,33.26,116.49,75.47,10.76,19.98,1.50,13.30
