Variable:,pr
Country:,Poland
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,43.68,23.94,44.49,35.49,57.49,82.54,85.82,75.14,40.65,59.45,10.11,43.64
1902,35.76,33.26,18.36,68.02,53.94,79.53,101.55,89.74,31.09,60.35,53.64,29.91
1903,19.38,43.03,15.50,49.71,54.81,46.40,36.74,66.82,38.42,59.74,54.55,47.92
1904,37.17,28.14,25.11,50.23,58.71,66.38,92.66,84.48,53.58,65.32,57.97,29.26
1905,31.71,22.31,50.17,26.25,67.98,96.25,77.78,74.14,75.46,26.40,43.45,47.25
1906,38.44,24.54,37.74,37.84,42.59,77.33,114.56,78.69,44.37,18.66,27.39,62.81
1907,31.99,41.17,40.83,45.26,77.14,57.85,107.32,86.79,45.14,16.56,26.66,23.63
1908,25.17,38.71,34.50,40.49,60.38,75.31,107.03,55.39,47.16,19.42,54.90,49.40
1909,33.68,24.88,21.09,43.10,61.89,72.45,106.62,91.22,66.05,18.63,69.46,37.09
1910,39.61,44.33,29.85,33.63,69.64,59.69,46.07,54.49,46.50,33.35,35.94,41.04
1911,35.57,40.00,42.70,47.45,59.70,73.19,51.51,116.08,71.09,49.65,47.56,50.34
1912,22.78,18.14,33.57,42.49,53.89,73.45,96.95,105.22,59.95,28.82,47.03,67.33
1913,28.06,12.34,53.33,31.86,59.72,62.30,97.45,45.42,84.23,52.74,23.93,48.00
1914,53.43,24.43,45.84,41.10,38.43,39.96,94.49,79.69,66.93,53.31,46.76,61.57
1915,66.64,30.15,31.31,48.18,39.83,90.22,93.12,78.21,47.11,61.68,33.03,53.69
1916,46.08,18.78,40.36,57.84,25.28,39.33,73.27,64.62,29.43,59.47,52.77,44.58
1917,38.62,30.88,16.97,33.89,24.37,69.18,106.55,109.40,45.52,52.33,28.58,52.32
1918,28.50,19.61,43.41,47.53,53.23,81.26,114.28,75.02,38.88,52.09,49.32,49.45
1919,50.09,28.23,26.32,44.97,63.45,74.30,104.96,80.20,53.44,15.95,15.51,30.56
1920,62.72,24.60,13.24,46.25,48.80,66.55,38.93,62.12,32.36,36.60,37.18,47.95
1921,46.88,23.44,41.82,37.38,33.60,52.11,100.07,68.87,72.61,60.70,38.52,43.53
