Variable:,pr
Country:,"Puerto Rico"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,219.14,35.93,68.75,200.77,381.91,392.93,145.37,158.99,182.39,113.83,205.34,201.19
1902,69.44,28.71,88.17,125.84,273.00,165.87,248.07,252.79,199.26,231.45,165.90,240.21
1903,109.52,169.31,168.33,176.15,159.23,107.61,195.01,235.15,280.21,230.70,254.41,110.51
1904,161.64,76.01,135.91,112.50,262.80,118.05,162.15,247.23,259.46,290.30,234.17,73.26
1905,46.86,48.42,98.04,147.31,129.28,287.52,273.34,184.67,336.16,118.22,97.36,174.57
1906,82.61,111.59,43.90,25.61,218.80,152.43,198.51,218.66,215.10,234.33,154.62,237.24
1907,136.23,151.93,142.95,119.69,178.39,156.86,142.78,196.55,314.64,121.96,217.30,135.20
1908,105.58,112.74,63.08,129.01,115.89,285.30,151.41,357.03,208.74,200.50,317.73,65.13
1909,179.94,56.93,116.40,112.02,177.06,195.74,166.89,231.82,332.58,127.64,102.47,306.76
1910,143.70,119.46,34.07,178.98,285.23,125.48,221.48,174.96,244.60,196.48,207.02,308.23
1911,61.07,52.29,101.10,197.40,155.54,131.89,125.65,166.11,222.66,372.12,221.65,72.47
1912,121.01,68.23,157.03,146.31,203.16,183.81,148.87,191.56,237.96,222.83,131.65,112.24
1913,81.31,151.39,141.66,130.26,375.92,171.50,175.35,186.11,215.88,193.71,173.21,163.38
1914,106.06,103.44,52.56,227.87,150.29,223.75,220.22,173.97,228.41,120.06,236.55,147.47
1915,113.62,89.22,26.57,115.94,218.72,184.72,260.59,316.70,290.61,296.53,280.06,31.69
1916,79.22,82.69,48.27,126.05,255.79,175.75,185.89,200.52,219.29,165.49,221.79,99.14
1917,80.93,136.31,84.97,146.12,173.76,160.90,182.49,137.71,261.27,194.14,184.62,139.08
1918,112.44,31.09,53.61,243.01,129.25,231.80,273.58,114.46,290.99,163.21,142.97,168.88
1919,153.89,149.16,110.42,46.91,160.72,147.12,165.24,187.21,293.63,168.21,182.02,131.23
1920,204.86,86.72,120.42,83.76,220.92,135.87,262.00,214.72,310.48,173.22,98.56,89.06
1921,130.82,144.24,126.96,101.36,166.92,162.26,138.87,237.34,264.02,191.83,83.91,249.75
1922,89.35,89.43,45.83,265.24,100.57,150.57,167.82,168.18,180.77,222.85,172.57,98.39
1923,96.87,144.82,32.92,159.89,200.95,163.49,175.04,213.89,219.89,158.66,316.74,121.59
1924,85.83,108.49,75.83,206.32,108.98,202.40,207.59,149.45,274.05,165.87,234.07,20.65
1925,131.52,64.64,68.91,146.68,217.55,152.29,311.31,236.29,208.74,238.57,107.30,57.92
1926,125.13,52.83,114.95,158.23,170.95,214.87,299.55,225.42,210.73,308.34,203.97,52.54
1927,90.58,61.18,76.68,74.83,430.65,99.42,174.03,318.82,593.92,221.78,280.20,217.78
1928,133.05,67.51,117.89,78.95,294.95,150.69,103.25,327.12,251.86,139.86,90.89,105.72
1929,212.93,54.68,82.37,90.33,157.23,140.52,117.39,128.32,232.09,217.05,140.25,124.95
1930,45.78,165.62,64.84,203.85,433.90,303.44,253.83,213.63,424.35,248.89,272.90,95.42
1931,158.27,16.59,59.94,185.03,451.90,274.53,270.18,285.80,412.71,216.89,199.85,111.01
1932,91.52,23.82,137.73,153.64,441.47,250.82,180.02,236.17,366.76,175.29,166.51,130.79
1933,147.82,114.10,133.00,100.61,155.69,187.44,259.58,245.56,285.69,202.18,122.02,247.37
1934,123.05,213.37,47.09,109.10,249.29,191.04,186.34,204.81,289.82,229.82,124.85,134.48
1935,69.45,47.71,32.83,89.35,428.80,253.94,284.83,345.29,322.50,208.98,137.43,179.44
1936,158.75,22.98,45.66,130.87,184.00,134.33,165.00,307.06,190.39,170.26,208.67,74.24
1937,65.16,77.75,107.58,70.71,169.02,362.83,197.03,182.34,242.41,177.18,316.07,183.27
1938,86.95,59.32,113.07,163.51,244.76,106.04,174.61,231.18,269.28,244.54,221.83,116.35
1939,147.00,116.85,62.01,204.87,444.51,209.03,155.57,179.54,191.25,239.65,166.40,117.26
1940,151.25,12.48,78.12,196.64,286.09,225.64,236.98,253.35,264.58,177.08,180.76,183.58
1941,175.52,64.42,71.89,251.23,242.49,287.82,219.98,226.29,251.53,301.68,249.62,84.16
1942,154.66,93.54,107.21,216.07,318.84,220.36,171.77,249.21,205.06,321.64,88.92,100.68
1943,89.20,58.13,35.11,109.04,239.89,303.58,293.89,353.29,349.79,167.30,98.18,86.88
1944,88.18,77.94,47.88,216.68,363.21,94.99,211.63,284.10,254.89,168.67,126.53,98.89
1945,83.45,114.25,49.32,107.64,312.88,190.99,139.50,208.62,246.94,277.41,120.23,110.65
1946,152.15,74.40,48.39,128.10,247.09,146.42,102.41,163.50,289.81,209.84,64.07,101.94
1947,137.35,85.98,42.71,82.48,266.73,198.04,255.30,216.68,306.11,223.90,241.13,154.11
1948,98.71,47.60,133.65,82.98,220.26,197.26,258.32,221.30,401.18,239.41,114.50,170.29
1949,136.27,205.82,56.01,176.74,167.34,144.72,188.27,300.89,215.03,252.86,197.47,105.32
1950,95.27,18.69,14.01,173.65,238.99,225.59,285.23,194.56,327.64,157.06,220.66,255.60
1951,147.69,58.13,61.89,252.82,262.58,205.05,284.23,236.09,361.28,192.92,145.84,51.92
1952,70.06,31.19,64.72,123.00,224.21,197.51,203.45,208.99,269.39,188.06,160.21,170.09
1953,112.08,155.81,50.65,114.70,174.35,224.00,169.91,238.59,347.24,320.92,106.40,62.85
1954,64.44,62.00,62.61,79.53,178.35,223.71,164.35,224.61,286.54,145.39,119.76,118.39
1955,132.14,118.65,83.93,197.28,250.22,299.00,133.07,230.01,170.51,294.30,153.04,122.40
1956,85.84,44.15,37.75,96.46,112.64,230.88,176.81,237.62,217.04,147.91,107.96,166.17
1957,138.14,56.92,46.12,212.28,385.77,298.89,294.43,187.57,256.70,216.46,166.19,72.85
1958,143.34,60.13,26.40,226.35,301.94,130.90,196.86,233.45,192.13,150.64,151.52,175.17
1959,73.73,106.99,139.47,282.02,192.04,240.18,202.82,243.87,456.71,146.38,202.13,209.88
1960,159.05,64.45,120.02,239.52,155.30,162.87,256.83,333.58,154.64,258.09,204.39,173.74
1961,136.86,66.13,66.40,222.95,174.47,254.62,188.02,257.84,196.12,199.27,111.25,103.72
1962,150.89,88.03,139.34,218.83,256.96,134.86,206.25,268.79,317.13,108.68,185.65,50.93
1963,77.23,56.58,50.81,244.81,119.57,148.86,228.77,241.79,207.82,159.88,72.98,62.52
1964,86.52,34.01,42.24,139.77,366.61,261.02,229.72,252.23,221.87,170.61,195.89,196.08
1965,93.02,43.34,119.31,164.29,266.36,157.73,234.24,182.04,269.46,242.21,108.00,151.37
1966,63.50,97.65,46.15,55.81,177.21,167.54,142.43,178.60,158.47,161.18,126.33,65.38
1967,75.11,57.32,39.86,59.64,226.29,248.22,211.49,240.29,198.65,102.16,271.02,161.96
1968,157.35,69.38,93.13,133.16,445.27,225.74,243.85,193.80,240.73,210.41,299.16,100.03
1969,131.28,53.17,23.83,53.65,260.71,272.98,199.87,238.31,278.02,421.09,240.73,231.62
1970,103.96,100.83,78.82,193.24,283.55,120.73,153.98,224.47,125.15,244.76,112.37,95.48
1971,135.79,82.43,131.21,93.93,99.17,152.25,133.51,186.28,214.04,229.01,135.32,133.06
1972,77.62,64.65,109.51,150.87,121.60,156.96,118.98,291.52,200.98,199.12,76.14,76.48
1973,122.36,60.56,71.45,125.07,99.90,131.96,96.64,260.31,311.26,325.39,314.45,97.10
1974,98.76,56.81,97.14,52.34,120.27,104.25,136.67,229.92,481.59,194.98,203.11,242.12
1975,61.71,113.26,70.76,148.15,139.32,166.46,105.58,194.66,216.11,218.32,104.82,107.38
1976,156.58,32.74,54.43,83.50,162.31,84.56,216.41,248.67,232.12,268.78,324.85,84.89
1977,89.25,101.63,102.48,194.41,211.10,168.39,142.87,223.92,251.48,317.86,124.80,89.38
1978,60.86,63.27,76.30,132.30,431.16,283.52,243.92,414.57,471.07,202.03,254.19,100.89
1979,40.31,78.09,79.36,181.15,314.49,140.61,168.37,125.71,178.05,199.64,79.23,95.91
1980,153.15,108.38,98.85,175.14,401.48,228.27,222.60,205.74,167.37,263.83,150.33,327.70
1981,84.64,167.39,49.91,76.84,418.76,160.00,211.11,115.75,272.43,119.20,207.05,156.34
1982,46.10,12.49,73.60,322.22,288.60,133.33,204.28,235.06,166.33,160.85,149.63,126.00
1983,85.74,160.70,44.50,50.57,239.91,229.42,160.86,168.38,375.41,262.59,270.18,106.93
1984,46.38,98.23,143.74,112.02,259.50,45.63,141.24,183.82,296.91,482.17,172.74,55.07
1985,102.92,44.46,105.81,240.39,498.11,105.60,129.99,186.28,130.44,254.24,178.81,104.46
1986,89.91,100.43,89.08,188.80,257.00,335.21,163.38,90.01,171.03,151.57,290.79,172.28
1987,91.26,109.64,68.11,176.92,200.52,160.25,199.49,369.58,283.03,200.70,143.68,97.51
1988,97.20,137.79,132.74,100.69,126.48,132.66,209.99,264.42,469.94,103.57,66.05,47.18
1989,97.90,92.99,96.36,66.04,86.00,159.53,205.30,157.08,194.08,425.36,114.41,130.98
