Variable:,pr
Country:,"French Polynesia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,289.56,27.66,103.34,90.97,0.59,87.20,57.37,125.40,116.28,203.01,103.07,105.31
1902,111.20,196.79,197.89,320.20,320.60,28.10,91.30,145.90,84.76,50.32,280.79,356.23
1903,252.89,151.98,159.44,99.91,98.51,32.90,89.80,45.30,57.83,56.02,68.11,165.72
1904,141.37,180.05,192.88,0.09,71.21,116.71,13.07,12.59,0.00,84.97,106.57,66.93
1905,69.53,102.25,115.05,26.17,102.41,33.50,5.49,130.31,56.05,51.22,68.11,165.72
1906,96.17,180.05,192.88,0.09,71.21,116.71,13.07,52.00,0.00,84.97,103.77,277.56
1907,96.87,34.07,488.74,66.20,69.31,63.00,0.00,0.00,84.56,92.86,108.08,482.60
1908,312.30,276.00,336.31,149.86,111.74,183.41,84.12,28.00,19.93,18.77,168.28,247.89
1909,289.56,222.56,190.28,137.42,92.28,63.00,65.86,52.00,48.86,92.86,166.28,277.56
1910,289.56,222.56,190.28,137.42,92.28,63.00,65.86,52.00,48.86,92.86,166.28,277.56
1911,289.56,222.56,190.28,137.42,92.28,63.00,65.86,52.00,48.86,92.86,166.28,277.56
1912,289.56,222.56,190.28,137.42,92.28,63.00,65.86,52.00,48.86,92.86,166.28,277.56
1913,289.56,222.56,190.28,137.42,92.28,63.00,65.86,52.00,48.86,92.86,166.28,277.56
1914,289.56,222.56,190.28,137.42,92.28,63.00,65.86,52.00,48.86,92.86,166.28,277.56
1915,57.98,222.56,190.28,137.42,92.28,63.00,65.86,52.00,48.86,92.86,166.28,277.56
1916,289.56,222.56,190.28,137.42,92.28,63.00,65.86,52.00,48.86,92.86,166.28,277.56
1917,289.56,222.56,190.28,137.42,92.28,63.00,42.20,40.00,43.67,137.00,103.87,132.17
1918,963.72,272.09,141.31,134.61,235.43,39.70,27.24,51.90,57.13,62.42,191.72,412.96
1919,320.42,187.16,88.73,180.45,203.43,103.50,85.02,78.90,22.23,272.11,217.36,112.81
1920,112.11,270.19,260.09,242.84,233.52,224.70,107.88,16.20,20.13,40.94,97.45,295.09
1921,275.43,293.04,103.34,60.48,111.24,110.80,180.82,81.10,37.00,293.58,552.47,192.89
1922,382.84,345.58,183.18,214.56,112.25,139.00,26.14,1.10,233.64,145.29,256.33,216.72
1923,466.33,390.40,302.05,426.03,51.15,42.90,34.92,13.00,15.86,138.10,108.68,766.89
1924,498.48,594.63,109.15,39.01,25.07,118.10,88.22,49.70,25.42,103.35,425.43,489.60
1925,709.50,297.86,717.89,130.69,247.47,202.71,235.31,81.10,23.24,92.86,81.03,270.45
1926,69.91,521.15,80.91,25.37,42.13,37.60,65.86,4.39,59.23,14.37,272.68,68.81
1927,553.49,94.62,245.56,207.73,209.45,151.51,115.46,94.01,5.29,291.58,78.01,472.87
1928,233.25,78.38,214.41,145.35,188.38,1.09,38.12,34.60,30.70,13.37,28.83,495.72
1929,206.61,358.91,193.89,333.44,92.18,106.60,85.02,84.30,13.76,74.69,12.40,148.08
1930,408.50,333.16,57.57,149.25,15.04,69.00,132.92,49.70,46.56,149.38,193.82,328.47
1931,399.37,308.39,220.22,347.08,1.09,36.60,5.49,21.60,135.32,4.19,381.36,266.85
1932,244.26,202.41,278.62,243.76,73.21,27.20,77.35,103.80,156.47,69.60,98.47,177.95
1933,234.15,257.76,100.44,118.96,117.26,62.70,64.27,46.50,79.28,68.59,138.44,206.11
1934,291.96,638.54,110.15,205.75,132.31,40.80,17.46,11.90,30.70,25.66,72.83,443.81
1935,102.90,243.42,114.05,115.15,49.14,109.71,106.78,70.30,43.37,98.25,230.69,51.18
1936,90.07,77.38,123.78,11.73,99.21,47.00,28.34,31.40,106.79,63.50,153.85,259.82
1937,161.61,237.70,233.85,309.07,144.33,69.00,1.10,51.90,8.47,9.27,110.78,87.27
1938,46.97,296.86,74.10,103.41,65.20,133.80,4.39,97.30,19.04,77.79,66.71,208.81
1939,225.02,285.43,23.43,36.11,86.17,7.39,118.75,32.40,82.46,9.27,93.35,185.86
1940,173.62,257.76,80.91,30.28,12.04,25.10,0.00,5.40,141.69,60.40,127.21,293.29
1941,269.02,103.15,110.15,69.30,92.28,47.00,128.53,48.70,28.62,74.69,96.45,142.78
1942,176.34,232.99,125.78,159.89,28.08,150.50,59.97,76.71,173.41,31.74,114.88,259.82
1943,1052.79,179.55,93.63,109.24,37.11,29.30,189.59,31.40,75.09,64.50,101.57,267.75
1944,314.92,130.82,112.07,269.13,152.36,101.40,43.60,16.20,8.47,10.27,137.42,155.91
1945,661.82,208.13,72.20,34.20,121.26,35.59,91.50,50.80,223.07,100.26,151.75,206.11
1946,208.49,458.18,34.14,31.28,176.35,20.90,42.52,76.71,80.38,271.11,343.39,122.52
1947,301.18,292.14,103.34,114.15,60.18,69.00,14.17,20.59,48.86,151.48,196.84,179.75
1948,319.52,87.91,182.27,21.56,115.25,25.10,138.41,18.40,15.86,138.10,509.40,170.94
1949,571.84,211.93,109.15,37.11,196.40,34.50,13.07,56.20,19.04,60.40,133.32,115.42
1950,115.43,75.78,144.28,80.46,76.47,47.79,89.01,28.31,132.03,192.77,40.08,87.03
1951,526.86,348.33,154.65,179.15,45.91,55.58,18.56,89.52,26.57,112.30,48.52,638.42
1952,254.94,119.82,57.68,156.18,295.58,67.26,6.12,139.07,93.63,33.16,69.89,586.46
1953,270.05,312.50,117.73,109.80,79.26,84.83,84.34,34.09,27.29,60.16,420.10,102.12
1954,587.56,67.72,94.58,113.99,157.17,16.24,14.22,36.21,52.59,66.08,109.88,218.66
1955,235.38,167.35,198.07,26.74,104.70,46.46,52.10,35.85,74.18,37.24,194.31,115.09
1956,232.72,209.14,166.54,42.89,66.33,62.12,113.38,70.88,54.01,24.03,178.72,136.44
1957,320.61,213.50,22.01,163.20,259.71,137.12,17.78,63.65,18.25,39.77,49.80,95.54
1958,370.51,67.50,125.89,36.06,22.23,114.37,119.63,21.38,62.37,67.23,78.94,194.59
1959,145.43,467.07,202.40,34.56,232.17,10.01,82.82,18.78,123.37,96.10,113.14,147.56
1960,477.87,77.49,650.73,82.73,35.24,83.39,64.46,60.92,60.51,182.81,194.36,216.89
1961,175.64,446.60,180.43,209.19,79.77,113.93,126.51,98.91,29.93,62.77,220.19,335.22
1962,130.51,251.51,83.17,358.01,63.72,34.53,8.01,60.61,8.17,149.80,174.46,327.69
1963,202.79,149.25,140.94,48.85,100.15,149.61,133.86,27.34,68.06,95.86,296.78,247.91
1964,838.90,251.90,125.31,123.50,46.57,136.15,64.17,44.19,126.17,29.43,325.05,237.36
1965,331.47,69.05,198.25,148.61,41.87,6.07,74.36,55.03,43.20,124.88,86.69,409.55
1966,69.36,212.43,70.68,123.35,251.23,38.78,66.45,40.28,15.24,73.90,292.35,250.72
1967,321.60,191.61,422.98,273.50,132.14,6.43,37.56,74.04,30.45,75.08,59.89,84.97
1968,139.60,270.42,182.01,89.57,152.75,100.04,46.59,45.17,98.86,75.27,181.83,89.87
1969,601.83,333.20,203.46,54.82,66.89,28.66,56.02,75.33,86.34,159.90,229.95,61.06
1970,493.15,128.05,72.01,43.53,161.59,57.61,39.85,94.59,64.88,49.25,121.07,515.01
1971,95.64,173.59,229.46,66.78,17.37,55.95,65.84,24.64,14.90,65.70,12.17,108.18
1972,106.40,421.41,89.66,37.34,53.88,127.27,33.75,82.07,50.58,133.15,63.67,178.17
1973,95.70,146.37,154.10,13.99,81.22,34.80,31.50,29.42,18.78,165.08,307.38,582.36
1974,347.54,162.45,115.89,77.88,88.30,62.41,18.59,19.98,15.03,96.39,114.86,242.58
1975,182.67,136.69,56.30,229.07,34.25,18.35,21.74,18.43,20.94,26.32,38.18,306.70
1976,241.39,72.80,103.79,162.45,42.56,54.57,34.65,32.48,27.74,159.76,214.98,38.51
1977,142.10,720.74,57.98,223.64,35.11,147.24,96.19,18.25,50.88,42.81,48.30,154.50
1978,685.12,31.20,119.32,67.61,74.34,47.45,96.17,33.96,8.11,91.40,155.53,501.29
1979,389.71,209.44,204.71,286.67,226.24,19.59,13.15,38.87,40.84,106.35,99.27,114.04
1980,595.78,97.85,805.00,58.31,29.61,68.28,68.30,8.43,31.68,75.57,167.47,189.37
1981,155.74,329.52,23.71,202.33,83.77,85.36,100.14,46.10,174.02,49.13,158.18,452.07
1982,155.59,176.33,121.95,104.58,19.74,22.20,106.37,51.84,10.63,54.33,329.47,384.27
1983,302.54,48.97,176.65,63.37,129.52,36.12,120.20,35.13,139.79,135.83,282.05,495.91
1984,434.30,91.51,130.61,358.85,187.79,101.48,77.15,24.91,45.27,48.84,159.82,377.91
1985,293.64,433.15,140.48,17.46,187.56,33.95,49.49,126.38,19.48,64.26,57.67,308.32
