Variable:,pr
Country:,Slovenia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,65.84,188.36,92.35,70.13,182.19,146.37,162.44,75.26,78.78,227.17,43.38,47.70
1902,82.44,28.39,70.13,155.45,93.16,124.77,194.85,88.30,131.21,195.49,196.84,231.52
1903,59.89,186.98,127.71,90.51,117.04,151.57,59.78,198.05,160.21,155.68,87.65,96.07
1904,32.81,98.80,99.29,96.34,157.17,117.25,101.35,175.24,133.69,229.14,339.06,18.50
1905,79.93,92.85,95.63,103.21,122.79,131.68,147.45,109.58,149.38,107.92,202.79,189.39
1906,79.22,49.77,11.83,198.18,127.64,98.81,133.88,88.20,110.02,275.38,56.84,166.30
1907,27.71,65.47,88.24,213.30,37.71,68.35,106.79,209.68,61.32,56.34,55.71,87.96
1908,64.59,54.02,156.29,59.85,82.65,132.64,128.41,198.64,129.90,146.65,85.76,224.87
1909,194.52,127.15,50.02,95.95,146.02,194.02,177.53,121.37,170.01,110.73,278.35,115.52
1910,41.69,10.12,115.17,74.01,139.93,190.52,58.30,59.63,144.04,191.34,101.70,153.47
1911,63.43,113.31,141.60,106.12,120.96,134.65,95.42,159.50,208.70,185.28,122.30,65.15
1912,49.33,22.16,59.65,112.90,95.62,132.56,252.52,153.98,168.23,78.38,161.55,116.99
1913,51.42,54.02,157.39,88.60,215.87,133.89,218.24,103.02,150.94,90.59,84.24,171.90
1914,177.85,181.37,74.82,76.97,91.90,122.78,190.50,208.23,134.11,228.45,165.66,142.64
1915,11.10,108.65,210.61,164.65,100.46,105.41,108.26,106.98,299.64,131.88,221.49,219.42
1916,204.88,28.16,160.22,132.78,45.25,38.43,139.63,98.06,63.35,333.45,177.84,79.33
1917,56.55,17.33,65.87,126.70,113.54,175.19,110.68,200.04,143.92,244.15,45.36,112.70
1918,138.59,54.81,128.07,197.08,35.10,207.32,226.42,108.97,145.31,172.27,247.89,35.80
1919,95.94,11.86,63.32,120.86,100.45,206.82,112.19,130.90,134.23,43.14,29.22,156.96
1920,42.99,56.05,24.86,175.87,122.95,139.82,56.38,97.59,23.02,87.76,67.34,35.25
1921,80.70,51.61,148.95,224.25,78.73,116.67,70.03,66.29,258.81,227.00,81.34,62.83
1922,62.49,70.68,59.76,194.83,63.91,222.77,85.56,131.92,124.21,111.92,297.77,134.53
1923,93.15,63.92,87.87,110.64,133.53,176.76,165.57,187.96,120.02,83.28,4.94,96.55
1924,19.98,132.67,102.59,176.80,150.99,193.14,93.83,163.55,200.99,71.26,256.98,81.26
1925,68.20,67.28,51.81,112.76,128.96,183.01,239.76,176.98,188.02,254.36,191.44,77.53
1926,129.98,34.46,160.20,104.63,125.05,130.04,74.43,136.56,217.53,70.26,180.86,90.08
1927,47.60,22.53,155.68,102.82,184.99,96.28,64.05,132.50,207.99,146.02,152.96,85.21
1928,87.34,50.59,7.89,118.72,91.19,169.24,72.61,123.45,50.06,182.05,202.49,89.70
1929,64.63,55.86,120.83,132.21,145.50,47.48,162.30,167.94,203.88,253.58,94.89,108.67
1930,80.54,132.18,127.15,120.31,64.55,121.82,99.92,136.43,124.00,139.14,192.90,57.00
1931,57.64,30.05,97.13,120.85,163.61,107.72,119.12,44.36,96.19,234.37,113.63,61.98
1932,58.34,65.60,77.43,81.89,228.00,165.65,75.31,126.33,210.97,285.75,242.00,139.73
1933,73.81,39.61,152.94,86.45,131.01,245.92,147.47,198.87,109.76,154.55,190.35,145.73
1934,62.56,80.78,51.53,141.78,123.36,51.78,97.65,125.45,85.36,250.92,148.43,193.35
1935,178.65,161.03,64.64,135.10,192.65,167.51,136.51,68.57,132.20,164.22,59.44,46.89
1936,77.51,89.95,245.87,167.77,71.89,187.92,184.53,190.05,284.55,141.04,170.18,220.84
1937,54.57,27.18,24.28,99.77,166.54,94.79,108.68,221.74,74.53,128.26,78.14,109.51
1938,118.96,19.93,34.48,39.68,242.99,153.17,85.10,73.56,127.60,257.50,70.39,93.48
1939,66.94,56.99,72.50,54.98,158.90,134.74,179.74,169.57,202.14,237.62,155.34,27.08
1940,103.67,146.97,99.31,142.83,129.90,143.47,132.73,173.61,46.57,129.97,144.95,82.13
1941,41.35,111.73,40.76,118.45,103.62,112.49,142.31,47.69,125.09,79.97,66.99,99.95
1942,53.59,78.97,37.18,82.43,98.07,200.45,158.21,91.55,165.13,49.42,153.62,105.82
1943,24.14,66.98,70.75,65.13,106.56,214.40,113.55,41.62,127.87,263.13,210.50,114.03
1944,126.97,25.60,26.48,106.49,104.40,90.69,89.12,170.87,110.07,66.89,69.81,89.67
1945,52.43,21.69,61.46,32.74,103.68,161.15,141.53,75.82,58.70,120.07,181.88,98.40
1946,55.27,218.24,136.71,52.94,82.46,143.32,132.25,55.99,68.04,46.20,131.80,129.59
1947,197.07,60.72,7.57,116.85,132.41,252.35,266.26,149.23,80.00,207.45,104.92,41.89
1948,70.68,5.50,14.64,64.51,139.39,104.34,109.39,132.62,77.93,67.65,270.00,78.44
1949,76.40,91.94,19.48,171.31,52.63,79.54,98.48,104.57,146.83,139.67,211.05,225.94
1950,149.06,160.30,175.94,102.84,130.31,134.26,171.95,56.44,189.26,52.67,180.79,89.28
1951,145.30,129.65,37.96,68.50,47.93,104.45,113.04,126.70,190.23,255.93,92.35,164.17
1952,78.36,48.33,7.99,103.49,129.53,138.10,128.11,174.58,149.94,137.56,41.49,67.98
1953,67.35,53.04,116.48,91.32,190.17,186.20,153.25,110.63,154.63,92.20,124.45,109.56
1954,60.48,170.29,119.27,26.21,197.79,123.83,152.71,124.21,137.19,209.99,88.14,77.63
1955,67.08,45.11,47.98,193.72,121.13,235.45,100.77,114.50,60.99,200.78,130.10,37.69
1956,51.36,113.76,31.82,169.56,144.20,96.53,228.19,117.61,102.61,77.45,66.94,67.17
1957,133.26,116.10,83.79,117.41,25.52,204.99,123.43,121.39,113.98,133.55,161.65,153.28
1958,59.13,10.60,76.54,144.74,164.94,190.56,112.11,147.19,69.20,102.22,139.05,230.99
1959,65.67,120.46,133.66,80.99,56.75,140.09,182.29,127.71,232.73,222.83,200.98,168.15
1960,92.79,34.21,53.74,104.28,137.79,148.31,212.80,68.16,46.78,188.63,176.87,103.00
1961,119.19,49.63,122.61,150.49,187.91,132.39,175.10,41.49,157.68,80.55,263.31,79.39
1962,113.36,90.50,90.85,82.00,120.19,129.80,90.85,219.23,141.11,72.45,189.89,91.95
1963,4.45,33.60,125.37,126.14,117.30,117.43,124.75,148.51,100.89,329.93,78.92,147.37
1964,153.52,25.33,121.99,173.09,142.99,139.74,216.82,139.62,235.37,3.54,225.94,164.89
1965,49.51,80.64,76.66,97.84,106.02,140.97,169.38,183.18,61.32,175.69,226.98,104.33
1966,62.29,53.44,90.82,133.13,98.92,104.88,97.36,76.56,182.03,101.72,147.49,78.10
1967,64.14,123.92,25.21,59.64,115.49,155.42,120.61,184.19,179.01,34.76,162.11,98.97
1968,92.85,167.63,68.08,80.67,113.99,153.87,99.31,243.39,103.73,27.67,188.58,79.07
1969,82.95,90.44,177.13,192.98,89.01,107.34,133.71,184.22,41.62,85.07,108.46,94.33
1970,93.74,49.90,92.62,93.93,84.93,108.42,80.21,123.01,63.81,49.87,159.62,52.73
1971,76.85,114.22,83.62,201.13,200.86,132.24,206.63,101.06,116.32,59.13,173.83,63.11
1972,66.21,86.20,17.06,135.20,47.48,164.71,126.26,56.58,238.78,96.51,87.64,73.18
1973,43.46,63.14,91.73,78.50,122.04,202.41,101.64,161.55,174.15,235.20,85.17,26.64
1974,27.23,18.27,215.72,105.87,134.11,192.53,171.10,131.50,80.59,109.15,106.44,75.78
1975,19.11,70.87,56.18,138.46,102.84,86.91,134.95,97.37,161.70,156.23,115.29,201.17
1976,168.69,139.41,69.92,115.06,88.23,70.58,157.90,173.56,77.12,38.59,126.31,68.19
1977,119.14,75.49,88.62,137.10,149.91,138.80,145.53,101.79,129.54,92.80,65.67,103.14
1978,179.70,111.32,135.66,106.36,57.07,166.73,142.17,131.96,120.92,91.08,194.75,119.83
1979,64.73,28.99,85.65,90.79,90.19,156.52,128.61,109.77,94.01,277.33,206.31,96.72
1980,35.29,55.56,81.14,48.72,147.94,176.77,106.94,111.44,183.64,135.68,28.24,188.09
1981,48.46,17.55,90.23,39.06,140.32,167.01,79.75,161.90,93.11,215.44,135.58,175.42
1982,29.89,88.06,108.37,47.64,141.41,116.14,48.88,118.50,118.20,122.46,30.39,102.24
1983,148.87,121.87,74.20,93.24,146.85,114.16,116.38,102.61,191.82,129.80,72.51,76.68
1984,97.97,41.45,160.15,139.24,116.50,197.98,81.34,123.97,44.44,29.84,192.00,103.54
1985,79.21,105.97,101.34,102.67,112.21,192.20,86.60,170.52,81.44,102.69,75.31,58.40
1986,101.32,128.61,84.67,70.22,149.18,116.39,130.95,129.24,129.48,150.54,211.65,30.18
1987,94.06,106.32,93.94,93.94,107.15,151.64,80.35,150.20,139.69,119.88,23.81,45.97
