Variable:,pr
Country:,Chad
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.25,1.40,2.50,8.67,20.77,38.64,83.41,116.54,52.66,12.82,0.48,0.15
1902,0.25,1.40,2.50,8.67,20.77,38.64,83.41,116.54,52.66,12.82,0.48,0.15
1903,0.25,1.40,2.50,7.57,16.97,32.28,100.11,114.43,42.75,11.00,0.46,0.15
1904,0.25,1.40,2.38,7.57,24.71,46.65,79.72,112.40,46.58,14.70,0.46,0.15
1905,0.25,1.40,2.65,8.12,21.14,47.83,82.36,122.41,48.56,14.39,0.43,0.15
1906,0.25,1.40,2.27,7.31,21.25,36.13,80.61,123.83,58.68,11.94,0.43,0.15
1907,0.25,1.40,2.27,9.50,18.75,33.97,90.21,124.12,50.14,13.92,0.43,0.15
1908,0.25,1.40,3.37,10.19,30.18,50.98,91.84,110.65,59.46,13.41,0.43,0.15
1909,0.25,1.40,2.27,8.23,25.12,34.64,83.23,123.00,54.85,10.62,0.43,0.15
1910,0.25,1.39,2.42,8.58,22.88,44.19,85.86,119.61,51.77,15.25,0.43,0.15
1911,0.25,1.39,2.46,7.15,16.78,40.64,80.95,114.73,46.01,14.08,0.41,0.15
1912,0.25,1.40,2.25,8.11,19.16,33.26,72.24,105.31,46.59,11.57,0.45,0.15
1913,0.25,1.40,2.64,8.20,23.48,35.11,75.44,114.17,51.67,12.34,0.47,0.15
1914,0.25,1.40,2.44,8.52,19.18,35.20,93.23,110.93,47.13,12.44,0.47,0.15
1915,0.25,1.40,2.69,8.44,21.42,37.22,81.03,111.95,57.92,14.28,0.47,0.15
1916,0.25,1.40,2.50,8.57,24.20,35.39,81.56,109.80,57.11,11.53,0.48,0.15
1917,0.25,1.40,3.08,8.56,19.72,39.37,81.53,112.51,51.44,13.07,0.55,0.15
1918,0.25,1.40,2.46,8.09,23.57,36.66,85.76,111.00,49.87,12.46,0.48,0.15
1919,0.25,1.40,2.40,8.32,24.02,39.42,85.74,121.16,53.49,12.46,0.48,0.15
1920,0.25,1.40,2.46,8.95,21.99,38.29,81.37,118.37,53.91,12.38,0.47,0.15
1921,0.25,1.40,2.40,9.15,20.38,36.43,84.99,122.50,53.47,14.95,0.55,0.15
1922,0.25,1.40,2.41,8.70,22.53,39.41,83.29,115.17,51.26,13.58,0.51,0.15
1923,0.25,1.40,2.64,9.32,19.56,39.21,88.89,120.87,52.75,12.28,0.47,0.15
1924,0.25,1.40,2.63,8.61,21.42,36.37,80.82,119.72,50.08,14.50,0.48,0.15
1925,0.25,1.40,2.40,9.22,22.16,37.63,86.14,115.89,46.74,11.96,0.41,0.15
1926,0.25,1.39,2.24,7.26,19.89,39.61,86.88,122.17,61.86,14.01,0.41,0.15
1927,0.25,1.35,1.89,10.65,22.83,45.94,84.42,136.43,45.64,9.93,0.30,0.15
1928,0.25,1.35,2.17,6.43,28.95,34.88,78.34,119.06,56.69,9.97,0.27,0.15
1929,0.25,1.47,2.23,6.65,22.65,35.91,85.31,120.27,56.64,13.25,0.56,0.15
1930,0.25,1.34,1.75,5.22,17.29,40.86,86.21,117.26,71.72,12.70,0.35,0.15
1931,0.25,1.41,5.01,5.88,12.63,30.72,72.65,132.10,73.67,15.51,0.25,0.15
1932,0.25,1.41,1.82,5.68,35.31,41.85,89.00,126.47,67.53,18.93,0.94,0.15
1933,0.25,1.46,1.70,11.13,34.78,49.67,84.62,159.37,57.00,12.02,0.52,0.15
1934,0.25,1.48,2.04,3.31,16.77,47.89,77.65,130.69,56.36,14.59,0.56,0.15
1935,0.25,1.35,2.57,7.57,27.35,38.61,87.27,171.99,49.44,18.09,0.69,0.15
1936,0.25,1.43,2.18,5.35,22.70,22.77,92.97,142.03,55.57,11.64,0.12,0.15
1937,0.25,1.45,1.30,5.89,14.37,37.74,106.31,131.20,64.57,9.16,0.42,0.15
1938,0.25,1.37,3.65,13.60,35.67,31.00,71.05,131.50,70.19,22.70,1.08,0.15
1939,0.25,1.33,1.45,6.60,25.34,36.46,83.14,103.26,55.66,13.21,0.52,0.15
1940,0.25,1.33,1.80,12.35,38.08,36.86,66.25,107.49,28.88,5.90,1.27,0.15
1941,0.25,1.68,1.36,5.64,29.35,26.85,79.55,132.68,39.18,16.74,0.15,0.15
1942,0.25,1.32,2.00,4.12,27.22,28.86,88.00,126.63,60.11,24.66,0.62,0.15
1943,0.25,1.31,4.36,8.83,19.00,36.63,71.40,127.78,53.79,17.75,0.30,0.15
1944,0.25,1.40,1.34,3.98,25.48,36.01,66.09,143.13,59.80,15.64,0.54,0.15
1945,0.25,1.38,1.57,6.28,10.68,41.62,101.44,163.98,86.76,25.19,0.48,0.15
1946,0.25,1.39,1.23,6.62,24.67,40.68,80.95,127.75,72.24,12.38,0.64,0.15
1947,0.25,1.42,2.17,10.07,18.22,49.74,64.37,129.44,41.05,5.66,1.14,0.15
1948,0.25,1.65,1.93,6.82,33.03,26.34,68.11,110.25,37.69,11.41,0.27,0.15
1949,0.25,1.29,2.30,12.25,27.05,25.66,112.54,182.79,73.92,17.31,0.51,0.15
1950,0.25,1.35,4.04,3.25,32.66,34.05,85.21,113.47,79.84,25.39,0.31,0.15
1951,0.25,1.46,1.63,7.88,21.06,31.92,72.63,173.13,83.35,20.09,0.15,0.15
1952,0.25,1.31,2.77,4.19,43.43,49.88,98.83,155.64,54.43,12.26,0.41,0.15
1953,0.25,1.36,2.91,10.10,24.50,39.02,116.46,181.59,48.63,22.26,0.76,0.15
1954,0.25,1.29,2.80,11.96,24.52,44.92,90.82,106.72,85.48,19.96,0.12,0.15
1955,0.25,1.78,6.12,5.17,9.72,27.55,89.64,171.74,68.62,15.46,0.44,0.15
1956,0.25,1.29,3.72,11.10,30.44,44.53,82.36,126.92,58.11,16.57,1.22,0.15
1957,0.25,1.29,2.24,10.13,19.17,42.54,100.85,139.90,59.11,10.68,0.73,0.15
1958,0.25,1.29,2.30,8.92,17.67,32.12,70.20,180.91,74.90,6.22,0.26,0.15
1959,0.25,1.40,2.42,11.31,17.31,33.99,98.42,104.72,61.20,20.76,0.42,0.15
1960,0.25,1.29,1.45,9.97,11.26,53.80,113.86,203.17,58.98,10.15,0.12,0.15
1961,0.25,1.30,5.43,7.51,16.33,42.41,88.60,176.47,66.39,16.53,1.02,0.15
1962,0.25,1.72,1.88,13.05,28.63,45.68,92.48,128.24,45.16,23.44,0.16,0.15
1963,0.25,1.29,2.74,12.13,19.05,39.60,112.96,167.77,58.65,15.88,0.35,0.15
1964,0.25,1.35,2.56,7.14,8.18,50.32,79.36,118.37,51.46,10.31,0.13,0.15
1965,0.25,1.40,1.84,14.62,42.37,52.90,58.59,122.96,63.60,15.10,0.48,0.15
1966,0.25,1.30,1.28,10.24,15.35,33.66,69.34,162.01,57.91,15.73,0.71,0.15
1967,0.25,1.29,1.29,12.77,19.06,62.83,86.26,106.12,46.33,6.16,0.31,0.15
1968,0.25,1.54,5.80,12.24,26.01,41.27,76.80,116.97,62.79,17.58,0.52,0.15
1969,0.25,1.29,2.05,10.89,16.18,27.15,85.35,133.05,68.74,7.16,0.10,0.15
1970,0.25,1.29,2.12,6.24,15.69,27.42,74.18,129.82,51.82,7.47,0.11,0.15
1971,0.25,1.30,1.95,10.80,28.69,36.68,60.45,88.06,41.27,18.32,0.28,0.15
1972,0.25,1.29,1.29,9.55,14.60,24.59,72.23,101.58,44.77,15.39,0.63,0.15
1973,0.25,1.29,1.60,7.03,21.03,31.16,108.34,111.86,57.87,11.03,0.42,0.15
1974,0.25,1.29,2.70,9.68,16.35,26.85,100.07,133.95,70.94,10.80,0.21,0.15
1975,0.25,1.90,2.04,7.75,20.27,38.05,70.79,84.42,56.21,26.47,1.01,0.15
1976,0.25,1.30,1.11,4.39,21.55,31.80,78.72,144.65,40.91,9.10,0.11,0.15
1977,0.25,1.34,1.72,11.74,28.56,41.20,110.70,96.32,47.97,13.80,0.12,0.15
1978,0.25,1.49,1.83,14.30,31.96,43.85,86.29,102.98,56.80,20.52,1.22,0.15
1979,0.25,1.34,1.56,8.29,28.25,54.98,94.84,114.28,43.61,12.71,1.08,0.15
1980,0.25,1.29,4.61,9.45,25.83,33.21,99.62,112.20,52.47,10.63,0.48,0.15
