Variable:,pr
Country:,Ukraine
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.87,28.60,30.60,36.84,74.47,68.55,77.38,49.24,24.25,59.36,7.27,44.76
1902,23.98,25.51,10.49,41.26,57.73,101.39,64.47,38.45,6.78,50.40,46.91,18.83
1903,19.06,34.97,25.42,24.77,45.15,51.37,26.68,40.06,44.68,42.03,37.36,32.29
1904,28.53,12.48,19.51,57.11,41.63,75.61,44.63,45.43,46.25,86.05,62.67,32.23
1905,43.56,25.52,46.46,25.11,70.77,61.38,104.11,56.34,59.61,35.87,42.47,61.67
1906,28.89,20.01,40.79,44.27,25.21,72.30,74.43,31.57,22.29,12.06,47.34,49.01
1907,40.74,60.80,20.83,44.53,34.29,58.67,81.85,46.47,55.01,23.09,37.89,18.65
1908,29.71,36.83,45.14,37.44,36.39,86.12,47.21,21.12,29.33,26.03,61.95,35.41
1909,51.07,22.43,14.33,50.29,42.31,62.22,109.06,62.57,26.62,30.30,68.65,24.79
1910,32.87,26.82,20.06,33.61,45.97,88.05,62.93,77.68,37.36,35.15,25.38,27.69
1911,52.70,39.37,34.01,54.58,69.01,74.01,76.52,72.34,85.61,48.62,32.57,47.11
1912,28.92,15.42,19.69,36.16,63.29,76.88,106.65,72.43,50.29,13.05,44.18,48.12
1913,34.65,11.48,56.21,28.23,52.81,73.55,90.38,49.33,66.84,48.62,29.82,29.13
1914,80.01,28.35,52.61,37.31,54.67,35.85,83.41,65.88,41.35,35.04,57.69,53.06
1915,33.94,40.48,27.45,51.38,64.34,55.54,74.21,49.85,22.77,60.23,28.86,56.39
1916,42.48,32.35,40.12,47.55,31.17,66.16,66.81,77.45,38.18,37.79,44.18,33.80
1917,21.65,22.46,16.77,7.57,29.03,57.91,96.78,71.19,40.48,41.82,43.28,59.20
1918,15.05,33.41,42.71,35.84,90.13,91.05,79.12,53.02,21.76,68.16,66.98,45.96
1919,45.26,16.59,29.23,13.81,56.04,83.17,48.13,47.15,38.19,20.45,10.20,18.26
1920,37.61,18.74,6.57,40.05,43.38,68.89,34.64,36.70,27.50,24.02,49.45,24.78
1921,51.47,34.53,42.74,60.63,60.11,78.58,36.94,62.86,102.41,62.85,44.53,39.78
1922,43.79,33.19,28.58,29.74,41.34,64.39,40.84,31.97,39.65,41.24,38.98,54.02
1923,32.07,41.10,30.98,67.32,30.00,42.07,64.47,60.09,29.16,18.68,34.09,8.85
1924,15.23,26.05,29.63,24.78,56.24,92.53,83.44,90.72,62.89,38.53,54.61,55.21
1925,26.57,21.70,29.78,31.76,69.16,88.00,54.49,51.04,54.73,49.67,4.37,44.95
1926,26.24,16.33,33.31,44.74,51.84,53.87,74.16,70.14,34.84,26.96,43.92,46.20
1927,16.66,27.64,10.97,30.17,48.73,64.35,21.17,75.51,38.37,45.99,49.74,61.24
1928,34.98,19.49,17.23,42.78,53.47,71.83,75.83,26.72,43.12,41.19,28.15,25.27
1929,17.97,36.55,30.50,50.70,70.80,51.79,50.07,70.49,52.55,42.98,48.47,45.83
1930,44.85,11.68,41.97,42.15,48.76,57.06,71.95,76.36,64.83,44.83,33.64,33.44
1931,26.37,32.03,31.77,62.83,75.37,103.61,63.47,55.31,28.63,60.68,38.32,30.60
1932,22.17,43.27,25.40,57.82,81.24,104.78,93.41,68.50,61.65,47.34,45.62,32.81
1933,19.14,21.01,17.83,10.61,25.30,43.54,97.15,55.25,28.23,30.44,49.34,15.12
1934,38.00,36.35,19.53,65.22,48.47,43.02,63.82,53.17,36.88,41.78,21.17,61.69
