Variable:,pr
Country:,"Virgin Islands"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,300.20,36.70,77.50,194.40,352.40,435.70,153.80,152.60,195.50,119.30,243.20,274.80
1902,100.10,39.50,92.50,120.60,231.90,161.10,261.70,258.60,201.30,242.50,201.30,333.70
1903,158.90,205.80,159.20,169.10,146.00,119.90,193.50,235.10,294.30,242.30,295.50,146.90
1904,236.40,92.60,132.20,106.60,239.40,123.30,170.90,241.20,269.90,310.80,271.70,109.70
1905,70.30,61.70,99.80,147.90,105.10,305.00,287.50,160.30,366.80,124.90,125.60,258.30
1906,125.60,131.70,48.30,30.10,195.10,166.30,194.90,203.70,219.30,237.90,185.40,334.60
1907,201.50,175.30,141.00,113.80,159.50,159.20,146.90,186.00,327.30,130.40,264.50,197.00
1908,162.00,137.50,67.90,122.10,108.00,308.50,154.40,359.50,207.90,210.10,390.50,97.80
1909,258.60,76.20,117.70,112.40,165.20,199.10,161.30,230.20,360.10,131.30,123.00,432.10
1910,207.80,148.10,38.10,172.60,275.90,127.70,222.70,162.80,246.40,196.50,231.90,445.00
1911,101.60,62.70,98.40,200.80,133.70,133.60,118.80,151.60,221.50,373.40,272.10,110.40
1912,192.30,93.40,166.20,148.60,186.30,183.80,138.00,176.50,250.10,245.50,156.00,155.30
1913,121.40,184.50,135.50,125.10,354.80,177.20,165.70,176.30,206.80,185.90,220.70,222.10
1914,157.90,136.90,56.90,235.80,137.70,250.00,215.40,154.60,231.80,126.20,288.50,215.80
1915,161.70,102.40,27.00,114.60,194.70,191.70,263.50,309.20,313.60,314.80,344.70,50.80
1916,111.50,94.30,47.00,124.60,235.60,185.40,192.40,191.00,225.40,163.20,265.70,137.20
1917,114.40,168.90,80.90,135.20,149.60,167.00,184.30,124.60,269.40,209.60,218.40,207.90
1918,162.50,42.60,55.40,240.60,120.10,256.10,288.10,99.70,305.50,171.00,173.90,243.00
1919,231.70,174.50,111.70,45.60,150.90,154.70,162.60,181.10,291.70,177.50,210.50,188.80
1920,292.10,104.30,123.10,86.20,197.50,141.50,272.90,198.20,310.30,186.20,124.30,126.90
1921,197.50,174.90,134.60,97.20,144.90,166.10,142.80,230.20,261.40,192.70,105.80,352.80
1922,125.20,108.80,48.20,246.10,86.60,161.50,160.70,159.20,193.80,229.60,205.90,133.00
1923,141.80,174.20,35.30,151.80,182.10,177.90,180.80,205.20,223.00,164.80,390.60,184.50
1924,129.20,132.70,77.40,204.20,104.80,196.40,199.40,142.60,260.00,167.70,264.50,36.00
1925,192.70,79.40,74.20,131.60,192.90,144.90,304.50,237.70,208.40,259.50,134.20,91.40
1926,183.00,71.40,112.40,157.00,157.70,230.50,307.40,207.00,211.60,342.10,256.90,80.90
1927,135.50,79.10,76.00,71.40,387.10,104.50,185.20,309.40,608.30,219.40,324.70,290.40
1928,197.70,76.70,116.80,75.00,272.40,168.20,105.50,305.90,264.40,148.50,117.80,147.40
1929,309.60,71.60,81.20,85.80,143.70,143.90,110.80,124.30,237.40,210.80,178.00,174.80
1930,70.40,200.50,66.30,206.50,393.10,341.90,267.30,213.60,448.50,263.80,338.00,145.10
1931,227.60,24.30,62.90,184.00,411.80,304.20,256.30,263.60,399.80,222.60,245.50,159.30
1932,136.50,30.20,124.80,155.70,414.90,266.10,178.00,219.60,392.00,189.20,210.60,190.90
1933,220.40,113.50,124.40,89.50,129.80,185.30,257.20,240.20,296.80,193.80,149.70,343.80
1934,165.20,248.30,47.20,113.70,223.70,182.80,180.70,203.90,295.70,240.20,138.70,187.00
1935,106.30,63.40,37.30,91.10,402.00,254.70,303.80,333.30,331.20,215.60,175.90,269.00
1936,201.60,32.60,47.20,131.10,154.30,132.50,157.70,279.00,201.50,175.50,264.30,103.20
1937,94.80,97.30,100.50,68.10,135.30,402.00,193.80,183.30,248.90,192.70,408.00,267.00
1938,131.40,74.40,98.30,153.30,219.20,108.80,159.30,202.90,279.30,265.00,257.30,165.00
1939,191.30,148.10,62.70,207.30,389.60,216.80,149.40,163.20,196.80,247.30,209.00,178.90
1940,215.30,18.30,72.40,186.60,274.90,242.40,244.40,231.10,271.70,180.40,195.00,216.80
1941,248.70,81.30,71.50,255.10,218.60,302.00,220.60,215.20,243.60,320.70,300.40,119.30
1942,237.00,103.40,107.10,189.40,310.00,234.60,164.40,234.40,193.40,340.00,99.90,147.40
1943,126.90,71.90,30.70,90.00,234.70,328.60,302.80,349.70,362.80,193.60,114.00,126.00
1944,106.80,88.80,44.90,204.10,314.50,96.70,215.20,269.00,243.00,186.60,132.30,144.70
1945,113.10,144.40,48.30,106.80,291.50,196.30,138.10,193.00,242.20,282.00,145.40,156.20
1946,227.40,96.70,53.60,125.30,218.30,150.60,94.70,153.80,303.90,219.80,86.30,132.80
1947,183.30,101.00,48.10,80.90,245.00,202.10,261.40,220.20,319.10,236.80,264.10,210.80
1948,148.20,62.90,131.20,80.10,196.40,223.80,239.50,212.60,436.60,263.00,124.40,235.20
1949,207.40,247.20,56.30,181.00,177.40,151.50,195.80,280.10,212.10,273.00,250.50,137.50
1950,153.10,33.60,22.90,129.70,205.90,215.30,282.60,205.10,317.70,193.10,198.70,281.40
1951,234.20,85.20,58.00,262.80,246.70,183.90,335.00,295.00,386.80,211.50,178.50,71.50
1952,123.90,39.50,73.20,109.70,160.80,233.90,184.80,186.30,311.50,160.80,256.80,222.10
1953,189.10,187.50,66.90,129.10,116.40,194.20,151.50,259.50,392.80,395.90,104.20,136.90
1954,105.70,80.10,84.70,140.00,175.60,204.50,139.90,314.00,322.80,231.20,145.70,142.30
1955,165.80,168.50,70.80,207.40,180.50,337.20,138.30,249.50,184.50,287.60,179.60,244.50
1956,133.70,59.80,39.30,80.80,87.10,247.90,178.00,224.00,173.60,166.90,186.60,236.90
1957,159.20,65.50,45.70,220.30,414.60,285.10,326.30,200.20,259.70,284.10,222.40,112.50
1958,205.90,85.80,36.40,187.00,321.20,101.80,235.00,203.20,178.80,150.30,160.50,232.60
1959,91.70,129.20,124.50,275.00,192.40,242.20,245.40,256.90,462.10,144.40,243.20,325.20
1960,168.70,75.00,82.80,162.90,125.60,144.40,258.40,324.20,159.20,269.10,278.60,246.80
1961,213.60,113.30,86.00,244.80,164.80,290.50,177.90,236.90,203.80,239.70,104.30,131.00
1962,280.10,85.30,94.90,203.60,223.20,157.60,221.50,250.90,265.10,119.30,190.20,76.90
1963,140.30,91.10,66.90,190.00,88.80,131.10,285.50,180.30,200.60,150.60,76.00,93.60
1964,123.40,39.70,39.70,161.60,351.50,272.10,193.90,235.10,216.50,163.30,202.20,322.20
1965,138.90,55.60,126.30,153.10,202.20,152.80,219.90,149.10,278.70,198.20,156.60,222.60
1966,86.40,100.10,49.90,60.90,131.00,146.80,164.20,134.70,183.20,179.20,156.60,100.60
1967,99.50,58.60,44.60,80.70,148.00,242.70,195.50,227.70,176.70,107.90,248.20,258.40
1968,230.20,108.30,100.50,120.60,592.40,187.80,260.40,197.20,262.90,194.20,297.40,119.00
1969,112.60,64.20,29.20,77.20,274.40,329.60,227.90,243.60,264.20,406.50,257.90,347.50
1970,153.10,125.30,75.70,229.60,301.70,107.10,124.20,232.30,145.60,269.80,107.10,167.10
1971,212.80,88.90,138.20,80.50,75.40,174.80,118.60,173.90,186.20,272.50,137.60,192.70
1972,113.00,78.00,108.10,168.80,72.20,169.50,135.60,253.90,258.70,187.40,75.20,96.20
1973,201.50,76.90,87.80,87.10,57.60,95.70,94.10,227.60,316.40,323.30,387.00,113.30
1974,167.40,63.60,72.10,94.40,102.90,110.70,122.00,171.10,488.60,243.00,242.30,347.10
1975,102.70,143.70,74.10,140.80,96.10,161.60,78.10,204.00,218.20,258.10,124.10,136.10
1976,162.30,48.00,59.70,87.50,108.30,77.00,187.90,238.00,239.10,323.90,412.10,124.70
1977,101.40,81.30,103.60,163.10,215.50,142.10,139.60,231.40,204.40,288.90,156.60,103.90
1978,92.70,108.20,102.10,113.90,466.60,364.00,239.90,357.40,518.00,182.00,346.60,174.80
1979,64.80,81.40,57.30,177.90,212.90,114.40,175.00,130.80,179.00,199.50,89.30,181.10
1980,195.20,128.50,96.50,147.20,424.60,226.80,221.90,183.60,145.00,256.40,154.70,477.00
1981,119.00,211.40,47.10,63.90,356.90,160.20,206.40,99.80,256.30,124.30,238.20,212.10
1982,66.90,17.00,80.30,337.00,293.20,120.10,239.10,214.40,170.70,151.60,200.30,160.60
1983,131.80,158.40,51.20,59.70,217.40,231.50,180.50,163.40,375.60,250.50,391.00,148.20
1984,70.50,113.90,148.70,96.50,235.40,29.80,133.30,160.90,293.70,512.70,205.30,90.40
1985,156.30,43.40,90.80,232.40,428.20,108.70,113.70,177.30,104.20,243.90,310.10,154.70
1986,117.50,90.50,114.60,184.60,361.90,401.00,141.10,105.30,194.80,174.10,428.30,233.30
1987,164.00,157.80,66.10,148.30,170.00,182.80,218.60,352.20,256.40,212.80,194.60,163.90
1988,177.50,213.20,109.90,112.30,109.50,181.00,193.10,340.70,524.70,103.00,106.70,61.00
1989,152.60,110.50,114.20,77.10,88.70,177.20,186.40,159.60,196.50,479.90,123.60,200.20
1990,122.90,157.60,75.00,103.50,129.60,98.80,180.80,150.70,230.30,170.40,189.40,114.40
1991,228.70,53.80,82.70,119.20,396.30,182.10,156.20,225.80,246.50,153.20,294.30,297.20
1992,229.80,53.20,86.70,181.90,194.20,209.90,160.30,129.90,205.00,125.60,152.40,153.20
1993,149.00,79.30,62.00,90.80,121.20,122.40,172.20,123.10,250.20,189.90,164.60,188.50
1994,100.00,152.50,64.30,65.50,181.90,152.20,185.10,212.10,293.80,205.90,107.80,259.50
1995,243.90,95.30,106.00,171.30,36.90,145.50,392.30,65.10,216.10,290.80,114.40,130.60
1996,131.50,193.20,48.90,29.80,196.00,66.40,269.10,211.20,229.60,254.30,157.40,45.20
1997,294.20,107.20,111.20,176.70,201.90,136.30,231.50,235.60,334.90,306.10,328.40,320.40
1998,169.90,97.50,33.00,95.10,110.90,378.60,211.30,273.10,240.20,301.90,294.50,303.50
1999,157.00,33.50,28.30,65.90,182.40,110.00,137.30,257.50,146.00,145.20,181.60,133.40
2000,112.10,149.50,78.70,119.50,156.70,123.20,143.40,311.30,154.70,263.70,163.80,335.40
2001,160.90,73.90,114.80,192.50,91.60,146.20,201.10,146.70,326.30,238.50,155.10,174.00
