Variable:,pr
Country:,Vanuatu
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1902,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1903,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1904,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1905,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1906,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1907,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1908,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1909,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1910,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1911,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1912,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1913,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1914,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1915,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1916,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1917,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1918,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1919,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1920,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1921,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1922,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1923,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1924,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1925,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1926,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1927,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1928,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1929,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1930,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1931,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1932,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1933,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1934,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1935,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1936,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1937,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1938,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1939,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1940,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1941,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1942,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1943,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1944,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1945,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1946,351.54,329.97,342.20,290.51,205.93,201.14,160.75,159.46,153.52,190.01,210.16,231.64
1947,351.54,233.96,309.03,262.83,227.58,201.14,160.75,193.24,153.52,140.67,327.24,231.64
1948,351.54,193.90,344.60,482.04,192.44,201.14,160.75,140.77,153.52,153.87,147.51,231.64
1949,351.54,277.24,493.06,248.62,222.56,201.14,160.75,185.88,153.52,111.88,301.30,231.64
1950,286.91,674.48,258.61,193.17,151.11,125.05,312.95,104.28,79.01,51.96,284.52,609.34
1951,211.07,147.82,308.09,237.26,266.99,105.70,537.91,96.39,206.68,141.42,160.73,449.21
1952,284.30,201.55,405.41,310.26,182.15,317.07,214.45,149.16,103.30,57.29,41.82,229.56
1953,177.67,349.00,308.87,243.94,237.27,224.50,430.60,117.31,258.04,97.24,172.88,441.06
1954,353.17,178.76,603.21,281.45,150.68,44.76,126.20,75.09,467.43,157.07,437.90,490.49
1955,291.61,183.14,433.65,220.39,228.57,124.18,198.53,128.22,145.59,226.58,213.75,124.86
1956,245.41,333.12,494.04,112.70,269.12,55.71,16.51,156.11,298.30,222.71,135.20,105.31
1957,333.07,195.48,318.60,339.79,91.93,75.95,27.70,30.62,91.00,79.15,92.65,118.07
1958,272.63,193.23,245.96,424.81,170.08,161.15,160.75,367.99,245.97,144.15,345.52,264.12
1959,290.85,197.37,439.08,209.57,208.36,150.21,134.73,106.59,311.50,359.00,205.76,364.03
