Variable:,tas
Country:,Andorra
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.33,-2.74,1.97,6.46,9.20,14.76,16.69,16.15,13.31,7.46,1.81,-0.29
1902,-0.07,0.84,4.21,7.08,7.09,12.17,16.90,15.86,12.61,7.54,3.42,0.71
1903,0.05,1.50,3.98,4.49,8.88,11.83,15.66,15.96,12.89,9.35,3.82,-0.09
1904,-0.05,1.51,2.36,6.57,10.85,14.07,18.00,17.03,12.01,8.64,2.46,1.42
1905,-1.42,-0.32,4.39,6.71,8.21,13.35,17.71,15.88,12.55,5.98,2.56,0.01
1906,0.64,-0.32,2.39,4.55,8.98,13.89,16.25,17.32,13.17,9.38,3.71,-0.54
1907,-0.94,-1.15,2.88,4.95,8.70,13.18,15.05,16.58,13.53,8.21,4.18,2.64
1908,-0.26,1.04,1.89,4.15,10.99,13.04,15.95,15.64,13.07,9.32,3.82,0.94
1909,-1.37,-1.56,1.95,6.73,9.48,11.33,14.68,16.00,11.81,9.50,2.54,2.02
1910,0.40,1.88,2.83,4.98,7.78,13.19,14.96,15.33,11.69,8.68,3.45,2.10
1911,-2.07,0.79,2.84,4.65,9.23,12.71,18.05,18.12,15.14,8.43,4.28,2.75
1912,1.05,3.14,5.11,5.18,10.41,12.83,15.25,14.06,10.58,7.48,1.91,0.54
1913,1.69,0.79,4.06,5.21,9.41,13.62,15.24,15.81,12.59,9.10,5.56,0.44
1914,-2.47,2.23,4.36,6.86,8.81,11.77,15.23,15.58,13.31,8.02,2.91,1.72
1915,-0.02,0.24,2.80,4.53,10.36,13.40,16.11,16.06,12.19,7.00,2.50,2.94
1916,1.28,1.21,2.52,5.83,10.06,11.98,15.68,16.48,11.82,8.68,3.86,1.46
1917,-1.44,-0.75,1.57,3.66,10.36,13.90,16.46,15.29,14.29,6.95,3.03,-1.22
1918,-0.03,0.86,2.48,4.34,9.93,12.35,16.03,16.21,13.54,6.52,3.17,1.96
1919,-0.45,1.19,2.97,4.43,9.61,13.66,14.13,16.84,13.91,6.00,1.50,0.82
1920,1.50,1.93,4.07,6.16,11.18,13.08,15.88,14.76,12.77,8.32,2.44,0.33
1921,1.37,0.65,3.23,4.85,9.70,13.87,17.70,16.02,14.97,11.11,2.48,0.71
1922,-0.23,1.49,3.41,5.19,11.13,12.94,15.23,15.93,11.17,7.98,2.54,0.36
1923,-0.40,2.26,4.10,5.74,9.72,11.56,17.55,17.54,12.60,10.23,3.20,0.44
