Variable:,tas
Country:,Azerbaijan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.85,2.84,8.19,13.39,16.87,22.92,25.16,24.62,18.74,10.15,6.24,4.36
1902,1.82,1.88,5.06,10.83,16.23,23.27,24.20,24.78,17.99,11.74,4.19,0.67
1903,-1.22,1.40,2.23,12.17,17.51,22.39,25.06,24.31,18.00,13.46,6.32,1.16
1904,-5.11,3.44,5.30,8.62,15.50,20.34,24.10,24.51,19.43,12.81,7.79,0.69
1905,-2.75,-1.32,2.12,10.17,15.32,22.24,24.32,23.65,20.40,16.91,8.92,1.35
1906,-2.10,0.86,6.14,10.98,18.21,22.31,24.15,22.94,17.73,13.50,6.62,3.34
1907,-0.98,-0.83,3.95,10.06,17.14,22.24,25.80,23.84,17.86,11.52,3.55,0.30
1908,-1.96,0.36,2.48,9.26,15.09,22.07,23.77,24.55,20.57,11.18,5.13,-0.53
1909,-4.04,0.65,5.22,9.48,17.49,20.33,24.93,23.36,21.59,14.10,9.77,2.88
1910,1.42,2.29,4.57,11.43,16.85,21.84,25.74,24.37,18.77,12.61,7.73,-1.40
1911,-5.04,-3.49,1.50,9.42,16.04,20.56,24.88,23.85,17.74,10.24,6.90,0.35
1912,0.46,2.34,5.82,9.23,14.56,22.83,23.46,23.49,21.51,12.78,7.52,0.94
1913,-1.32,-1.92,3.47,10.12,15.85,20.05,25.04,26.07,20.72,11.97,7.55,3.14
1914,2.49,3.79,8.49,10.67,16.13,21.21,24.92,23.71,18.47,13.10,3.77,0.39
1915,3.29,1.96,6.49,10.74,15.65,20.66,24.11,23.63,19.39,12.68,8.62,4.13
1916,0.77,0.83,5.18,11.69,17.64,21.32,24.37,24.20,18.20,12.53,6.40,2.46
1917,1.76,0.32,5.62,14.76,15.02,21.05,25.35,24.24,20.59,12.93,8.87,1.76
1918,0.43,1.07,4.36,9.79,14.42,20.82,24.30,24.01,21.74,16.10,6.14,0.40
1919,1.82,1.92,4.61,12.48,14.13,19.64,23.57,23.05,20.51,16.70,8.20,1.87
1920,1.09,-4.25,4.99,11.44,16.29,21.61,23.92,25.17,19.46,10.38,3.29,-3.14
1921,-0.22,-2.24,2.91,10.65,18.22,22.69,24.81,23.59,17.97,11.65,5.51,0.66
1922,0.31,1.00,5.89,11.69,17.83,21.67,25.16,24.38,18.34,13.65,7.98,2.40
1923,0.85,1.20,4.76,8.75,17.97,23.21,25.52,22.56,19.82,13.99,8.27,2.82
1924,1.97,0.36,4.50,10.07,17.15,23.87,24.16,24.67,21.78,12.68,6.56,-1.81
1925,-3.04,0.54,8.00,10.27,17.82,21.43,24.13,25.53,20.78,12.66,7.45,4.08
1926,0.56,0.85,4.59,10.39,17.27,20.91,23.17,24.41,17.93,12.68,7.12,3.40
1927,-2.44,-2.12,4.32,10.99,16.61,23.17,25.00,25.10,20.76,16.57,7.25,-1.16
1928,-3.27,-2.50,-0.46,11.78,16.32,21.08,23.76,21.72,19.82,11.59,8.49,1.56
1929,-2.41,-3.75,0.10,9.57,18.52,20.73,23.98,25.74,19.57,14.13,7.88,0.63
1930,-0.18,-0.40,5.65,11.10,16.85,20.26,25.17,26.15,19.28,12.78,8.56,1.11
1931,-2.17,-1.77,5.31,9.36,15.58,21.59,25.74,24.06,21.30,13.10,4.86,-2.68
1932,-2.54,-1.30,3.75,12.01,16.78,22.72,22.98,24.40,19.39,15.00,5.13,-1.54
1933,-4.04,-0.45,2.09,9.56,16.78,19.96,24.23,25.08,20.64,13.64,7.82,-1.10
1934,-3.39,0.59,4.89,9.71,15.95,20.97,24.82,23.63,18.70,13.69,7.34,0.65
1935,-3.68,1.82,3.25,12.69,16.89,20.64,24.50,26.23,22.08,15.34,5.39,3.36
1936,0.59,1.70,4.35,11.20,15.17,21.54,25.36,24.85,18.33,13.31,8.61,1.19
1937,-2.73,-0.05,5.20,10.66,15.76,19.55,25.94,25.80,22.56,14.77,8.66,3.51
1938,1.55,1.62,3.02,11.80,16.70,21.35,25.61,25.07,20.82,13.95,7.62,2.36
1939,0.82,2.09,4.05,10.55,18.12,23.10,24.59,23.76,18.69,12.74,6.82,2.79
1940,-1.40,1.37,2.96,12.77,14.89,21.79,25.24,26.67,20.63,13.04,8.75,4.01
