Variable:,tas
Country:,Burundi
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.12,20.23,20.29,20.34,19.99,18.65,19.26,20.27,21.13,21.46,20.80,20.94
1902,20.12,20.24,20.29,20.26,21.47,20.93,19.27,21.46,21.01,21.17,19.91,19.22
1903,20.12,20.31,19.89,20.24,20.00,20.11,19.27,21.45,21.00,20.86,20.11,20.04
1904,19.61,19.66,19.89,19.94,20.11,19.94,19.46,21.45,21.28,20.11,19.65,19.56
1905,20.12,20.06,19.72,19.22,19.76,19.65,19.00,20.11,21.04,21.32,20.00,19.33
1906,19.40,20.06,19.10,19.12,19.38,18.50,18.53,19.27,20.13,20.57,20.66,20.23
1907,19.72,19.48,19.76,19.41,19.16,18.28,18.79,18.98,20.32,20.96,20.01,19.82
1908,20.13,20.33,20.16,20.40,19.71,19.36,19.37,20.79,20.97,20.87,20.01,19.48
1909,19.10,18.87,19.69,19.77,19.49,18.41,18.76,19.47,20.42,20.41,19.19,19.06
1910,19.29,19.17,19.46,19.69,18.74,19.25,18.32,19.60,19.90,19.84,19.27,20.04
1911,19.63,19.82,19.58,18.96,19.67,18.63,18.36,19.62,19.77,20.24,19.43,19.90
1912,19.46,19.47,19.41,19.40,19.26,18.89,18.43,19.57,20.37,20.45,19.52,19.10
1913,19.13,19.46,19.21,19.35,19.25,18.36,18.27,19.44,20.64,20.38,19.54,19.38
1914,19.38,19.62,19.76,19.52,19.25,18.85,18.62,19.89,20.48,20.45,19.62,19.62
1915,19.63,19.75,20.10,19.73,18.79,18.74,18.82,19.70,20.59,20.41,19.15,19.04
1916,19.38,19.42,19.29,19.48,19.25,18.40,18.16,19.35,20.01,20.87,19.02,19.04
1917,18.79,18.97,18.96,19.06,18.90,18.15,18.27,19.70,20.01,19.84,19.02,18.92
1918,19.04,19.16,19.29,19.14,18.79,18.40,18.49,19.57,20.27,20.41,19.29,19.30
1919,19.63,19.87,19.76,19.48,19.12,18.40,18.27,19.70,20.48,19.84,19.15,19.04
1920,19.30,19.30,19.42,18.92,18.90,18.02,18.27,19.57,21.01,20.87,20.32,18.58
1921,19.75,19.87,20.47,20.30,19.81,18.98,19.45,20.25,20.85,20.77,20.10,20.21
1922,20.28,20.66,20.33,20.06,19.37,19.30,18.74,20.15,21.03,20.53,19.95,19.74
1923,20.12,20.34,20.10,19.97,19.90,19.08,18.94,20.02,20.72,20.67,19.82,20.04
1924,20.12,20.24,20.29,20.26,19.90,19.27,19.27,20.35,21.01,20.87,20.11,20.04
1925,19.63,20.01,20.10,20.26,19.90,19.27,19.27,20.35,21.03,20.99,20.11,20.04
1926,20.12,20.90,20.29,20.68,19.93,19.30,19.29,20.25,21.43,20.99,20.21,19.74
1927,20.66,20.46,20.47,20.06,19.61,18.85,18.62,20.39,21.30,21.24,20.21,20.04
1928,20.54,20.70,20.29,20.64,19.90,19.30,18.82,20.35,21.30,21.12,20.27,20.04
1929,19.30,19.71,19.67,19.23,18.70,18.19,18.36,19.27,19.85,19.78,18.99,18.95
1930,19.47,19.30,19.29,19.23,19.03,18.19,18.53,19.70,20.56,19.99,19.29,19.22
1931,19.75,20.63,19.27,19.54,19.45,19.25,18.98,20.40,20.82,21.12,20.31,18.35
1932,19.50,19.01,19.55,19.48,18.68,18.73,18.62,19.92,21.03,20.67,20.60,19.00
1933,19.34,18.86,19.59,19.77,19.86,19.57,18.86,19.78,19.69,19.78,20.27,18.75
1934,19.67,19.16,19.89,19.38,19.35,19.02,18.94,20.15,20.57,20.21,19.31,19.00
1935,20.04,19.58,19.64,19.70,19.40,19.10,18.73,19.68,20.97,20.69,20.45,19.27
1936,19.65,19.36,19.19,19.65,19.58,18.60,19.00,19.63,20.47,20.89,20.56,19.22
1937,20.05,19.92,20.00,19.69,18.68,18.55,18.85,19.21,20.81,20.19,19.98,19.24
1938,19.96,19.59,20.02,19.87,19.51,18.95,19.19,20.08,20.79,20.55,19.69,19.41
1939,19.82,19.70,19.39,19.77,19.26,18.70,19.27,20.40,20.73,20.91,19.99,19.97
1940,20.11,19.89,19.90,19.67,19.70,19.65,18.94,20.47,21.34,21.01,19.75,19.90
1941,20.26,20.92,20.02,20.24,20.03,19.83,19.13,20.45,21.38,21.50,19.80,19.08
1942,20.20,20.45,20.09,19.90,19.42,19.15,18.80,19.77,20.53,20.41,19.23,19.35
1943,20.17,19.36,19.58,19.73,19.63,18.87,19.02,19.90,20.31,20.64,20.58,20.57
1944,20.06,19.95,19.41,19.89,19.48,19.95,19.24,20.29,20.86,20.90,19.52,19.75
1945,20.10,19.72,20.19,20.13,19.51,18.87,19.08,20.05,20.69,21.01,20.30,19.04
1946,20.32,20.80,20.26,19.64,19.71,19.04,18.98,19.77,20.61,20.91,19.41,19.54
1947,19.98,19.56,19.40,19.85,19.04,18.98,19.18,19.64,20.68,20.83,20.37,19.52
1948,20.05,20.21,19.30,19.96,20.02,19.36,19.09,20.27,20.60,20.72,20.17,19.81
1949,20.15,19.92,20.61,20.43,20.25,19.67,19.32,20.91,20.94,20.95,20.47,19.94
1950,19.97,19.34,19.46,19.44,19.09,18.95,18.96,19.97,20.30,19.67,19.86,19.65
1951,20.03,19.50,20.12,19.96,19.76,19.13,19.18,20.25,21.35,21.06,20.06,19.40
1952,20.57,20.35,20.54,20.26,19.90,19.15,19.24,20.34,20.73,20.86,19.84,20.30
1953,20.48,20.26,20.46,20.33,20.25,19.30,19.28,20.55,20.90,20.88,20.64,20.16
1954,20.36,20.43,20.63,19.97,19.76,19.14,19.13,20.25,21.09,20.94,20.01,19.91
1955,20.15,19.99,20.18,20.05,19.71,19.17,19.26,20.17,20.77,21.07,20.56,19.70
1956,19.62,19.99,20.01,19.75,19.79,19.16,19.06,20.45,20.83,20.79,20.19,19.88
1957,20.09,19.78,19.97,20.02,19.87,19.22,19.48,20.62,21.42,21.16,21.02,20.19
1958,20.68,20.24,20.77,20.96,20.11,19.50,19.07,20.35,21.49,21.18,20.55,20.43
1959,20.64,20.24,20.20,20.34,20.24,19.50,19.35,20.56,21.04,20.71,19.84,19.90
1960,19.96,19.95,19.70,19.75,19.77,19.47,19.04,20.50,20.91,20.78,20.16,20.23
1961,20.50,20.07,20.26,20.34,20.68,19.72,19.46,20.25,20.93,20.89,19.43,19.46
1962,19.62,20.12,20.00,20.25,19.48,19.24,19.30,20.37,20.87,20.22,19.95,20.00
1963,19.91,20.01,19.94,19.80,19.57,19.07,19.30,20.06,20.88,21.10,19.52,19.74
1964,20.24,20.24,20.29,20.16,19.70,19.17,18.79,19.96,20.35,20.34,20.06,20.00
1965,19.92,19.78,20.06,19.96,19.81,19.00,19.18,20.05,21.01,20.53,20.35,20.04
1966,20.44,20.44,20.29,20.01,20.20,19.57,19.37,20.55,21.11,20.77,20.01,20.14
1967,20.22,20.53,20.54,20.30,19.75,19.16,19.07,20.04,20.56,20.69,19.83,19.75
1968,19.80,19.73,19.45,19.55,19.44,18.72,19.01,19.84,20.74,20.57,20.03,20.02
1969,20.17,20.42,20.59,20.94,20.19,19.57,19.30,20.40,21.19,21.27,20.41,20.11
1970,20.12,20.71,20.21,20.28,19.71,19.47,19.31,20.05,20.91,20.55,20.10,19.56
1971,19.83,19.83,20.15,20.01,19.71,18.70,19.21,20.01,20.78,20.44,19.89,19.61
1972,20.02,19.51,20.14,20.23,20.20,19.29,19.49,20.48,21.22,20.87,19.91,20.07
1973,20.23,20.56,20.77,20.46,20.05,19.40,19.11,20.35,20.95,21.05,20.03,19.77
1974,20.02,20.44,20.21,20.02,19.30,19.07,19.10,20.23,20.30,20.78,20.00,20.13
1975,19.98,20.34,20.14,20.12,19.81,19.09,19.28,19.86,20.55,20.25,20.31,19.74
1976,20.18,19.73,20.25,20.11,19.95,19.38,19.18,20.10,21.21,21.37,20.37,20.52
1977,20.22,20.34,20.45,20.23,20.12,19.51,19.37,20.65,21.62,21.48,19.80,19.92
1978,20.13,20.69,20.06,20.46,19.86,19.16,19.26,20.70,21.29,21.18,20.03,20.02
1979,20.30,19.84,20.05,20.12,19.80,18.77,19.27,20.75,20.91,20.86,20.31,20.29
1980,20.38,20.58,20.38,20.70,19.90,19.02,19.11,20.38,21.31,20.98,20.11,20.02
1981,20.23,20.39,20.41,20.27,19.75,19.09,18.96,20.43,21.07,20.94,20.75,20.52
1982,20.37,20.61,20.73,20.39,19.92,19.47,19.43,20.39,21.21,20.67,20.01,20.34
1983,20.39,20.86,21.31,20.79,20.37,20.04,19.71,20.59,21.16,21.05,20.51,19.84
1984,19.75,20.25,20.53,20.06,20.08,19.40,19.60,20.29,21.22,21.03,20.01,20.03
1985,20.60,19.89,20.16,19.82,19.77,19.13,19.27,20.38,21.02,20.97,20.12,20.14
1986,20.19,20.33,19.99,20.26,20.00,18.98,19.17,20.65,21.04,20.99,20.23,20.00
1987,20.34,20.57,20.77,20.88,20.37,19.41,19.76,21.21,21.57,21.42,20.78,21.14
1988,20.60,21.08,20.51,20.68,20.05,19.99,19.36,20.69,21.23,21.15,20.11,20.09
1989,19.81,19.82,20.09,20.05,19.64,19.08,19.27,20.39,21.00,21.03,20.31,20.22
1990,20.01,20.53,20.41,20.76,20.17,19.76,19.52,20.44,20.96,21.09,20.88,20.26
1991,20.22,20.70,21.14,20.56,20.78,19.94,19.17,20.33,21.11,20.75,20.11,20.04
1992,20.22,20.56,20.63,20.96,20.34,19.64,19.27,20.27,21.10,20.99,20.22,20.42
1993,20.03,20.12,20.10,20.49,19.67,20.03,19.37,20.63,20.96,21.09,20.56,20.59
1994,20.45,20.28,20.38,20.26,20.53,19.52,19.18,21.15,21.72,20.98,20.59,20.43
1995,20.20,20.36,20.79,20.74,20.26,20.17,19.61,21.70,21.49,21.80,21.11,20.70
