Variable:,tas
Country:,Bulgaria
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.52,-0.86,6.20,9.90,15.09,19.74,21.69,20.40,16.35,12.00,3.92,4.20
1902,1.73,3.37,4.20,8.92,12.47,18.36,20.27,21.24,16.69,11.70,1.65,-3.69
1903,-1.17,2.44,6.07,8.63,14.90,17.93,20.69,20.41,17.13,11.99,6.57,2.29
1904,-2.53,3.85,3.72,9.44,14.53,18.73,21.87,20.95,15.64,11.98,3.17,1.01
1905,-4.74,-0.80,4.22,8.68,15.42,19.04,22.46,22.69,18.30,9.64,8.48,0.80
1906,-1.04,1.40,6.25,10.65,15.48,18.71,21.47,19.78,15.52,10.29,7.44,0.37
1907,-3.33,-2.67,0.63,7.58,17.84,19.03,20.85,20.76,16.27,14.53,3.96,2.19
1908,-1.83,1.30,4.33,8.82,17.30,19.91,20.95,20.33,15.60,9.80,0.99,-1.00
1909,-3.98,-3.97,4.73,9.76,14.73,18.44,21.32,21.86,18.45,12.91,5.01,3.92
1910,0.59,4.16,4.62,9.83,14.92,19.15,20.62,20.57,16.35,10.59,5.84,3.66
1911,-0.74,-3.41,3.84,9.04,15.38,18.22,21.14,21.08,16.68,12.06,7.90,1.60
1912,-3.94,2.56,7.01,7.87,13.49,19.10,20.16,19.52,14.47,9.10,4.80,2.14
1913,-1.58,-1.14,6.72,10.01,13.70,17.60,19.14,19.22,17.05,11.30,6.18,1.48
1914,-3.83,0.35,6.49,10.29,14.46,17.86,20.97,20.10,14.87,9.92,3.28,2.31
1915,2.78,2.05,4.02,9.60,14.41,19.31,21.46,19.28,14.85,11.13,4.59,4.28
1916,0.74,1.49,7.39,9.95,14.91,19.28,21.35,19.75,15.68,11.84,7.28,4.03
1917,0.84,-3.39,4.21,9.78,13.92,18.81,21.04,22.12,17.26,13.06,7.22,-1.11
1918,0.43,-0.40,4.02,9.75,14.28,17.53,20.58,20.36,18.43,14.14,5.14,1.52
1919,1.41,0.97,5.85,10.59,11.36,17.25,20.07,19.32,18.06,11.95,5.54,1.12
1920,0.71,-1.65,5.60,12.17,15.75,18.00,21.94,20.87,16.28,7.83,1.10,0.48
1921,2.17,-1.30,5.34,9.40,16.41,17.20,21.25,21.92,15.11,10.30,3.75,-0.55
1922,-2.57,-1.51,7.24,9.71,14.88,18.96,22.07,20.99,16.36,10.79,3.26,-0.38
1923,-0.18,0.52,5.57,9.21,16.89,17.61,21.10,20.18,17.87,14.14,10.38,2.11
1924,-5.18,-0.53,3.58,9.95,16.72,20.12,20.98,20.13,19.01,10.62,3.27,-0.29
1925,-0.47,5.13,5.35,10.12,15.45,16.60,21.07,20.12,16.35,11.47,7.74,-0.67
1926,-0.35,2.53,3.83,11.34,14.98,18.76,20.98,18.55,16.43,12.63,10.38,1.33
1927,0.64,-1.59,7.69,10.43,14.58,20.18,22.18,22.23,18.98,12.37,7.20,-1.93
1928,-1.37,-1.66,1.97,10.82,13.61,18.02,22.84,21.36,17.83,11.07,8.09,0.19
1929,-3.33,-4.35,0.41,7.20,16.91,18.86,20.96,23.16,15.47,12.66,7.69,2.01
1930,0.25,0.63,6.52,10.92,14.54,18.64,21.75,20.91,17.91,11.99,7.12,1.76
1931,0.18,0.84,3.88,8.02,16.17,19.98,22.85,21.47,15.52,11.11,4.07,-1.36
1932,-2.33,-4.66,1.33,9.99,15.56,18.36,22.23,21.24,19.07,14.57,5.07,1.82
1933,-3.08,0.56,3.36,7.21,13.26,16.59,19.97,19.97,14.70,11.70,7.63,-2.92
1934,-1.83,-1.41,7.17,12.00,16.66,18.90,21.44,21.25,17.40,12.21,7.75,2.10
1935,-2.98,-0.10,3.07,9.92,14.51,19.81,20.63,20.96,16.95,14.19,4.64,2.94
1936,3.71,1.77,7.07,10.90,14.84,17.99,22.74,20.59,15.75,10.50,5.75,-0.33
1937,-3.39,1.61,7.98,9.68,16.47,19.61,22.12,20.78,18.99,11.62,6.60,2.56
1938,-1.72,0.37,5.10,8.47,14.57,19.78,22.81,22.15,16.65,12.73,6.53,0.59
1939,1.70,1.60,3.33,10.95,15.17,18.67,22.32,20.81,16.48,12.28,5.25,0.82
1940,-5.35,-0.99,2.65,9.08,13.19,18.02,21.58,19.02,16.56,12.25,7.96,-2.65
1941,-0.77,3.70,4.92,10.97,14.47,18.13,20.70,20.35,13.74,9.99,2.38,-1.40
1942,-6.55,-0.89,1.93,8.43,15.76,19.83,21.11,20.96,18.46,11.97,4.15,0.30
1943,-3.88,0.53,3.05,9.88,13.60,17.74,20.78,22.27,18.16,12.89,7.49,1.59
1944,-1.37,0.76,3.59,9.61,13.45,19.13,20.85,20.65,17.15,13.23,6.33,0.22
1945,-2.62,-0.60,4.03,9.31,16.88,19.13,21.90,21.95,17.36,10.41,5.45,0.47
1946,-2.76,0.70,4.77,10.83,16.37,20.80,23.17,23.52,19.50,8.84,6.86,-0.50
1947,-6.37,0.72,8.16,12.20,16.01,19.97,22.39,20.59,17.64,9.35,6.36,2.91
1948,4.20,-0.18,3.45,10.46,15.47,17.88,20.30,21.40,16.86,12.16,4.00,-4.12
1949,0.09,-0.33,2.21,8.96,16.28,17.10,20.10,19.25,15.96,11.01,8.43,2.93
1950,-3.86,1.44,4.92,12.56,16.10,19.47,22.88,21.24,18.49,10.76,6.37,4.86
1951,1.33,2.85,6.68,11.02,15.94,19.41,21.61,22.25,18.17,9.16,7.42,0.65
1952,1.27,1.13,3.05,11.25,13.82,18.56,21.93,23.57,19.08,12.16,6.80,3.62
1953,0.09,1.10,2.39,9.95,13.85,19.54,22.39,20.97,17.23,11.73,2.63,-1.67
1954,-5.66,-4.89,4.90,7.99,14.64,20.83,21.99,21.66,18.73,11.56,5.95,2.32
1955,1.99,4.70,4.24,7.02,15.20,18.38,21.03,19.51,16.98,13.15,5.13,2.75
1956,0.73,-4.15,0.78,10.29,14.42,18.20,21.22,22.06,16.68,10.96,3.67,0.18
1957,-1.63,3.57,4.65,9.74,13.48,19.99,21.75,21.45,17.27,11.82,6.30,-0.29
1958,-0.29,4.39,2.98,8.48,17.40,18.41,21.62,21.44,15.82,10.94,6.42,3.54
1959,-0.66,-1.55,5.48,10.03,14.43,17.67,21.66,20.40,14.39,8.88,5.31,3.91
1960,0.36,1.29,4.32,9.12,14.24,18.30,20.13,20.84,15.42,14.06,8.78,5.61
1961,-0.85,0.47,6.23,12.18,14.11,19.16,20.59,20.91,16.70,11.93,8.08,0.67
1962,0.31,-0.37,3.82,10.18,15.94,18.11,20.79,22.45,17.00,12.17,9.05,-0.96
1963,-5.12,0.48,2.68,9.20,15.30,19.37,22.38,22.32,18.32,11.66,8.36,-0.04
1964,-4.37,-0.78,3.67,10.01,13.49,20.03,20.72,19.66,15.87,12.80,6.61,2.48
1965,0.28,-3.21,4.61,7.88,13.91,19.13,21.14,19.01,17.67,10.15,5.81,3.17
1966,-1.45,5.52,5.07,11.60,14.88,18.00,21.47,21.55,16.67,15.31,7.65,1.48
1967,-3.22,-0.81,5.04,9.70,15.40,17.67,21.45,21.50,17.68,12.90,6.33,0.78
1968,-2.41,2.20,4.59,11.95,17.69,19.10,20.91,19.31,16.65,10.71,7.14,0.03
1969,-4.09,1.00,2.88,8.54,16.81,18.41,19.58,20.46,17.51,11.04,7.85,1.47
1970,1.01,1.93,5.31,11.25,13.51,18.65,21.50,20.72,16.41,10.09,6.45,1.45
1971,1.77,1.25,3.39,9.62,16.24,18.64,20.07,21.51,15.30,9.51,5.66,1.54
1972,-1.03,0.99,5.37,11.92,15.46,20.05,21.40,20.52,15.34,9.41,5.81,0.23
1973,-1.45,2.45,3.02,9.35,15.44,18.12,21.09,19.87,17.58,11.61,3.36,0.97
1974,-1.83,3.03,5.12,8.28,13.76,17.77,20.12,21.00,17.09,12.78,5.25,1.52
1975,0.05,-0.46,7.04,10.75,15.75,18.86,21.33,19.97,18.45,11.31,4.02,0.21
1976,-0.70,-1.48,2.88,9.78,14.38,17.49,20.33,17.46,15.38,11.45,6.71,1.40
1977,0.05,5.47,6.16,9.53,15.26,18.48,21.06,20.95,15.48,10.22,7.90,-1.25
1978,-0.79,1.79,5.83,9.35,13.94,18.33,20.40,19.47,15.04,11.58,3.56,1.86
1979,-0.81,1.84,6.93,9.05,15.73,20.42,19.63,19.95,17.00,10.45,6.75,2.94
1980,-2.98,-0.15,3.71,8.50,13.41,18.08,20.62,19.91,15.84,12.72,6.23,1.23
1981,-2.16,0.32,6.74,9.55,13.90,20.28,20.33,20.18,17.02,13.47,3.58,2.93
1982,-1.77,-1.43,3.87,8.26,15.19,19.25,20.08,20.54,18.86,12.36,4.91,3.65
1983,1.02,0.35,5.89,11.63,16.61,17.74,21.42,19.74,16.79,10.52,3.41,0.76
1984,1.19,0.79,3.55,8.37,15.41,17.72,19.73,19.13,17.56,13.63,5.99,0.14
1985,-2.83,-4.53,3.26,10.96,16.62,17.72,20.63,21.43,16.58,9.97,6.16,2.76
1986,1.29,-0.38,4.29,11.79,15.38,19.07,20.33,22.07,17.59,10.82,4.26,-1.12
1987,-2.49,1.20,-0.06,8.61,13.62,19.19,22.42,19.67,18.81,10.61,6.81,1.02
1988,1.57,1.53,4.89,8.95,15.00,18.72,23.23,22.14,17.26,10.40,1.35,0.46
1989,-1.00,2.83,7.46,11.77,14.26,17.40,20.86,21.16,16.61,10.92,4.35,0.62
1990,-1.87,3.56,7.77,10.44,14.74,18.73,21.61,20.98,15.65,12.03,7.99,1.85
1991,-0.84,-0.69,5.28,8.92,12.72,19.26,21.45,20.55,17.09,11.60,6.36,-1.83
1992,-1.38,-0.16,4.85,10.16,14.07,18.58,20.58,23.23,16.48,13.52,6.22,-0.89
1993,-1.34,-1.22,3.38,9.48,15.82,19.02,20.53,20.91,16.40,13.39,2.71,3.03
1994,2.02,1.37,6.53,11.34,15.90,18.74,22.41,22.37,20.72,12.36,4.64,0.70
1995,-0.84,4.15,5.31,9.65,14.79,19.88,22.48,20.61,16.38,10.97,2.58,0.97
1996,-1.84,0.04,1.02,8.73,17.01,19.91,21.28,21.02,14.82,10.97,7.76,1.73
1997,-0.29,1.39,3.80,6.41,16.14,19.62,21.04,19.53,15.13,9.54,6.22,1.60
1998,0.91,2.80,3.02,11.99,14.80,20.16,22.10,22.22,16.42,12.62,4.60,-2.26
1999,0.26,0.83,5.94,11.31,15.37,20.40,22.84,21.96,18.13,12.55,5.36,2.67
2000,-2.97,2.01,4.90,12.42,16.37,19.91,22.48,22.50,16.81,11.86,8.92,3.03
2001,1.76,2.67,9.11,10.29,15.73,18.66,23.39,23.04,17.56,13.38,4.68,-3.65
2002,-1.24,4.99,7.10,9.52,16.50,20.38,23.46,21.46,16.88,12.06,7.71,-0.98
2003,0.35,-3.53,2.88,8.22,17.77,21.32,22.08,23.19,16.34,11.28,6.56,0.71
2004,-1.80,1.41,5.88,10.72,14.46,19.16,21.68,21.08,17.01,13.48,6.66,2.38
2005,0.80,-1.02,3.59,10.25,15.84,18.56,21.84,21.62,17.76,11.21,5.11,1.92
2006,-2.48,-0.12,5.02,10.93,15.39,19.23,21.93,22.12,17.46,12.58,5.73,1.73
2007,2.62,3.23,6.94,10.67,17.03,21.64,23.82,23.00,16.65,12.19,4.99,-0.03
2008,-0.73,2.07,7.75,11.67,15.70,20.59,22.17,23.07,16.74,12.79,7.13,2.96
2009,0.16,1.71,5.40,11.11,16.47,20.06,23.01,22.02,17.94,12.79,7.42,3.11
2010,-0.78,2.45,5.56,11.00,16.33,19.86,22.74,23.63,17.64,10.21,10.38,1.84
2011,-0.37,-0.06,4.97,9.45,15.24,19.73,22.83,22.20,19.88,10.33,2.88,2.58
2012,-1.27,-2.92,5.70,12.10,16.53,21.79,23.80,23.51,19.39,14.73,8.13,0.34
2013,0.68,3.43,5.80,12.05,17.79,20.10,22.34,23.33,17.05,11.65,8.46,0.42
2014,2.21,4.10,7.86,11.07,15.42,19.17,22.08,22.39,17.80,12.08,6.53,2.81
2015,0.84,1.97,5.58,9.92,16.61,19.52,23.17,22.45,19.38,11.72,8.21,2.23
2016,-0.45,6.45,7.14,13.06,15.19,21.09,23.06,22.54,18.50,11.34,6.01,-1.07
2017,-4.01,2.41,8.05,10.01,15.88,20.91,22.75,23.45,18.51,11.96,6.90,3.68
2018,1.49,2.16,5.65,13.81,18.12,20.42,22.37,23.68,18.43,13.73,6.71,0.94
2019,0.22,2.82,7.94,10.73,15.67,21.94,22.52,23.60,18.93,13.98,10.81,3.90
2020,0.42,4.51,7.52,10.29,15.10,19.66,22.91,23.39,20.16,14.52,6.38,4.76
