Variable:,tas
Country:,"Bosnia and Herzegovina"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-5.36,-4.17,4.19,8.49,12.66,17.00,19.27,17.91,14.43,10.55,2.82,3.54
1902,1.41,1.99,3.31,8.45,9.25,15.18,18.14,18.76,14.90,9.74,1.81,-2.35
1903,-2.12,1.90,5.75,5.64,12.76,15.33,17.94,18.27,15.14,10.35,5.46,2.38
1904,-2.02,2.70,4.23,9.15,13.14,16.91,20.17,18.95,13.32,10.06,2.82,1.12
1905,-5.32,-1.22,4.47,7.20,12.81,16.64,20.35,19.97,16.76,6.03,6.46,1.47
1906,-1.76,-0.09,3.87,8.67,12.88,15.53,18.73,18.02,13.11,9.67,6.86,-0.97
1907,-3.16,-2.86,0.51,5.78,14.89,16.97,17.72,18.90,14.95,13.78,4.11,2.40
1908,-3.09,0.21,2.68,6.80,15.95,18.41,18.66,17.62,13.41,8.86,0.21,-0.94
1909,-4.05,-4.09,3.28,9.10,12.22,15.83,17.75,18.99,15.06,11.32,3.18,4.15
1910,0.44,3.01,4.35,7.92,12.36,16.63,17.30,18.18,13.22,10.09,3.99,4.55
1911,-1.57,-1.54,3.93,7.65,12.66,15.86,19.72,19.81,15.59,10.02,7.43,2.91
1912,-2.19,2.96,6.47,6.19,12.52,16.97,18.61,16.64,11.31,7.71,1.96,1.59
1913,-1.70,-1.18,6.09,8.32,12.19,16.14,15.71,16.53,14.59,10.40,6.25,1.15
1914,-5.54,-1.83,4.82,9.59,12.18,15.21,17.58,18.39,13.27,8.71,3.55,3.05
1915,0.39,0.61,2.79,7.98,13.91,17.69,18.05,16.76,12.48,7.87,2.61,4.52
1916,1.67,0.29,6.56,8.19,13.22,15.81,18.48,17.91,12.94,9.14,6.39,3.91
1917,-0.74,-4.61,1.88,6.34,13.85,18.30,19.00,19.86,16.37,9.94,4.48,-1.23
1918,-0.01,-1.23,3.68,9.34,13.24,14.72,18.05,18.20,15.81,9.43,3.49,1.50
1919,1.31,-0.36,4.66,6.88,9.84,15.92,16.29,18.52,15.96,7.74,3.10,1.18
1920,1.87,1.53,6.00,10.71,15.21,15.31,19.29,17.25,15.22,7.30,0.93,1.45
1921,2.73,0.08,5.26,7.44,14.38,15.24,19.86,19.67,14.55,10.42,2.12,-0.42
1922,-2.50,-2.93,5.77,7.41,13.53,17.17,18.93,19.26,13.56,7.77,2.14,0.95
1923,0.16,0.49,4.57,7.55,14.60,13.80,19.47,19.24,15.14,12.44,6.93,0.85
1924,-3.69,-1.83,2.63,7.98,14.86,16.64,18.27,16.47,16.02,9.71,3.07,0.31
1925,-0.38,3.90,2.83,8.78,13.71,15.30,18.36,18.04,13.15,9.69,4.99,-1.76
1926,-1.10,3.87,3.48,9.71,11.96,14.80,17.10,16.89,15.93,10.96,10.21,0.88
1927,0.85,-0.98,6.23,8.66,12.61,18.11,20.05,19.59,15.98,9.58,5.98,-1.45
1928,-0.93,0.33,2.39,9.12,10.38,16.19,21.72,20.33,15.45,9.77,6.63,-0.16
1929,-4.91,-5.47,1.43,5.45,14.20,16.43,19.30,19.83,15.21,10.86,6.46,2.49
1930,0.10,0.04,5.69,9.29,12.25,18.20,18.76,18.15,16.20,9.67,7.06,1.30
1931,-0.25,0.03,1.03,6.50,15.00,18.41,19.97,18.30,11.23,8.60,4.69,-1.05
1932,-1.33,-4.58,-0.03,7.46,13.27,15.45,19.88,20.65,18.27,10.63,5.15,1.62
1933,-2.74,-0.27,4.11,7.06,11.34,13.80,18.65,18.68,14.20,9.84,4.69,-3.13
1934,-1.42,0.03,6.17,10.98,14.62,15.95,19.11,18.41,16.03,9.59,5.91,4.68
1935,-3.30,-0.20,2.52,7.99,11.36,18.58,19.06,18.23,14.73,11.72,5.21,1.07
1936,3.22,1.14,6.29,8.79,13.47,16.08,19.84,17.67,14.36,6.05,4.38,0.68
1937,-2.32,1.66,5.16,7.59,14.60,17.78,18.69,18.04,14.84,10.09,4.44,0.34
1938,-1.66,-0.44,6.07,5.38,11.59,18.55,19.22,18.32,14.03,10.85,6.21,-0.60
1939,1.23,1.82,1.24,10.83,11.39,16.68,19.31,18.94,14.28,8.94,5.50,-0.79
1940,-6.63,-3.59,2.01,8.34,11.56,16.00,17.68,15.93,14.59,9.54,6.87,-3.83
1941,-2.64,0.84,4.28,7.57,10.38,16.34,18.32,17.53,12.58,8.38,1.78,0.21
1942,-8.17,-3.47,2.03,7.06,13.53,16.90,18.54,19.25,18.50,11.94,4.11,2.53
1943,-4.08,2.53,5.01,9.75,12.32,15.30,18.94,21.08,16.98,11.68,3.87,1.96
1944,1.14,-1.31,0.93,9.16,12.04,15.76,18.41,20.74,14.50,10.52,4.32,-0.16
1945,-4.46,1.04,5.13,9.18,15.29,18.16,20.18,18.90,15.15,9.28,4.27,1.22
1946,-2.99,1.52,5.03,10.80,15.05,17.75,20.73,20.96,17.39,7.20,5.21,-1.37
1947,-6.40,-1.76,5.39,11.02,14.30,18.05,20.19,19.46,17.90,8.70,6.39,1.61
1948,2.96,-0.48,4.96,9.74,14.31,15.35,16.95,19.11,15.63,10.73,4.59,-1.15
1949,1.11,1.01,1.34,10.53,13.41,14.94,18.44,17.82,16.23,10.98,6.32,2.31
1950,-3.00,1.39,5.73,9.21,15.04,18.77,21.50,20.50,15.75,8.90,5.30,2.34
