Variable:,tas
Country:,"Cocos (Keeling) Islands"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1902,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1903,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1904,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1905,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1906,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1907,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1908,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1909,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1910,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1911,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1912,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1913,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1914,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1915,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1916,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1917,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1918,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1919,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1920,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1921,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1922,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1923,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1924,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1925,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1926,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1927,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1928,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1929,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1930,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1931,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
1932,26.90,27.20,27.30,27.10,26.70,26.00,25.60,25.50,25.70,26.10,26.40,26.70
