Variable:,tas
Country:,"Cote d'Ivoire"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.95,28.20,28.59,28.06,27.01,25.97,25.03,24.78,25.51,26.19,26.58,25.78
1902,26.20,27.98,28.36,28.12,27.32,26.03,25.12,24.95,25.21,25.95,26.51,25.65
1903,26.19,28.02,28.46,28.11,27.28,25.89,24.82,24.55,25.25,26.22,26.38,25.68
1904,25.89,27.60,28.22,27.86,27.23,26.00,24.83,24.68,25.38,26.14,26.46,25.76
1905,26.03,27.54,28.29,28.26,27.29,25.68,24.92,24.62,25.20,26.01,26.47,25.89
1906,26.18,27.80,28.76,28.49,27.21,25.81,24.71,24.51,25.30,25.98,26.36,25.47
1907,25.95,27.57,28.27,27.88,27.14,25.73,24.91,24.55,25.25,26.11,26.52,25.61
1908,26.16,27.73,28.33,28.17,27.30,26.04,24.98,24.54,25.28,25.97,26.35,25.65
1909,26.04,28.08,28.76,27.98,26.98,25.52,24.79,24.59,25.35,25.98,26.45,25.64
1910,25.59,28.01,28.61,28.14,27.38,26.32,24.97,24.64,25.42,26.00,26.47,25.84
1911,26.09,27.87,28.31,28.18,26.99,25.60,24.87,24.54,25.31,25.99,26.33,25.44
1912,26.15,28.19,28.70,28.45,27.51,26.08,25.09,24.74,25.37,26.06,26.25,25.80
1913,26.37,27.74,27.91,28.03,27.22,26.41,25.33,24.92,25.49,25.97,26.10,25.34
1914,26.41,27.81,28.37,28.13,27.49,26.05,25.02,24.51,25.26,26.08,26.52,25.63
1915,25.90,27.92,28.71,28.18,27.19,25.94,24.99,24.78,25.33,26.08,26.40,25.65
1916,26.10,27.88,28.55,27.83,27.16,25.85,24.82,24.57,25.06,25.84,26.11,25.70
1917,26.35,27.74,28.13,27.94,26.98,25.81,25.13,24.69,25.03,25.90,25.87,25.61
1918,25.97,27.54,28.02,27.71,26.95,25.73,24.69,24.30,25.27,25.99,26.32,25.48
1919,26.23,28.12,28.15,27.61,26.76,25.73,24.61,24.55,25.06,26.01,26.52,25.88
1920,26.21,28.12,28.28,27.82,27.46,25.86,24.76,24.55,25.17,25.94,26.27,25.76
1921,25.42,28.01,28.34,27.75,27.39,25.46,24.91,24.71,25.34,26.26,26.33,25.72
1922,26.34,28.11,28.51,27.74,27.22,25.96,24.91,24.37,24.94,25.77,26.18,25.48
1923,26.19,27.36,27.79,27.30,27.09,25.86,25.25,24.45,25.10,25.83,26.27,26.02
1924,26.58,28.31,28.69,27.29,27.32,25.55,24.50,24.42,25.26,25.76,26.14,25.02
1925,23.94,27.22,28.07,28.38,27.76,25.73,24.91,24.60,24.91,24.99,26.13,25.23
1926,25.74,28.20,28.39,27.74,26.90,25.12,24.28,25.03,25.51,26.37,25.85,25.86
1927,24.32,27.19,27.28,27.72,26.38,24.82,24.49,23.94,25.08,25.43,25.58,24.80
1928,25.17,26.97,27.12,26.60,26.34,25.63,24.72,23.72,24.83,25.02,25.57,25.11
1929,25.01,26.72,27.45,27.73,26.80,24.64,24.58,23.87,25.04,25.39,25.57,24.36
1930,24.98,27.29,27.40,27.45,26.70,25.14,24.45,24.07,25.11,25.30,26.15,26.15
1931,26.37,27.57,28.34,28.09,27.18,25.91,24.91,24.96,24.60,25.98,26.30,26.53
1932,25.31,27.64,27.97,28.31,26.91,25.99,24.40,24.81,25.19,26.42,26.64,25.49
1933,26.48,27.83,27.99,27.62,27.38,25.40,24.95,25.00,25.37,25.68,26.20,25.62
1934,25.30,27.33,27.80,28.17,27.67,25.89,25.18,25.10,25.94,26.19,26.94,25.67
1935,25.89,28.02,28.47,28.20,27.38,25.54,24.72,24.42,25.27,25.80,26.14,25.84
1936,26.11,28.27,28.85,27.62,26.73,25.41,24.48,24.23,24.96,26.04,26.56,25.58
1937,25.89,28.22,28.97,28.82,28.00,26.44,25.17,24.97,25.44,26.29,27.23,26.60
1938,26.61,29.10,28.56,28.79,27.97,26.93,25.15,24.67,25.55,26.79,26.52,26.49
1939,25.95,27.58,28.65,28.42,27.46,26.35,25.47,24.94,25.39,26.40,27.05,26.40
1940,26.34,27.51,28.22,28.12,27.64,26.14,25.03,24.81,25.48,26.00,26.25,25.51
1941,26.54,27.56,28.89,28.25,27.45,26.16,25.19,25.35,26.03,26.96,26.84,26.00
1942,25.38,27.93,28.72,28.51,26.97,26.03,25.03,24.25,26.25,26.34,27.07,25.19
1943,25.45,27.44,28.29,27.79,26.92,25.71,24.75,24.28,25.24,25.99,25.79,25.86
1944,25.43,27.54,27.76,28.21,28.05,26.39,25.65,25.25,25.68,26.41,26.96,26.07
1945,26.54,27.73,28.24,28.18,27.54,26.51,25.12,24.63,25.55,25.79,26.53,25.51
1946,26.20,27.17,28.95,28.11,27.32,25.64,24.77,24.18,24.92,25.55,26.65,25.23
1947,25.72,28.40,28.22,27.89,27.93,26.25,25.39,25.01,25.42,26.09,25.88,25.61
1948,24.94,27.29,28.16,27.65,27.06,25.38,24.94,24.85,25.38,26.28,25.81,25.61
1949,25.90,27.06,28.64,28.29,27.29,26.09,25.45,24.81,25.69,26.20,26.41,25.85
1950,25.77,26.93,27.97,28.22,27.47,25.93,24.93,24.33,25.11,25.38,26.03,25.41
1951,26.34,27.40,28.31,28.34,27.14,26.00,25.29,25.04,25.73,25.96,26.49,26.10
1952,26.25,28.00,28.48,28.50,27.19,26.10,25.03,24.63,25.27,26.06,26.51,25.85
1953,26.78,27.79,28.02,28.50,27.14,25.32,25.09,24.78,25.64,26.19,26.92,26.02
1954,26.32,27.97,28.31,27.50,27.09,25.15,24.28,24.33,25.43,25.80,26.57,26.12
1955,26.27,27.63,27.83,27.68,27.15,25.54,24.74,24.74,25.26,25.83,26.22,25.16
1956,25.62,27.69,27.76,27.95,27.01,25.48,24.31,24.48,25.44,26.01,26.31,25.91
1957,25.19,27.63,28.18,28.17,27.20,25.88,25.04,25.13,25.49,26.10,26.84,26.46
1958,27.28,27.85,28.74,28.34,27.47,25.41,24.42,24.57,25.62,26.27,26.71,25.72
1959,26.07,27.77,28.57,28.65,26.77,26.08,25.11,24.68,25.13,26.36,26.79,25.28
