Variable:,tas
Country:,Denmark
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.64,-2.61,0.99,6.08,11.37,13.58,18.63,16.71,13.45,10.24,3.74,0.76
1902,2.75,-1.83,1.86,4.83,7.82,13.78,13.72,12.90,10.88,7.33,2.89,-0.81
1903,-0.28,2.95,4.60,4.66,11.01,14.17,15.24,13.97,12.46,7.91,4.07,0.31
1904,0.49,-0.70,1.31,6.24,9.58,13.43,15.80,15.30,12.41,8.53,4.35,2.69
1905,0.22,1.43,2.91,3.96,10.76,15.89,16.67,15.20,12.21,5.50,3.25,2.17
1906,1.08,0.67,1.77,6.34,11.44,14.76,15.69,15.66,13.05,9.32,6.90,-0.39
1907,-0.10,-0.71,2.41,5.26,9.72,12.24,14.15,13.42,11.92,11.37,4.16,0.84
1908,0.49,2.05,1.07,4.81,9.68,14.27,16.77,15.16,12.34,9.02,3.02,1.23
1909,0.28,-1.62,-0.48,4.25,8.20,12.85,14.33,14.58,12.14,10.71,2.59,1.49
1910,1.08,1.85,3.66,6.45,11.65,15.82,16.24,15.97,12.99,9.12,2.62,2.62
1911,1.42,1.62,2.68,5.88,12.66,14.02,16.24,17.68,13.68,7.92,5.13,2.95
1912,-2.34,-1.25,3.83,5.94,9.55,13.78,17.76,14.75,10.46,7.47,3.75,4.36
1913,-0.16,1.76,4.17,6.79,10.95,13.70,15.56,14.83,12.80,8.77,7.04,2.87
1914,-0.42,3.47,3.03,7.72,10.10,14.89,18.73,16.96,13.23,8.35,3.91,3.39
1915,-0.66,0.60,0.38,5.97,9.61,13.63,14.85,15.16,12.23,6.39,2.41,-0.70
1916,2.98,0.47,0.53,6.58,10.47,11.95,15.87,14.85,11.63,7.79,5.68,1.80
1917,-2.86,-1.72,-1.53,3.43,10.61,16.60,16.50,17.07,13.61,7.91,5.65,0.40
1918,-0.78,0.61,2.11,6.77,11.87,12.38,15.62,15.80,11.67,9.42,4.63,2.46
1919,0.89,-1.43,0.85,5.48,11.49,13.31,15.24,13.82,13.10,6.94,0.39,-0.40
1920,0.34,2.59,4.72,7.20,11.07,14.31,16.40,14.75,12.71,6.60,4.19,1.10
1921,2.65,1.81,5.10,8.08,12.30,13.43,15.76,15.11,12.22,9.96,1.28,2.34
1922,-2.00,-2.37,1.63,4.29,10.19,12.97,14.58,14.22,11.51,5.78,3.72,3.16
