Variable:,tas
Country:,Eritrea
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.80,24.95,25.50,27.05,28.85,28.94,29.68,28.55,28.45,27.36,25.50,23.88
1902,21.46,23.95,24.94,26.62,28.24,29.63,29.14,29.29,28.13,26.37,24.59,22.23
1903,21.57,21.99,23.70,27.07,28.17,29.50,29.38,28.56,27.31,26.46,25.02,23.68
1904,22.34,23.25,24.57,26.61,28.32,29.76,28.83,29.15,27.76,26.51,24.54,22.13
1905,22.22,22.01,23.53,25.85,27.71,29.74,29.24,28.25,27.88,27.06,25.92,23.19
1906,22.18,24.26,24.34,26.44,29.30,30.26,29.09,28.13,27.73,26.75,24.76,23.05
1907,22.42,23.90,24.93,27.08,28.45,29.64,28.56,27.08,27.64,26.77,24.30,21.70
1908,21.86,22.48,25.49,27.56,29.14,29.72,28.27,27.88,28.13,26.72,24.31,22.31
1909,21.86,23.48,25.11,25.95,28.43,28.98,28.62,28.08,27.35,26.84,25.34,23.37
1910,22.00,23.45,23.96,27.30,28.98,29.64,29.15,28.20,27.31,26.62,24.83,22.88
1911,23.10,22.55,24.77,26.84,28.46,29.69,28.78,28.32,27.85,27.17,25.47,23.02
1912,21.70,22.73,24.28,26.27,28.61,29.52,28.76,27.75,27.82,26.43,25.25,22.60
1913,22.10,22.63,22.66,26.92,28.07,28.69,29.12,28.09,28.20,26.68,23.98,22.06
1914,23.64,23.06,25.37,26.13,28.29,29.73,28.40,27.43,27.57,26.52,25.68,23.46
1915,23.36,23.86,25.00,26.89,28.34,29.55,29.23,28.15,27.57,26.95,25.83,23.29
1916,20.72,23.21,24.88,27.27,28.11,28.98,28.07,27.29,27.04,25.94,25.37,22.80
1917,22.22,23.12,24.45,26.40,27.13,28.65,29.20,27.97,26.86,25.72,25.43,22.86
1918,21.40,22.50,24.20,25.67,27.83,29.19,28.96,27.82,27.98,26.90,25.34,23.41
1919,24.14,24.05,25.52,26.24,28.41,29.21,28.68,28.56,27.89,26.91,24.84,22.93
1920,21.74,21.52,23.72,26.36,27.66,29.28,28.44,26.85,26.98,26.57,24.80,22.71
1921,21.60,21.87,23.12,27.80,28.04,29.26,28.60,27.17,27.22,26.60,25.04,24.27
1922,22.73,23.08,23.75,27.07,27.93,29.79,27.72,26.72,26.93,26.56,25.66,22.94
1923,23.89,22.24,24.81,26.02,27.75,29.17,27.91,26.76,27.27,26.17,24.54,23.13
1924,22.76,23.73,25.73,27.10,27.81,29.56,28.16,27.71,27.08,26.78,24.91,23.50
1925,20.46,21.65,25.06,26.98,28.27,29.14,28.60,27.89,28.08,26.81,25.30,23.93
1926,21.72,22.71,23.77,26.37,29.20,29.90,28.56,28.69,28.04,26.80,24.26,23.27
1927,23.30,22.60,24.65,25.88,28.60,29.82,28.32,28.00,27.44,27.77,25.40,24.94
1928,24.57,23.53,26.07,27.57,28.71,29.97,29.20,27.87,28.50,27.14,25.00,23.98
1929,22.85,24.27,25.13,27.44,28.58,29.33,27.00,27.44,27.65,26.77,25.34,21.69
1930,20.90,23.61,24.06,26.47,28.49,28.92,28.29,27.68,27.99,27.05,24.77,23.96
1931,23.39,24.15,24.99,26.92,28.19,29.78,28.87,27.35,27.67,27.17,25.42,23.67
1932,22.55,23.42,24.84,27.02,27.78,29.37,28.08,27.32,27.36,27.13,25.33,23.04
1933,23.80,24.44,25.74,26.18,28.53,29.34,28.56,27.17,27.17,26.94,26.45,24.36
1934,22.97,22.51,25.28,27.16,28.27,28.48,28.01,27.49,27.65,27.44,25.91,22.77
1935,23.98,23.22,26.29,26.38,27.92,29.00,28.59,27.02,27.36,27.23,24.67,23.88
1936,22.25,24.28,26.10,27.49,29.41,29.38,28.32,27.36,27.51,27.43,26.15,23.83
1937,21.73,23.96,24.79,26.98,28.11,29.44,28.14,27.50,27.82,27.58,25.32,24.69
1938,23.37,24.45,23.87,28.35,28.69,28.93,27.45,26.59,26.77,26.93,25.58,24.28
1939,23.32,23.86,25.41,27.43,29.11,29.78,28.96,28.21,27.65,27.52,25.71,24.95
1940,23.37,23.93,24.21,27.88,29.04,30.41,28.67,28.12,28.70,27.61,25.47,24.93
1941,23.27,24.05,24.76,27.13,28.26,28.80,28.87,27.30,27.27,26.63,24.90,21.86
1942,22.47,24.49,24.25,26.71,27.57,29.40,26.62,26.50,26.68,26.03,25.13,23.49
1943,21.80,20.92,22.77,24.15,27.42,27.37,27.61,25.81,26.68,25.87,25.28,24.11
1944,22.44,22.39,25.36,26.18,27.48,29.10,27.24,27.34,26.79,26.73,23.57,22.39
