Variable:,tas
Country:,Guatemala
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.71,21.43,22.90,24.24,24.77,24.43,23.88,23.96,23.68,23.03,21.78,21.07
1902,19.69,21.06,23.61,24.05,25.01,24.34,24.18,23.06,24.74,23.60,22.55,21.19
1903,21.03,22.67,23.29,23.77,24.19,25.21,24.33,24.18,24.52,22.93,21.18,19.94
1904,20.72,21.43,22.90,24.27,24.77,24.43,23.88,23.95,23.68,23.01,21.81,21.09
1905,20.67,21.44,22.91,24.26,24.82,24.45,23.88,23.96,23.69,23.04,21.84,21.09
1906,19.68,20.38,22.27,23.47,24.69,24.15,24.11,23.87,24.17,23.16,22.03,20.64
1907,21.08,21.13,22.82,24.12,24.72,24.29,23.24,23.25,23.34,23.02,22.20,20.75
1908,19.87,20.62,22.91,25.01,25.36,24.55,23.80,23.73,23.55,22.38,21.04,21.01
1909,20.30,21.22,23.49,24.48,25.63,24.23,24.25,24.03,23.45,22.80,21.04,20.86
1910,19.35,20.41,20.91,22.76,24.14,23.85,23.52,23.82,23.46,22.72,20.73,19.36
1911,20.45,21.35,22.91,24.63,23.09,23.38,22.50,23.76,23.69,23.61,22.50,21.33
1912,20.74,19.79,23.37,25.44,24.90,24.08,23.67,23.84,23.49,23.24,20.91,21.41
1913,21.40,22.59,23.09,22.29,23.22,23.07,23.44,23.74,23.19,22.59,21.11,20.68
1914,20.02,21.32,21.04,23.66,23.73,23.53,24.11,24.26,23.34,22.75,21.26,21.55
1915,20.31,20.58,20.67,22.34,25.31,24.94,24.47,24.27,23.83,23.04,21.83,21.22
1916,21.82,20.39,21.85,23.21,24.30,23.82,24.47,23.54,23.26,22.51,20.93,21.07
1917,20.67,21.33,22.78,24.05,24.76,24.19,23.78,23.86,23.57,22.85,21.78,20.85
1918,20.00,21.89,22.74,24.15,24.39,23.79,24.05,23.84,23.63,23.74,21.90,20.89
1919,19.57,21.49,22.80,23.29,24.20,23.74,23.64,23.87,23.54,23.25,22.57,21.05
1920,20.77,20.91,22.80,25.21,24.70,23.56,23.62,23.59,23.54,22.75,21.33,20.71
1921,20.28,21.02,22.89,23.84,23.12,23.83,23.50,23.75,23.42,22.78,22.27,21.35
1922,21.02,21.59,23.22,24.92,24.62,24.08,23.74,24.08,23.75,23.11,22.13,21.12
1923,20.78,21.29,22.90,24.25,24.88,24.07,23.74,23.80,23.72,22.84,21.18,21.38
1924,20.66,20.12,22.45,24.31,24.48,24.53,23.95,23.90,23.55,22.91,21.13,21.42
1925,21.24,21.19,22.04,23.19,23.48,23.63,23.59,23.87,23.46,23.55,21.88,21.02
1926,20.51,21.00,22.73,23.93,24.04,24.10,24.13,23.91,23.93,23.38,21.01,21.59
1927,19.99,21.78,22.41,24.02,25.28,24.53,23.51,24.09,23.73,22.91,21.53,21.21
1928,19.98,21.80,22.68,23.72,23.89,24.90,23.88,24.10,24.05,23.49,21.63,20.65
1929,21.15,22.32,23.34,25.08,24.48,23.74,23.36,23.62,23.54,23.15,22.30,20.51
1930,20.91,21.27,22.44,23.09,24.75,23.81,23.40,23.95,23.82,23.31,21.43,20.34
1931,20.15,21.44,21.86,23.07,23.90,24.02,23.78,24.03,23.93,23.18,21.23,22.12
1932,22.00,22.31,22.31,23.35,24.29,23.87,23.68,24.06,24.50,23.40,20.34,21.28
1933,21.24,22.47,22.70,25.07,24.97,24.00,23.82,23.65,23.52,23.14,20.90,20.73
1934,20.99,21.01,21.38,23.77,23.73,23.69,23.63,24.11,23.86,23.23,21.82,21.36
1935,20.12,20.01,22.65,24.26,24.96,24.35,23.80,23.76,24.14,23.07,21.46,20.94
1936,21.86,22.55,23.36,23.93,23.97,24.33,23.83,24.37,23.85,23.67,22.17,20.81
1937,22.57,22.44,22.97,24.32,24.08,24.19,23.70,23.96,23.61,22.89,20.75,20.53
1938,20.42,20.92,23.14,23.28,24.12,23.44,23.21,23.56,23.43,22.39,21.44,20.04
1939,20.91,21.96,22.27,23.65,24.07,23.73,23.69,23.87,23.01,23.38,20.75,21.42
1940,19.89,20.24,22.39,23.91,24.20,24.05,23.90,24.36,23.99,22.69,21.73,20.96
1941,20.09,20.84,21.84,24.56,23.72,24.93,24.10,24.75,23.67,23.23,21.53,21.58
1942,19.78,21.48,22.07,23.99,25.13,24.46,23.61,23.70,23.29,23.02,21.42,21.51
1943,20.81,19.98,21.84,23.36,24.39,23.62,23.84,24.45,24.01,22.44,20.45,20.42
