Variable:,tas
Country:,"French Guiana"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.66,25.64,25.26,26.25,26.03,26.79,26.11,26.10,26.00,27.53,26.11,25.77
1902,25.02,25.30,25.27,26.09,26.50,26.60,26.33,26.86,26.14,27.44,26.93,25.54
1903,25.85,25.58,25.80,25.93,25.72,26.20,26.59,25.96,25.93,28.03,26.11,26.11
1904,25.00,24.65,24.52,25.31,25.40,25.52,26.05,25.76,27.13,26.95,26.65,25.99
1905,25.80,24.84,25.65,25.58,25.78,25.94,25.81,26.54,27.06,26.72,26.72,24.98
1906,25.01,25.15,25.07,25.07,25.60,25.46,25.68,26.16,26.47,26.71,26.70,25.79
1907,24.80,24.56,24.39,24.55,25.23,25.37,25.68,26.49,26.57,27.04,26.77,25.54
1908,24.92,25.00,24.93,25.38,25.50,25.76,25.65,26.29,26.91,26.80,26.24,26.14
1909,25.23,24.69,25.21,25.39,25.41,25.60,25.82,26.41,26.99,27.20,27.25,25.77
1910,25.02,25.12,25.11,25.39,25.68,25.57,25.91,26.56,26.58,26.55,26.53,25.97
1911,24.02,24.23,24.69,24.94,25.18,24.98,24.60,25.41,25.83,25.85,25.81,25.09
1912,25.10,25.31,25.41,25.79,25.34,24.92,25.16,25.61,25.97,26.28,25.91,25.23
1913,24.31,24.84,24.38,25.35,25.29,24.99,24.52,25.07,25.70,25.57,25.64,24.74
1914,25.12,24.93,25.24,25.04,24.78,25.40,24.89,25.17,25.34,25.83,25.24,24.84
1915,25.05,24.73,25.32,25.64,25.46,25.15,25.37,26.03,26.14,26.52,26.04,25.31
1916,24.79,24.56,25.13,25.68,25.21,25.12,25.11,25.20,25.64,25.86,25.55,24.86
1917,24.21,24.17,24.59,24.79,25.12,24.94,25.17,25.22,25.41,25.65,25.60,25.07
1918,24.42,24.22,24.37,24.58,24.53,25.37,25.73,25.54,25.88,26.27,26.14,25.07
1919,24.80,24.98,24.95,25.26,25.09,25.51,25.51,25.67,25.98,26.17,25.58,25.24
1920,24.79,24.43,24.74,25.42,25.21,25.13,25.23,25.67,25.64,26.17,26.06,25.28
1921,24.71,24.47,24.95,25.19,25.40,24.94,25.16,25.61,25.80,25.62,25.47,25.07
1922,24.84,24.66,24.88,25.26,25.11,25.19,25.37,25.35,25.65,25.84,25.53,24.58
1923,24.59,24.23,24.70,25.11,25.31,25.07,25.46,25.61,25.80,26.03,26.01,25.04
1924,24.97,24.67,24.25,25.68,25.48,25.16,25.35,25.35,25.78,25.42,25.87,24.96
1925,24.31,24.33,24.50,25.21,25.29,25.28,25.62,25.56,25.72,26.10,26.10,25.61
1926,25.06,24.98,25.47,26.04,25.70,25.56,25.44,25.71,26.01,26.25,26.25,25.33
1927,24.67,24.56,25.04,25.49,25.17,25.24,25.24,25.68,25.81,25.98,26.20,25.30
1928,24.70,24.70,24.95,25.18,25.18,25.27,25.31,25.58,25.89,26.27,26.16,25.27
1929,24.63,24.40,24.80,25.15,25.12,24.99,25.12,25.52,25.72,26.04,25.91,25.10
1930,24.42,24.32,25.03,25.18,25.14,25.07,25.11,25.60,25.89,26.14,26.56,25.73
1931,25.27,25.32,25.67,26.21,25.71,25.70,25.47,25.80,26.01,26.29,26.16,25.39
