Variable:,tas
Country:,Luxembourg
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.61,-3.32,2.69,8.84,12.49,15.88,18.40,16.56,13.89,8.84,2.47,1.10
1902,2.05,-0.18,4.97,9.30,8.71,15.01,16.57,15.44,12.98,7.55,2.92,-0.63
1903,0.76,3.88,6.30,4.94,12.60,14.40,16.10,15.84,14.01,9.94,4.17,-0.54
1904,-1.06,1.74,3.67,9.53,12.88,15.47,19.28,16.95,11.91,8.63,2.97,2.41
1905,-1.53,1.77,5.59,7.22,11.61,16.70,18.88,16.46,13.00,5.35,2.83,1.10
1906,1.35,0.65,3.58,7.83,12.75,14.69,17.11,17.18,13.42,11.12,5.66,-0.93
1907,-0.17,-0.93,4.28,7.25,12.85,14.49,14.80,16.34,14.03,10.53,4.74,2.27
1908,-2.73,1.97,3.08,6.07,13.68,17.07,17.09,14.97,13.11,9.04,2.66,-0.01
1909,-1.33,-0.84,2.84,9.22,11.78,13.69,14.81,16.65,12.87,10.42,2.26,2.24
1910,1.52,2.95,4.79,7.64,12.08,16.11,15.50,16.07,12.63,10.12,2.73,3.69
1911,-1.62,2.07,4.94,7.44,13.51,15.10,19.78,20.35,15.39,9.73,4.84,3.98
1912,0.92,4.22,7.07,8.05,12.87,15.49,17.83,13.97,10.49,7.42,2.98,3.53
1913,1.63,2.27,6.87,8.44,12.80,14.90,14.60,15.50,13.42,10.42,7.14,1.78
1914,-2.91,4.18,5.77,10.63,11.21,14.50,17.02,17.38,13.21,8.73,3.56,3.88
1915,1.15,2.15,3.45,7.41,13.86,17.27,16.29,15.77,12.72,7.12,1.55,4.85
1916,4.44,2.31,4.67,8.64,13.49,12.80,15.92,16.56,12.72,9.42,4.55,1.94
1917,-1.96,-2.64,1.77,4.93,15.68,18.31,17.21,16.27,14.99,7.32,5.36,-2.17
1918,1.06,2.77,4.78,8.35,14.49,13.63,16.89,16.59,13.40,7.95,3.45,4.69
1919,0.81,0.22,4.07,5.96,13.32,15.58,14.20,17.32,14.89,6.04,1.63,2.58
1920,2.94,4.14,6.99,9.24,14.08,15.61,16.80,14.86,13.40,8.45,1.96,1.09
1921,4.64,2.07,6.26,8.36,13.77,15.59,19.68,17.27,14.69,12.24,0.28,1.43
1922,-0.38,0.95,4.44,6.25,14.28,15.98,15.70,15.55,11.94,6.05,2.96,2.68
1923,1.77,3.51,6.06,8.03,11.48,12.08,19.29,16.68,13.40,10.60,2.54,0.17
1924,-0.72,-0.84,3.77,7.51,13.99,15.40,16.90,14.27,13.71,9.92,3.86,1.89
1925,2.36,4.11,2.40,8.51,13.61,15.68,17.83,16.47,11.41,9.32,1.96,0.86
1926,1.04,6.03,5.39,10.03,10.80,13.71,17.00,16.76,15.49,8.40,5.84,0.19
1927,1.96,1.96,6.35,8.32,12.27,14.38,17.20,16.47,13.80,9.14,3.33,-1.34
1928,2.43,3.75,4.77,8.34,10.80,14.81,18.96,16.97,13.20,9.12,6.05,0.89
1929,-3.34,-5.05,4.37,5.73,13.28,14.97,17.98,16.96,16.69,9.62,4.85,4.28
