Variable:,tas
Country:,Madagascar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.66,24.60,24.83,23.20,21.58,19.96,19.24,19.05,20.83,23.00,25.77,24.03
1902,25.84,24.78,24.09,24.20,22.21,19.96,19.88,19.42,23.09,23.64,25.04,24.67
1903,25.11,24.51,24.92,24.02,22.66,20.96,19.15,20.15,20.27,22.55,24.32,24.40
1904,24.38,24.41,24.46,23.20,22.30,19.69,18.69,20.15,20.54,24.00,25.59,24.94
1905,25.30,24.60,24.19,22.74,22.48,21.32,19.15,20.42,20.64,24.18,24.05,24.40
1906,26.10,24.96,25.37,24.02,22.03,19.96,19.15,19.60,21.19,22.91,24.23,24.40
1907,25.02,24.69,24.00,23.56,22.03,20.15,18.15,19.97,21.82,24.72,24.68,23.93
1908,25.30,24.41,25.01,23.74,21.30,20.69,19.24,20.60,22.45,24.72,25.22,24.22
1909,24.75,24.60,24.46,23.56,21.40,18.96,20.06,19.97,22.45,22.55,24.86,25.75
1910,25.20,24.78,24.46,23.93,21.49,19.23,18.96,20.15,21.91,23.90,23.13,23.75
1911,24.84,23.96,24.09,22.38,21.30,19.60,19.51,19.97,21.82,23.90,24.32,25.58
1912,25.66,24.32,25.37,24.02,22.57,20.33,19.33,20.51,23.00,24.00,25.68,24.67
1913,24.48,24.32,25.19,22.74,22.84,19.78,18.78,20.87,22.09,24.54,24.41,24.13
1914,24.66,25.24,24.64,23.93,22.12,20.69,19.05,20.51,22.27,23.64,23.87,25.48
1915,25.30,24.96,24.73,24.38,22.30,19.96,19.97,19.42,21.37,24.63,24.68,24.58
1916,25.20,24.41,24.83,23.84,21.67,19.88,17.97,20.24,21.55,23.55,23.42,23.21
1917,24.38,23.42,23.91,23.29,22.66,20.42,19.88,20.06,21.19,21.72,24.05,23.39
1918,25.29,24.14,24.28,22.92,21.58,20.33,18.87,19.60,21.64,24.00,24.50,24.76
1919,25.20,24.87,24.83,22.74,20.75,19.88,18.33,21.14,22.99,23.55,25.40,25.12
1920,24.93,24.41,24.37,22.65,22.03,18.96,18.15,20.24,23.00,24.63,24.14,23.93
1921,24.66,24.41,23.91,22.74,21.67,19.78,19.15,20.06,21.91,24.18,24.32,23.84
1922,24.20,24.32,24.46,21.93,21.49,19.32,18.24,19.97,21.01,23.09,24.59,24.94
1923,25.57,24.87,25.10,24.11,22.57,20.06,19.97,19.52,22.45,23.90,25.22,24.76
1924,25.20,24.60,25.28,23.29,22.39,20.15,19.79,20.51,22.09,23.37,24.41,24.22
1925,24.84,24.60,24.28,24.02,21.30,21.32,20.33,19.79,20.64,24.09,24.41,24.76
1926,25.79,25.36,25.72,24.75,22.60,21.34,19.88,20.70,22.85,24.14,25.55,24.98
1927,25.05,24.93,24.23,23.67,22.00,20.14,18.73,20.46,21.94,23.87,24.55,25.31
1928,24.46,25.02,25.04,24.52,22.67,19.91,19.28,20.23,21.86,24.06,24.92,24.56
1929,25.56,23.66,25.42,24.09,21.97,20.73,20.03,20.30,22.06,24.83,25.14,24.24
1930,24.34,25.02,24.47,23.61,20.90,19.55,18.96,19.32,23.18,23.21,24.96,24.87
1931,24.38,24.44,24.13,23.22,21.45,19.52,19.09,19.53,20.71,22.32,23.35,24.07
1932,25.11,24.37,24.63,22.88,20.74,19.74,19.17,19.93,21.08,22.82,24.77,24.31
1933,24.91,24.08,23.94,23.30,21.59,19.66,19.15,19.85,20.40,23.34,24.94,24.31
1934,24.65,24.39,24.74,23.57,21.92,18.75,19.09,18.91,20.67,22.85,24.11,23.76
1935,24.72,24.24,24.73,22.98,22.26,19.89,17.95,20.02,22.19,23.62,23.75,24.13
1936,24.69,25.42,24.91,23.57,22.14,19.51,18.98,19.44,21.36,24.15,24.56,24.17
1937,24.62,24.79,24.19,23.50,21.47,20.48,19.00,19.68,22.49,23.00,25.54,24.66
1938,25.17,24.70,24.85,23.98,22.27,19.54,19.72,20.34,21.62,23.27,23.51,24.93
1939,25.13,25.05,24.43,23.56,22.23,20.17,19.48,19.58,21.85,23.52,24.53,24.01
1940,24.37,24.41,24.15,23.23,21.31,19.55,19.00,19.41,20.74,22.15,23.42,24.18
1941,23.73,24.45,24.42,23.92,21.76,20.33,19.16,19.91,21.34,22.83,24.02,24.72
1942,25.20,25.22,24.88,23.41,21.30,19.82,18.81,19.89,20.94,21.54,23.57,24.13
1943,24.24,23.85,23.79,23.58,21.37,19.41,18.71,19.72,19.60,21.96,23.43,23.87
1944,24.45,24.71,23.93,22.95,21.34,20.53,18.99,19.78,21.07,22.31,24.46,24.28
1945,24.91,24.02,24.50,23.77,21.37,19.03,18.95,19.50,20.85,23.35,23.83,23.91
1946,24.64,24.88,24.13,23.30,21.52,19.62,19.29,19.82,20.24,22.85,23.74,24.31
1947,24.86,24.70,23.73,23.52,21.43,19.72,19.93,19.48,20.68,22.45,23.87,24.66
1948,24.80,24.48,24.40,23.91,22.49,20.24,19.37,19.64,20.75,22.58,23.59,23.70
1949,24.87,24.09,23.96,22.86,21.47,19.67,19.23,20.04,21.06,22.92,23.81,24.67
1950,24.81,23.97,23.94,23.49,20.64,19.57,18.90,19.39,20.15,22.15,23.56,24.40
1951,23.73,23.50,23.39,22.89,21.11,19.48,18.90,19.83,20.49,22.42,23.27,24.22
1952,24.29,24.33,24.14,23.36,21.87,19.65,19.15,19.72,20.92,21.97,22.57,23.76
1953,24.39,24.10,23.97,23.26,21.49,20.16,18.81,19.06,20.25,21.89,23.45,24.18
1954,24.18,24.50,23.72,23.01,21.60,19.22,19.02,19.58,20.88,22.34,23.24,24.15
1955,24.57,24.39,23.74,22.73,20.98,19.26,19.16,19.14,20.58,21.87,23.15,24.02
1956,23.79,23.90,24.14,22.98,21.25,19.55,18.45,19.39,20.81,21.98,22.98,23.67
1957,24.53,23.72,23.68,22.89,20.99,19.07,18.80,19.51,21.12,22.74,23.73,24.12
1958,24.55,24.70,24.03,23.66,20.82,19.42,18.90,19.70,21.15,21.97,23.47,24.11
1959,24.23,24.43,23.88,22.40,21.13,19.34,18.87,19.40,20.61,21.73,23.38,24.32
1960,24.15,24.36,23.53,22.77,21.10,19.90,18.60,19.33,20.64,22.01,22.91,23.94
1961,24.68,25.12,24.65,24.21,22.40,20.55,20.13,19.83,20.89,22.75,23.74,24.05
