Variable:,tas
Country:,Malta
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,10.77,10.71,14.31,16.72,17.15,22.68,25.62,25.55,24.65,20.59,16.47,14.01
1902,11.81,13.79,13.59,16.92,16.67,21.42,25.90,26.22,24.57,20.89,16.05,13.01
1903,12.27,11.81,13.39,14.45,18.47,20.62,24.05,25.35,24.07,20.97,16.17,14.14
1904,11.69,13.51,13.87,16.45,18.65,23.12,25.85,25.47,23.27,19.99,14.87,12.81
1905,9.59,9.89,13.29,16.25,18.09,21.90,25.82,26.25,25.09,18.79,17.69,13.41
1906,11.51,10.44,13.59,15.25,17.75,21.92,24.87,25.95,23.37,19.87,17.09,12.14
1907,9.89,9.91,10.95,14.52,18.47,21.40,24.65,25.85,23.85,21.89,17.65,14.41
1908,11.91,11.59,12.99,14.27,20.17,22.22,24.92,25.45,23.07,20.65,15.75,12.81
1909,10.69,9.99,13.99,15.65,17.97,21.45,23.75,25.25,24.19,20.97,16.57,14.84
1910,11.79,11.71,12.59,15.45,17.07,21.32,24.02,25.07,21.87,21.95,16.45,14.51
1911,10.39,10.77,13.57,14.85,17.45,22.72,25.60,27.25,24.65,21.77,17.59,15.07
1912,12.67,14.49,15.09,15.15,18.62,21.65,25.65,25.17,21.97,20.39,15.09,13.24
1913,12.79,11.49,14.11,15.47,18.25,21.82,23.92,25.25,25.37,21.39,18.47,13.99
1914,10.89,12.69,14.47,16.55,18.75,21.40,24.25,24.95,22.97,19.75,16.25,14.01
1915,12.31,11.69,13.69,15.17,18.62,22.42,25.02,25.85,22.77,19.59,16.59,15.54
1916,11.89,12.69,14.91,16.15,19.47,23.87,26.45,25.27,22.59,20.29,16.79,14.94
1917,11.64,11.91,13.29,14.87,19.32,23.52,25.35,27.37,25.27,20.39,15.21,11.41
1918,11.61,11.01,12.41,15.57,18.67,21.42,24.95,24.97,25.87,19.74,16.17,13.34
1919,11.94,12.21,14.09,15.67,16.45,22.12,24.92,25.55,24.49,20.39,17.27,12.71
1920,12.69,12.09,13.89,16.25,20.05,22.55,26.12,26.27,24.07,21.05,16.19,13.91
1921,12.71,12.09,13.09,14.57,18.87,21.20,25.85,25.97,24.65,21.07,16.27,12.91
1922,11.59,12.69,15.21,16.95,19.85,23.95,25.47,27.57,23.71,21.27,14.97,12.21
1923,10.54,12.21,13.01,15.67,19.57,20.65,25.62,26.75,23.91,21.27,18.21,12.96
1924,10.67,11.61,13.39,16.77,20.95,23.92,26.15,25.57,26.09,21.07,16.47,13.51
1925,11.89,12.84,12.31,15.95,18.27,23.22,24.95,26.67,24.31,20.51,17.11,13.11
1926,12.51,13.99,14.09,16.57,18.35,21.72,23.82,24.57,25.19,22.67,19.64,13.16
1927,11.91,11.19,14.34,16.25,19.77,24.55,26.37,27.45,24.91,20.01,18.21,14.44
1928,12.34,11.57,13.07,16.67,17.87,23.42,26.39,27.89,25.29,21.49,16.64,12.01
1929,10.11,9.27,12.29,15.62,19.11,23.05,25.67,25.49,23.95,20.29,16.74,13.64
1930,12.81,11.34,14.41,15.87,18.25,23.72,26.05,25.67,23.89,19.99,17.09,14.04
1931,12.76,10.86,14.95,15.50,19.05,25.18,26.65,27.37,23.49,20.39,17.35,12.61
1932,11.87,10.55,13.55,15.55,18.95,21.65,24.31,25.99,26.19,22.49,17.27,15.59
1933,11.79,12.44,13.35,15.98,18.10,20.70,24.62,25.77,24.38,22.52,17.48,13.39
1934,11.44,11.59,13.48,16.97,19.27,23.20,25.85,25.89,23.79,20.71,17.66,14.74
1935,10.04,12.14,12.39,15.92,17.99,23.57,25.92,26.37,24.57,21.84,17.67,14.16
1936,14.48,13.51,14.51,16.57,17.57,21.32,25.29,25.21,24.32,19.36,16.31,13.09
1937,12.65,13.71,14.46,15.87,18.69,23.92,24.99,26.17,24.24,21.29,18.07,12.78
1938,11.71,10.61,12.74,14.12,17.57,23.45,25.47,26.39,24.07,21.59,17.47,13.94
1939,13.44,12.99,11.87,15.69,16.69,21.45,25.97,26.19,23.99,22.19,17.27,14.21
1940,11.92,13.35,14.15,15.42,18.20,20.57,24.27,24.45,24.17,21.41,17.04,11.51
1941,12.51,13.49,14.49,15.75,17.27,22.65,26.05,26.47,22.65,19.87,16.07,12.19
1942,9.89,11.21,14.75,17.30,20.35,23.45,25.35,25.47,24.91,22.12,17.12,14.89
1943,12.02,12.61,13.92,17.00,19.82,22.80,26.22,26.79,26.47,21.81,17.24,14.84
1944,11.21,10.74,11.59,16.45,20.22,23.35,25.75,26.72,25.17,20.67,16.57,13.21
1945,9.71,11.39,12.77,16.70,21.15,24.68,26.72,27.85,24.37,19.47,16.67,13.51
1946,12.21,11.77,13.17,16.92,19.17,23.22,25.45,27.57,25.75,21.75,18.39,12.41
1947,11.47,14.19,16.59,16.15,19.35,23.60,26.52,27.65,25.25,21.05,17.37,13.24
1948,13.19,12.75,13.05,16.32,20.05,22.10,24.42,25.75,23.47,22.35,16.55,13.27
1949,12.19,11.57,11.77,16.00,19.17,23.22,25.42,25.22,24.72,21.05,17.05,15.09
1950,11.87,12.57,13.27,15.57,19.70,24.20,26.42,26.92,24.85,20.85,16.75,13.31
1951,12.06,12.91,14.27,15.82,18.62,23.52,25.55,26.35,24.29,19.37,17.49,12.94
1952,11.34,11.11,14.57,16.47,18.65,24.88,26.72,27.67,25.87,21.67,16.79,14.14
1953,10.11,11.31,11.79,16.55,18.52,22.75,26.05,25.19,24.52,21.37,16.45,14.62
1954,10.71,11.46,14.37,15.01,17.37,23.68,23.99,24.39,24.28,19.29,16.77,14.17
1955,14.75,14.91,13.99,14.82,19.62,22.77,26.08,25.75,23.61,20.14,17.14,15.07
1956,13.47,10.26,12.37,15.65,18.25,21.35,24.79,26.47,24.97,19.57,15.99,12.34
1957,11.29,13.47,13.37,15.45,17.55,23.15,24.65,26.17,23.47,20.99,16.87,13.01
1958,11.61,13.09,13.57,14.75,19.37,23.00,25.05,26.70,23.92,21.12,17.09,15.41
1959,12.09,12.17,14.79,15.65,18.55,22.10,25.02,25.95,24.72,19.47,16.47,14.11
1960,12.31,14.27,14.57,15.27,19.45,22.92,24.82,26.35,23.25,21.87,18.47,13.94
1961,11.89,11.99,12.99,17.25,19.75,22.92,25.12,25.05,24.27,20.67,18.17,13.91
1962,13.09,11.09,13.89,15.85,19.35,21.92,25.92,26.15,24.69,21.17,16.57,12.31
1963,12.11,11.69,12.49,15.35,17.37,22.15,25.92,26.45,23.97,19.27,18.37,15.61
1964,11.27,12.47,14.59,15.55,19.15,23.42,25.02,25.47,22.87,20.47,17.07,13.14
