Variable:,tas
Country:,"Republic of Montenegro"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.09,-4.54,3.46,7.19,11.68,16.08,18.63,17.33,13.76,9.65,2.05,2.76
1902,0.33,1.34,2.07,7.08,8.57,14.35,17.60,18.36,14.37,9.16,0.89,-3.50
1903,-2.20,0.73,4.33,4.73,11.83,14.26,17.40,17.70,14.65,9.43,4.53,1.71
1904,-2.68,1.80,3.01,7.83,12.17,16.10,19.72,18.45,12.75,9.15,1.48,-0.00
1905,-6.04,-2.63,3.11,6.09,12.07,15.58,19.65,19.43,15.93,5.62,5.92,0.48
1906,-2.44,-1.00,2.85,7.63,11.89,14.80,18.24,17.57,12.62,8.70,5.99,-1.50
1907,-3.83,-3.88,-0.98,4.70,14.11,15.84,17.19,18.35,14.33,12.75,3.36,1.82
1908,-3.44,-0.87,1.84,5.80,14.92,17.46,18.00,17.30,12.92,8.04,-0.45,-1.67
1909,-4.40,-5.21,2.62,7.81,11.54,14.94,17.21,18.62,14.61,10.33,2.48,3.24
1910,-0.22,1.98,2.94,6.90,11.54,15.66,16.78,17.67,12.70,9.16,3.29,3.29
1911,-1.85,-3.21,2.77,6.45,11.90,15.17,19.00,19.18,14.74,9.38,6.52,1.89
1912,-3.44,2.09,5.13,5.02,11.32,16.08,18.24,16.44,10.91,7.21,1.64,0.94
1913,-2.24,-2.34,4.84,7.21,11.26,15.18,15.35,16.13,14.39,9.48,5.17,0.51
1914,-5.84,-2.90,3.68,8.40,11.53,14.41,17.17,17.77,12.76,7.78,2.53,1.94
1915,0.22,-0.08,1.64,6.61,12.69,16.63,17.65,16.46,11.89,7.65,2.22,3.60
1916,0.61,-0.68,5.51,7.10,12.24,15.46,18.09,17.21,12.43,8.60,5.52,3.28
1917,-0.89,-5.16,1.18,5.61,12.60,17.12,18.41,19.44,15.59,9.59,3.97,-2.03
1918,-0.83,-2.31,2.38,8.07,12.19,13.89,17.58,17.57,15.27,8.77,2.73,0.67
1919,0.66,-1.04,3.68,6.30,8.93,15.04,16.30,17.71,15.33,7.62,3.07,0.33
1920,0.90,-0.58,4.31,9.61,14.13,14.55,18.87,17.23,14.53,6.42,0.12,0.94
1921,1.83,-1.05,3.79,6.47,13.39,14.27,19.01,19.15,13.68,9.42,1.68,-1.16
1922,-3.07,-3.60,4.52,6.59,12.63,16.25,18.46,18.89,13.13,7.50,0.92,-0.71
1923,-0.98,-0.58,3.30,6.58,13.86,13.30,18.76,18.91,14.96,11.55,6.81,0.26
1924,-4.86,-2.48,1.64,6.96,14.21,16.22,18.02,16.56,15.76,9.04,1.97,-0.51
1925,-1.22,2.97,1.95,7.72,12.70,14.41,17.82,17.67,13.08,9.02,4.83,-2.16
1926,-1.05,2.92,2.12,8.67,11.19,14.14,16.74,16.10,15.15,10.43,9.74,0.25
1927,0.51,-2.00,5.35,7.47,11.74,17.32,19.59,19.38,15.66,8.97,5.53,-2.48
1928,-1.75,-1.10,1.10,8.08,9.52,15.29,20.99,19.82,15.23,8.92,6.00,-0.90
1929,-5.13,-5.69,-0.30,4.14,13.43,15.37,18.52,19.59,14.18,10.36,5.90,1.56
1930,-0.59,-0.81,4.47,8.10,11.20,17.08,18.43,17.72,15.75,9.16,6.27,0.55
1931,-0.35,-0.28,0.07,5.14,13.91,17.27,19.66,18.15,11.05,8.10,3.57,-1.81
1932,-2.91,-6.07,-1.55,6.42,12.29,14.52,19.44,19.52,17.36,10.48,3.80,0.67
1933,-3.44,-0.95,2.64,5.00,10.29,12.78,17.74,17.81,13.09,9.31,4.56,-4.04
1934,-2.26,-1.56,5.43,9.94,13.81,15.08,18.29,18.18,15.24,9.02,5.72,3.86
1935,-3.50,-1.47,1.40,6.82,10.63,17.30,18.13,17.91,14.18,11.56,4.00,1.01
1936,3.22,0.38,5.38,7.59,12.53,14.87,19.28,17.05,13.60,6.18,3.82,-0.30
1937,-3.22,0.55,4.81,6.27,13.69,16.88,18.26,17.56,14.97,9.32,4.21,0.56
1938,-2.17,-1.21,4.36,4.43,10.76,17.42,19.09,18.13,13.55,10.12,5.36,-0.75
