Variable:,tas
Country:,Mozambique
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.39,25.82,25.53,24.22,21.90,19.59,19.17,20.75,22.32,24.44,25.72,25.85
1902,25.81,25.77,25.37,24.79,21.95,20.23,20.24,21.27,23.51,24.14,26.01,26.48
1903,26.18,26.11,25.70,24.87,22.92,20.24,19.49,21.24,23.41,25.16,25.68,25.61
1904,25.39,25.11,24.49,24.26,21.63,20.43,19.03,20.64,21.83,24.73,26.07,25.21
1905,26.11,25.73,24.68,23.69,21.85,20.95,19.06,21.26,23.55,25.97,26.13,26.44
1906,26.67,25.22,25.03,23.51,22.14,19.98,19.35,20.36,22.62,24.33,25.00,25.75
1907,25.77,25.31,25.22,23.70,21.87,19.66,18.42,19.77,22.40,24.76,25.56,25.85
1908,25.82,25.41,25.26,24.15,21.28,20.33,19.40,21.32,23.28,25.64,26.08,26.12
1909,25.79,25.74,25.18,23.72,21.82,19.58,19.63,21.10,22.64,24.92,25.64,26.25
1910,25.56,25.40,25.00,23.57,21.38,19.60,19.02,20.63,22.26,24.16,25.02,25.61
1911,25.38,25.21,24.60,23.22,21.50,19.00,18.58,20.10,21.92,25.25,25.96,27.15
1912,26.35,26.27,24.78,24.65,23.11,19.70,18.89,20.28,22.82,24.56,27.19,25.72
1913,26.09,26.03,25.05,24.23,22.22,19.59,19.96,21.12,23.09,25.50,26.39,26.66
1914,26.59,25.60,26.02,25.38,22.58,20.48,19.34,20.87,23.99,25.88,26.53,26.47
1915,26.27,25.71,25.24,24.73,21.73,20.26,20.27,20.94,23.13,25.64,26.43,26.32
1916,25.98,26.78,25.91,24.39,21.71,20.27,19.77,20.53,23.29,26.01,25.89,26.08
1917,26.02,26.24,25.62,24.18,22.70,20.62,19.72,20.59,22.50,25.30,26.12,25.16
1918,24.76,25.38,25.01,23.01,21.26,19.36,19.39,19.42,23.17,26.25,26.20,26.08
1919,26.03,25.49,25.32,24.68,20.95,19.90,19.51,20.31,22.70,24.51,25.58,26.14
1920,26.59,26.08,25.19,23.54,22.43,20.03,19.58,20.82,23.83,25.58,26.50,26.50
1921,26.15,26.21,25.83,23.96,21.70,20.54,19.08,20.22,22.64,25.35,25.69,25.81
1922,26.64,25.81,26.43,24.44,22.25,20.72,19.71,22.09,23.36,24.90,26.56,26.64
1923,26.08,25.68,25.37,24.21,21.99,20.32,19.71,20.87,23.03,25.55,27.39,26.20
1924,25.92,25.69,25.89,23.45,22.40,20.45,19.24,20.50,22.92,24.89,25.97,25.58
1925,25.32,25.62,25.35,24.42,21.74,20.37,19.24,20.49,21.73,24.52,26.37,26.86
1926,26.16,27.04,25.64,23.90,22.04,20.04,19.16,20.34,22.99,25.57,26.56,26.27
1927,26.16,25.88,24.97,24.12,21.53,19.38,19.61,20.45,22.79,25.20,26.17,26.35
1928,26.47,26.06,25.99,24.10,21.33,20.97,18.93,20.36,23.54,26.03,26.99,26.31
1929,25.76,25.58,24.92,23.63,22.26,20.62,19.95,20.13,24.01,26.59,27.37,25.82
1930,25.47,25.62,25.48,24.06,20.99,19.29,19.10,20.29,22.69,24.78,26.67,26.70
1931,25.99,26.58,25.92,24.48,23.38,19.95,20.03,21.81,23.58,25.98,25.70,26.09
1932,26.01,26.11,25.13,24.23,21.49,19.77,18.87,20.16,24.03,25.52,26.18,26.00
1933,25.44,25.74,25.64,23.79,21.85,20.56,19.93,20.51,22.10,25.35,26.16,25.39
1934,26.04,25.68,25.47,24.56,22.72,20.42,20.15,21.55,22.36,25.11,25.66,25.65
1935,25.53,24.58,24.90,23.10,21.97,19.10,19.28,18.96,23.58,25.71,25.46,25.62
1936,25.83,26.07,25.22,23.54,21.90,19.85,19.62,20.33,22.13,25.06,26.08,25.74
1937,26.12,26.12,25.52,23.93,22.11,20.28,18.95,20.23,22.98,24.92,26.62,25.73
1938,25.96,25.68,25.17,24.90,22.34,20.14,19.81,20.72,23.15,26.01,25.87,25.86
1939,25.50,26.30,24.61,23.38,22.26,19.21,19.02,20.85,22.02,25.28,25.49,25.63
1940,25.78,25.77,25.87,24.25,22.04,20.37,19.01,20.97,23.94,24.13,26.42,27.22
1941,25.92,26.35,25.43,25.24,23.01,20.57,19.66,21.16,23.60,26.22,27.04,26.72
1942,26.90,26.74,26.38,24.26,22.11,21.25,19.71,21.68,23.41,24.30,25.74,26.21
1943,25.80,25.37,25.12,24.44,21.69,19.60,19.86,21.17,22.56,25.79,26.53,25.89
1944,26.75,25.88,24.94,24.07,21.52,20.46,20.06,21.49,23.12,25.60,26.53,26.30
1945,25.43,25.90,25.45,24.00,21.67,18.84,19.12,20.23,22.39,25.78,25.74,26.36
1946,26.19,25.98,25.53,24.31,21.97,19.58,19.09,19.96,23.34,25.83,25.96,26.44
1947,26.40,26.62,25.29,24.96,21.80,20.04,19.46,20.86,22.96,25.43,26.99,26.15
1948,26.03,25.94,25.81,24.42,22.40,20.20,19.93,20.82,22.69,25.68,25.93,26.73
1949,26.89,25.70,25.31,24.31,22.36,20.05,19.97,21.42,23.75,25.39,26.87,26.54
1950,25.76,26.03,25.84,24.80,21.18,20.02,20.24,20.47,22.95,24.24,25.59,26.69
1951,25.18,25.68,25.53,24.62,22.28,19.67,18.93,20.91,23.01,25.93,26.02,26.25
1952,26.31,25.99,25.72,24.43,21.87,20.26,19.91,21.63,23.44,25.60,25.40,26.13
1953,26.24,26.22,25.20,24.51,22.09,19.64,18.95,20.89,21.53,25.34,26.91,26.29
1954,26.02,26.28,25.19,24.13,22.70,19.23,19.47,20.98,23.40,26.17,25.80,26.21
1955,25.93,25.88,24.77,23.69,21.63,19.75,19.98,20.73,22.62,25.09,26.28,25.92
1956,25.23,25.91,25.72,23.93,22.38,20.32,19.35,21.56,22.39,24.97,25.47,25.22
1957,25.85,26.21,25.48,24.61,22.01,19.92,20.38,21.38,24.32,26.24,27.77,26.04
1958,26.44,26.12,25.54,25.02,22.62,20.09,19.26,20.57,23.75,25.30,27.11,26.57
1959,26.17,25.93,25.57,24.64,23.38,20.80,20.40,21.13,22.68,25.21,25.86,26.37
1960,25.65,25.75,25.05,23.80,21.98,20.56,19.02,21.56,23.10,25.66,26.11,26.63
1961,25.88,25.80,25.81,24.99,23.42,20.94,20.22,20.39,23.45,25.44,25.27,25.55
1962,25.43,25.91,25.27,24.28,20.79,20.56,19.70,21.47,23.26,25.82,26.26,25.62
1963,25.29,25.03,24.49,23.39,20.74,19.23,19.59,20.56,23.18,25.45,25.56,25.86
1964,25.71,26.18,26.19,24.03,21.36,19.59,18.34,20.41,22.58,25.40,25.89,25.04
1965,25.09,25.83,24.88,23.43,21.16,18.94,19.24,21.18,22.47,23.75,25.90,26.28
1966,26.46,25.69,24.99,23.86,22.07,20.41,20.18,21.37,23.35,24.62,26.16,26.52
1967,26.15,25.87,25.22,24.48,22.35,20.86,19.08,20.64,22.68,25.46,25.93,25.63
1968,26.42,25.59,24.88,23.52,22.11,18.66,19.95,21.67,22.87,25.55,24.82,25.96
1969,26.22,26.70,25.82,24.58,21.86,20.43,20.03,21.32,22.89,25.96,26.63,25.58
1970,26.33,25.97,25.48,23.65,22.35,20.53,20.49,22.03,24.34,25.01,26.23,25.95
1971,25.44,25.21,25.72,24.84,21.50,19.70,19.99,21.37,23.20,24.71,25.20,25.87
