Variable:,tas
Country:,Martinique
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.12,24.17,24.42,25.17,25.92,26.07,25.96,26.26,25.92,25.52,25.07,24.12
1902,23.57,23.82,23.83,24.53,25.48,25.92,25.92,26.16,25.72,25.27,25.17,24.42
1903,23.87,23.87,23.83,24.62,25.67,26.17,26.02,26.02,25.77,25.57,24.97,24.17
1904,23.57,23.37,23.38,24.13,25.18,25.62,25.62,25.62,25.57,25.07,25.22,24.27
1905,23.67,23.32,23.58,24.82,25.08,25.87,25.92,26.16,25.82,25.47,25.37,24.12
1906,23.47,23.52,23.78,24.47,25.38,25.62,25.66,26.06,25.67,25.57,25.32,23.77
1907,23.17,23.03,23.28,24.13,24.83,25.62,25.76,25.82,25.62,25.37,25.07,24.27
1908,23.62,23.32,23.43,24.13,24.88,25.72,25.86,26.06,25.77,25.27,24.92,24.27
1909,23.37,23.27,24.03,24.23,25.27,25.42,25.62,25.72,25.67,25.37,24.87,23.77
1910,23.17,23.03,23.28,24.03,25.08,25.62,25.72,25.92,25.47,25.42,25.32,24.37
1911,23.27,23.12,23.38,24.23,24.88,25.92,25.47,26.02,25.82,25.47,25.22,24.37
1912,23.87,23.72,23.68,24.52,25.42,25.72,25.92,26.02,25.67,25.37,25.07,24.37
1913,23.42,23.02,23.38,23.98,25.58,25.32,25.22,25.52,25.57,24.97,24.77,23.67
1914,23.43,23.52,23.88,24.23,24.88,25.42,25.42,25.52,25.52,25.17,25.02,24.52
1915,23.77,23.57,24.22,24.57,25.42,25.92,25.86,26.22,25.87,25.72,25.32,24.42
1916,23.42,23.42,23.58,24.43,25.42,25.82,25.72,25.86,25.57,25.27,24.82,23.67
1917,23.27,23.12,23.33,24.23,25.37,25.87,25.86,25.72,25.67,25.67,25.12,23.97
1918,23.27,23.32,23.48,24.13,24.98,25.87,25.82,26.16,26.02,25.62,25.07,24.02
1919,23.37,23.57,23.68,24.23,25.42,25.92,25.62,25.92,25.57,25.17,24.67,24.17
1920,23.37,23.42,23.78,24.43,25.22,25.48,25.42,25.62,25.37,25.17,24.87,23.97
1921,23.62,23.72,23.78,23.98,25.28,25.72,25.32,25.72,25.72,25.27,25.12,24.17
1922,23.47,23.42,23.43,23.93,24.98,25.52,25.62,25.72,25.67,25.47,24.92,23.82
1923,23.27,23.12,23.38,24.13,25.62,25.62,25.72,26.12,25.92,25.62,25.42,24.12
1924,23.57,23.62,24.12,24.87,25.72,25.82,25.82,26.06,25.91,25.42,24.92,24.02
1925,23.27,23.02,23.38,24.47,25.28,25.72,25.62,25.96,25.87,25.62,25.22,24.72
1926,23.92,23.87,24.23,24.82,25.82,26.36,26.06,26.06,25.82,25.47,25.32,24.32
