Variable:,tas
Country:,"Korea, Democratic People's Republic of"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-10.87,-10.52,-2.43,6.29,11.74,16.49,19.13,20.55,14.73,8.33,-0.72,-10.70
1902,-12.26,-9.34,-1.24,5.50,11.23,15.99,19.09,18.98,14.49,8.41,1.21,-7.67
1903,-10.89,-8.23,-1.00,6.81,11.43,16.33,19.51,20.80,15.44,7.10,-1.46,-10.26
1904,-13.19,-8.77,-3.02,6.26,11.73,17.34,20.74,20.89,14.56,6.99,-1.35,-8.95
1905,-8.63,-10.24,-2.45,4.54,11.07,16.48,20.03,19.53,14.54,7.84,-1.33,-7.58
1906,-13.33,-11.71,-2.90,5.90,11.79,16.39,20.20,20.40,14.26,7.95,-3.46,-9.10
1907,-10.31,-11.66,-2.91,6.11,11.67,16.42,19.92,20.86,14.78,8.57,-2.19,-11.27
1908,-13.63,-11.23,-3.63,5.41,10.71,16.87,19.39,20.42,14.29,8.51,-2.49,-7.96
1909,-12.03,-10.10,-5.00,4.37,11.06,15.98,20.55,20.63,14.54,6.55,-0.84,-11.48
1910,-13.23,-11.07,-4.35,5.12,11.64,15.86,19.76,19.78,13.61,8.27,-1.75,-13.14
1911,-13.91,-9.89,-4.21,4.38,11.52,16.25,19.47,20.12,15.47,6.52,-0.23,-10.65
1912,-12.18,-6.62,-2.65,5.31,10.30,16.57,20.13,20.35,12.75,5.10,-4.76,-12.14
1913,-14.13,-10.80,-4.26,6.00,10.87,15.52,18.64,19.73,14.09,6.90,-1.41,-10.50
1914,-10.43,-8.33,-2.24,5.88,13.08,17.07,21.32,20.70,14.89,8.58,-2.48,-10.79
1915,-15.42,-11.89,-6.11,3.47,10.16,16.17,20.61,20.10,13.84,7.92,-0.42,-7.46
1916,-10.25,-9.51,-6.16,4.41,10.62,16.43,20.18,21.23,13.99,7.43,-0.50,-10.57
1917,-16.42,-10.80,-3.42,5.28,10.00,17.78,21.45,20.80,14.57,7.62,-3.66,-13.42
1918,-14.69,-8.41,-1.79,5.63,10.55,16.03,19.69,20.20,14.07,7.49,-2.32,-10.71
1919,-14.94,-8.70,-1.98,4.84,10.83,16.60,21.62,21.16,14.31,7.55,-1.20,-10.70
1920,-12.73,-12.57,-1.41,6.21,13.02,16.96,21.90,20.62,14.31,8.65,-0.23,-9.78
1921,-11.02,-9.00,-3.71,5.35,11.47,16.39,20.21,20.94,14.14,6.78,-3.20,-9.34
1922,-17.00,-6.94,-3.48,6.97,10.97,17.49,20.54,20.87,14.41,8.50,-4.20,-10.46
1923,-14.00,-10.48,-1.68,4.21,11.72,16.04,19.97,21.25,13.71,6.92,-2.34,-10.15
1924,-12.24,-11.03,-5.26,5.31,11.41,17.19,21.83,21.57,14.80,6.68,-2.94,-10.06
1925,-13.13,-10.85,-4.54,5.52,11.45,17.17,20.12,20.34,14.78,7.76,0.50,-10.26
1926,-12.91,-9.23,-2.95,4.44,12.60,16.83,20.67,20.85,15.11,5.40,-0.67,-12.51
1927,-12.73,-10.69,-3.56,6.41,9.91,16.84,21.50,20.21,14.62,7.52,0.27,-10.72
1928,-13.66,-10.60,-2.53,6.57,11.71,16.48,20.53,20.68,14.87,6.64,-1.89,-10.90
1929,-13.87,-11.16,-2.71,4.90,11.33,17.79,21.53,21.05,13.62,7.20,-1.34,-9.14
1930,-13.51,-8.07,-0.66,6.53,12.24,16.82,21.49,21.06,14.30,8.07,-3.96,-9.69
1931,-13.36,-12.14,-2.11,3.77,11.01,16.02,18.35,20.47,14.41,6.76,0.33,-9.49
