Variable:,tas
Country:,"West Bank and Gaza"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,9.58,14.48,16.10,17.18,18.27,22.65,24.65,24.88,23.14,21.14,16.13,12.94
1902,9.79,13.68,12.10,16.23,19.92,21.60,24.25,24.49,24.84,21.79,15.54,11.09
1903,8.98,9.53,11.40,16.43,20.13,21.15,22.70,23.94,21.89,19.54,14.68,12.10
1904,10.24,11.88,13.10,15.43,18.77,21.65,23.60,24.48,23.05,22.29,15.43,10.19
1905,8.38,8.53,11.55,16.68,20.38,22.15,25.05,25.33,24.39,22.44,17.98,10.67
1906,9.93,11.14,13.16,16.48,18.87,23.10,24.65,25.09,23.05,21.35,16.74,13.49
1907,9.83,10.93,11.01,15.78,19.67,22.15,24.65,24.98,22.55,20.59,14.88,11.99
1908,10.14,10.60,13.12,16.43,20.82,22.75,23.90,24.48,22.99,20.80,14.98,10.13
1909,10.03,11.08,15.16,14.78,23.07,23.31,25.65,25.89,24.05,21.24,17.38,13.74
1910,9.79,11.83,10.30,17.47,20.02,22.15,24.74,25.48,23.70,19.84,15.78,10.69
1911,9.18,8.73,11.50,15.98,19.96,22.34,24.54,24.93,22.94,21.49,16.68,12.09
1912,9.53,12.08,13.10,16.54,18.48,22.50,24.05,24.93,23.19,21.39,16.28,11.19
1913,10.48,10.78,12.70,16.32,19.38,21.95,24.40,24.99,24.39,22.04,15.73,11.08
1914,10.34,11.33,14.40,14.78,20.67,23.15,24.84,25.93,24.39,20.84,16.68,12.43
1915,12.04,12.48,14.16,16.58,20.22,24.30,25.80,25.94,24.25,22.20,16.99,13.74
1916,9.74,12.08,15.06,17.33,22.12,25.75,26.66,25.14,23.94,20.29,18.78,13.94
1917,11.69,12.09,15.00,17.93,19.27,22.45,24.65,25.48,23.84,20.54,18.83,12.15
1918,10.08,11.03,13.20,16.73,20.02,22.56,25.26,25.04,24.74,23.69,18.88,12.00
1919,12.43,13.60,15.42,16.28,18.83,21.81,25.10,24.74,24.94,23.19,18.78,11.89
1920,10.83,9.08,13.30,17.68,20.77,23.65,25.39,26.44,24.20,21.75,15.78,11.34
1921,10.28,10.49,11.95,16.68,19.67,22.32,25.40,26.54,23.44,20.70,16.58,11.64
1922,10.69,11.20,14.05,16.79,20.32,22.55,25.95,26.32,24.84,22.80,18.69,11.44
1923,11.34,11.44,13.85,16.38,20.87,25.01,24.80,24.75,25.07,21.39,18.43,13.68
1924,10.58,12.14,14.46,18.07,19.77,24.16,25.95,25.79,24.84,21.00,16.53,12.18
1925,8.28,10.97,16.49,15.97,20.87,22.76,25.36,25.68,25.04,22.44,18.43,14.29
1926,11.03,11.57,12.90,18.17,22.23,24.65,24.60,23.94,22.74,21.88,17.62,13.17
1927,11.28,8.90,14.64,16.22,22.27,23.54,26.11,25.44,24.73,23.74,18.44,13.51
1928,11.90,10.45,12.68,20.07,23.03,23.74,26.04,26.93,25.04,21.20,17.52,12.84
1929,9.69,10.05,11.96,16.98,23.14,23.40,24.74,26.54,25.01,20.99,18.63,11.92
1930,10.72,11.83,14.74,18.18,20.62,23.80,25.60,26.58,24.75,21.60,17.12,14.65
1931,11.74,11.93,14.71,17.33,20.86,23.00,25.80,26.58,25.55,22.25,15.64,11.49
1932,9.79,11.34,14.16,17.04,20.08,24.36,25.91,26.48,24.84,24.39,17.19,11.25
1933,9.55,12.34,13.17,14.73,20.18,23.42,24.21,24.88,22.69,20.34,19.83,12.51
1934,10.10,9.63,15.26,18.38,21.23,23.86,25.45,25.85,23.84,21.90,18.24,12.43
