Variable:,tas
Country:,"French Polynesia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.11,22.21,21.81,22.21,21.21,21.31,21.01,20.81,21.71,21.80,22.31,21.00
1902,22.91,22.61,22.91,22.51,20.61,20.61,20.01,20.11,20.51,21.20,22.71,24.10
1903,24.81,24.41,23.81,23.91,22.81,22.01,21.41,20.91,21.11,21.50,22.11,22.20
1904,22.21,22.31,22.31,22.11,21.11,20.41,19.61,19.11,18.81,20.00,21.11,21.30
1905,22.41,22.61,22.11,22.01,20.71,20.51,20.21,19.91,21.31,21.40,22.21,22.60
1906,22.91,23.41,23.81,23.21,20.81,20.31,19.51,19.91,20.71,20.60,21.11,21.80
1907,22.41,22.61,22.11,22.01,20.61,20.51,20.31,19.91,21.31,21.50,22.21,22.20
1908,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1909,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1910,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1911,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1912,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1913,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1914,22.61,22.71,22.71,22.41,21.61,20.51,20.00,19.91,20.21,20.90,21.61,22.20
1915,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1916,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1917,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1918,22.61,22.71,22.70,22.41,21.61,20.51,20.00,19.91,20.21,20.90,21.61,22.20
1919,22.61,22.71,22.71,22.41,21.61,20.51,20.00,19.91,20.21,20.90,21.61,22.20
1920,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1921,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1922,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1923,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1924,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1925,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
1926,22.61,22.71,22.71,22.41,21.61,20.51,20.01,19.91,20.21,20.90,21.61,22.20
