Variable:,tas
Country:,"Saudi Arabia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,15.06,17.55,21.17,24.64,28.71,31.36,32.02,31.94,30.32,25.96,20.91,17.32
1902,15.64,17.83,21.11,24.63,28.55,31.14,31.33,31.59,30.24,25.62,19.99,15.92
1903,14.69,16.06,19.50,23.49,28.56,30.96,31.04,32.02,29.79,24.81,19.57,16.21
1904,15.48,16.92,20.09,23.64,27.86,30.55,31.37,31.51,29.41,25.59,20.81,16.01
1905,14.51,15.71,19.25,24.06,28.31,30.98,31.64,31.87,30.09,26.15,21.16,16.06
1906,14.89,16.54,19.89,23.46,28.42,30.95,31.50,31.48,29.35,25.66,21.21,17.45
1907,15.38,16.28,19.59,23.38,28.56,30.77,31.52,31.48,29.45,25.61,19.68,16.49
1908,15.32,16.62,20.39,24.45,28.53,31.47,31.38,31.70,30.05,25.65,20.64,16.49
1909,15.08,17.49,21.27,24.26,29.21,30.97,31.96,31.99,29.92,25.70,21.06,16.91
1910,14.91,17.16,18.87,23.75,28.24,30.48,31.58,31.92,29.82,24.83,20.30,15.62
1911,13.75,15.36,18.93,23.37,28.00,30.28,31.54,31.36,29.14,25.29,20.37,16.91
1912,14.86,17.01,20.21,23.79,27.81,31.26,31.21,31.11,29.57,25.38,20.79,16.12
1913,15.10,16.04,19.18,24.24,28.49,30.51,31.11,30.89,29.91,25.72,20.43,16.41
1914,15.98,16.92,20.51,23.92,28.52,30.65,31.22,31.74,29.49,25.87,21.15,16.73
1915,16.13,17.52,20.71,24.16,28.51,31.95,31.85,32.11,30.42,25.80,21.06,17.03
1916,15.20,16.81,21.18,24.05,29.20,31.91,32.34,32.03,29.81,25.07,21.44,17.16
1917,15.69,17.38,20.38,24.78,28.35,31.10,32.07,32.09,30.13,25.32,21.54,16.46
1918,15.27,16.89,19.96,23.86,28.35,30.74,31.82,31.81,30.16,26.58,21.55,16.87
1919,16.37,17.80,20.78,24.45,28.28,30.65,31.67,31.85,30.34,26.46,21.58,16.83
1920,15.55,15.98,20.68,24.49,28.84,31.50,31.68,32.20,30.33,26.33,20.78,15.79
1921,15.36,16.81,20.44,25.02,28.30,31.28,32.24,32.28,30.07,25.61,20.88,16.49
1922,15.79,17.03,20.44,24.37,28.46,31.49,32.04,32.25,30.16,26.15,21.85,16.81
1923,15.75,16.88,20.88,23.75,28.64,31.82,31.86,31.54,30.16,25.91,20.96,17.22
1924,15.79,17.20,21.43,24.65,28.71,31.85,32.16,31.93,30.23,26.09,20.95,16.54
1925,14.04,16.12,21.48,24.35,28.77,30.95,31.59,32.06,30.56,26.27,21.17,17.46
1926,15.75,17.33,20.35,24.12,29.20,31.69,31.56,31.63,29.45,25.80,21.27,16.84
1927,15.72,16.22,20.53,23.79,29.41,31.55,32.15,31.82,30.43,26.72,21.49,16.88
1928,15.77,16.86,20.11,25.73,29.41,31.42,32.07,31.89,30.33,25.77,20.58,16.57
1929,15.81,17.11,20.22,24.63,29.35,30.90,31.37,31.88,30.16,25.64,21.13,16.47
1930,14.73,17.45,20.68,24.84,28.77,31.33,31.50,32.06,30.18,25.78,20.97,17.23
1931,16.28,17.02,20.83,24.29,28.44,31.25,32.01,32.04,30.68,25.52,20.61,16.04
