Variable:,tas
Country:,Senegal
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.02,27.57,28.13,30.66,30.54,30.86,29.02,28.25,28.31,28.31,25.65,23.86
1902,25.22,27.21,27.87,30.23,31.34,31.32,29.33,28.65,28.03,29.64,28.02,23.63
1903,23.90,27.30,29.21,29.92,30.98,30.23,29.05,27.77,27.89,29.48,27.61,23.95
1904,24.21,26.51,27.95,30.17,30.82,30.17,28.63,27.51,28.05,28.64,27.64,24.27
1905,24.74,26.42,28.50,29.94,30.65,30.28,29.09,27.90,28.41,28.77,26.92,24.88
1906,25.47,26.75,29.59,30.24,30.95,30.90,28.53,27.30,28.05,28.77,27.49,23.74
1907,23.91,25.92,28.06,29.39,29.92,29.40,28.58,27.31,27.75,28.39,26.30,23.86
1908,24.59,26.46,28.71,30.59,31.33,30.75,29.07,27.59,28.21,29.05,27.69,25.46
1909,24.16,26.38,29.26,29.93,30.98,30.05,28.88,27.75,27.85,28.84,27.05,24.82
1910,23.70,27.05,28.63,30.32,31.17,30.49,28.39,27.75,28.36,29.28,28.52,24.88
1911,23.76,26.28,27.41,30.36,30.59,29.77,28.89,27.81,28.43,29.67,27.63,25.19
1912,24.70,27.14,29.41,30.06,31.28,30.86,29.03,27.83,28.19,28.75,27.67,24.50
1913,24.89,26.91,28.13,30.28,30.17,30.93,28.81,28.06,28.15,29.07,27.94,25.55
1914,24.67,26.02,28.65,29.92,31.68,29.91,28.37,27.62,27.87,29.08,27.07,24.37
1915,25.40,26.19,27.45,29.87,30.88,31.62,29.34,27.99,28.46,29.72,27.53,26.10
1916,24.98,26.22,27.39,29.02,30.52,30.55,28.39,27.89,27.96,29.47,27.27,24.96
1917,25.51,25.50,28.42,29.27,30.56,29.93,29.38,27.73,27.77,28.34,26.45,24.22
1918,25.48,26.80,28.01,29.61,31.30,31.10,28.70,27.74,28.17,28.79,26.66,24.37
1919,25.01,27.91,29.42,29.43,30.52,31.14,28.86,28.23,28.15,29.40,28.56,24.96
1920,25.04,25.62,27.79,30.17,30.77,30.30,27.93,27.49,27.52,28.82,26.72,24.75
1921,24.97,25.73,27.34,29.92,30.22,30.10,28.60,28.01,28.26,29.12,26.62,24.17
1922,24.01,26.50,27.33,28.23,30.16,29.25,27.84,27.65,27.42,28.67,27.50,24.74
1923,24.07,26.78,27.59,29.64,30.68,29.99,28.71,27.90,28.31,29.45,27.53,25.67
1924,24.42,25.15,28.72,29.82,31.45,29.95,28.59,27.77,27.52,28.02,27.23,23.96
1925,23.44,26.13,27.56,29.68,31.63,30.25,28.75,27.48,27.55,28.25,27.18,25.98
1926,25.50,26.60,28.22,30.11,30.89,30.88,28.76,28.17,28.08,29.25,26.96,25.42
1927,23.42,26.16,28.24,30.39,30.99,29.97,28.61,27.15,27.63,28.63,27.81,24.91
1928,23.39,25.12,27.68,29.06,30.64,30.86,28.92,27.39,27.64,28.59,26.49,24.36
1929,24.32,26.22,27.18,29.74,29.95,29.28,28.27,26.96,27.30,28.69,26.75,24.01
1930,23.19,24.63,26.29,29.03,29.64,29.48,28.64,27.41,28.18,29.04,28.15,24.64
1931,24.54,26.31,28.35,30.41,30.95,29.60,28.32,28.26,27.46,29.37,27.55,24.93
1932,24.53,26.24,27.43,30.56,30.87,30.76,28.53,27.38,27.98,29.24,27.46,23.95
1933,24.70,26.45,28.70,30.68,31.64,30.15,28.67,28.03,28.01,28.69,26.46,23.36
1934,24.19,25.98,27.81,30.04,30.91,30.20,28.82,27.70,28.26,28.94,26.93,24.49
1935,24.77,25.72,27.69,30.20,31.32,30.26,28.63,27.26,28.26,28.31,26.88,25.47
1936,25.52,26.22,28.61,30.34,30.55,30.54,28.53,27.32,28.00,29.15,27.03,25.44
1937,24.75,27.39,28.42,29.13,30.78,30.95,28.78,27.69,28.01,28.87,28.25,25.98
1938,24.65,27.48,28.48,30.26,31.91,31.04,28.57,27.91,27.79,28.67,27.76,24.12
1939,24.94,25.37,27.75,30.14,30.81,31.01,28.98,27.74,28.07,28.72,27.26,25.23
1940,24.55,25.89,28.66,29.14,31.19,31.46,29.13,27.65,28.33,28.15,26.87,24.35
1941,24.81,26.55,28.02,30.03,31.32,30.00,29.17,28.39,28.09,30.06,27.82,24.32
1942,23.58,25.46,28.25,30.39,31.15,30.70,28.74,27.25,28.27,28.86,27.60,24.42
1943,23.53,26.01,27.87,30.48,32.16,30.40,28.77,27.33,27.68,28.72,27.00,23.84
1944,24.41,26.47,28.17,30.40,32.08,31.18,29.43,28.12,28.01,29.09,28.10,24.14
1945,25.44,27.22,29.55,31.67,31.52,30.81,28.85,27.41,27.92,29.05,27.45,26.02
1946,23.64,26.52,29.12,29.99,31.83,30.54,28.83,27.58,27.82,28.72,27.46,24.39
1947,23.90,26.11,29.53,30.76,31.30,30.21,28.87,27.93,27.87,29.15,26.85,25.09
1948,23.81,26.34,29.56,29.20,31.58,29.91,28.50,27.75,28.13,28.87,27.26,24.54
1949,23.95,26.13,27.54,31.13,30.73,30.40,28.56,27.43,28.34,29.51,27.52,25.44
1950,23.82,26.27,29.37,30.54,31.36,30.55,28.51,27.13,27.35,28.17,26.90,24.15
1951,24.09,25.75,28.11,29.98,31.24,30.54,28.51,27.70,27.78,27.54,26.58,23.24
1952,22.50,25.26,28.17,29.60,30.85,30.68,28.14,27.29,26.89,27.81,27.04,23.72
1953,25.74,25.83,27.73,29.19,30.42,29.66,27.74,27.53,27.43,28.09,27.17,24.42
1954,23.93,24.20,28.16,29.98,31.52,29.87,27.80,26.76,27.62,28.62,27.43,24.82
1955,24.70,26.54,28.14,30.22,31.21,29.87,27.39,26.93,27.09,28.35,27.78,24.38
1956,24.85,25.50,27.56,29.29,31.05,29.36,27.90,27.42,27.02,27.94,27.26,23.99
1957,23.40,26.21,28.00,29.38,29.86,30.07,28.22,27.33,27.48,27.82,27.36,24.83
1958,25.04,26.81,28.84,30.86,31.47,30.38,28.62,26.66,28.12,28.20,27.28,23.87
1959,24.64,25.91,27.95,30.15,30.92,30.33,28.32,27.19,27.72,29.05,26.97,23.53
1960,24.26,27.43,27.40,29.83,31.36,30.47,28.35,27.71,27.55,28.82,27.27,23.75
1961,23.80,26.19,28.37,30.68,32.21,30.72,28.67,27.55,27.68,28.58,26.89,24.41
1962,24.57,26.66,28.96,29.63,31.52,30.05,28.61,27.27,27.73,28.73,27.95,24.20
1963,25.78,27.72,28.69,29.83,31.19,31.18,28.49,27.86,28.50,27.56,27.01,23.49
1964,24.66,27.38,29.10,30.07,31.77,29.74,28.37,27.11,27.07,28.19,26.85,24.31
1965,22.48,25.81,28.81,29.21,31.64,29.90,28.39,27.37,27.42,28.35,27.04,23.16
1966,24.15,27.13,28.33,30.34,31.53,30.24,29.29,28.30,27.16,27.72,27.14,24.42
1967,24.47,25.72,27.82,29.34,30.90,29.86,28.08,27.29,26.95,27.89,26.52,22.65
1968,22.83,26.03,27.30,29.04,30.33,29.72,28.43,28.62,28.00,28.75,27.94,25.65
1969,26.19,28.39,30.36,31.38,32.41,31.26,28.49,27.31,27.71,28.13,27.09,24.76
1970,24.98,27.37,29.00,31.13,31.31,30.96,28.79,27.58,27.63,29.68,27.57,25.11
1971,24.38,26.05,27.44,30.06,30.59,29.95,27.92,26.73,27.38,28.37,26.59,24.44
1972,24.18,25.73,27.85,29.13,30.42,29.84,28.97,28.49,28.47,29.39,27.92,24.38
1973,24.60,26.60,28.75,31.04,31.36,30.71,28.75,27.54,28.18,28.99,27.57,23.41
1974,23.64,25.64,27.36,29.04,30.51,30.08,27.87,27.04,27.35,27.91,26.07,24.08
1975,24.29,25.92,27.47,29.62,30.47,30.41,27.55,27.38,26.97,28.75,25.56,24.55
1976,23.02,25.63,27.55,29.89,29.90,29.64,28.31,27.68,27.77,28.04,26.84,23.81
1977,24.77,26.79,29.18,30.26,30.42,30.49,28.84,28.09,27.71,28.86,26.68,25.57
1978,25.69,26.66,28.30,29.95,31.25,29.80,28.13,27.72,27.45,28.36,26.57,24.27
1979,25.07,27.06,28.27,30.87,31.05,29.99,28.76,28.01,28.38,29.00,27.74,25.26
1980,25.15,26.63,28.75,31.22,31.42,29.99,28.83,27.59,28.15,29.07,27.41,23.95
1981,24.36,26.23,29.50,31.16,31.19,30.20,28.39,27.56,27.86,29.17,27.67,24.62
1982,24.03,25.35,28.04,29.94,30.54,30.41,28.77,27.64,28.24,28.59,26.86,23.39
1983,25.10,27.47,30.18,30.65,32.09,29.69,28.96,28.75,28.81,29.83,28.05,24.56
1984,24.47,26.02,28.23,30.08,31.91,29.90,28.42,28.71,28.36,28.84,27.14,24.43
1985,24.20,27.40,28.74,29.73,30.77,29.99,28.01,27.67,27.64,29.31,27.49,23.91
1986,23.22,25.98,27.59,31.06,31.28,30.44,28.88,27.91,27.11,28.89,26.24,23.95
1987,24.48,26.65,28.58,30.80,32.32,30.99,29.75,28.44,28.17,28.64,27.88,25.30
1988,23.51,26.73,29.66,30.98,31.83,30.45,28.55,27.42,27.64,29.03,26.82,23.90
1989,24.33,26.84,28.28,29.96,30.90,30.28,28.12,27.23,27.91,28.73,27.38,25.21
1990,23.80,27.84,30.20,30.66,31.95,30.45,28.64,28.08,28.52,29.37,27.68,24.37
1991,24.84,26.39,28.48,30.12,30.57,30.66,29.08,27.79,28.06,28.78,28.07,26.54
1992,25.38,26.45,28.53,29.92,30.99,30.71,28.31,27.93,28.24,29.06,27.32,25.52
1993,25.10,26.81,28.99,30.76,32.37,30.69,28.94,28.07,28.14,29.05,27.02,24.68
1994,23.31,26.73,28.66,30.68,31.23,30.01,28.56,27.36,27.70,28.37,27.59,25.09
1995,24.05,27.09,28.20,29.83,31.37,31.04,29.28,27.87,27.62,29.23,27.96,25.02
1996,26.05,28.14,28.70,30.62,30.90,30.86,29.11,28.09,28.41,29.21,27.52,25.66
1997,25.85,28.53,28.40,30.13,31.75,30.25,29.59,28.45,28.21,29.55,28.74,25.08
1998,25.54,29.59,30.39,32.03,32.69,31.43,28.94,28.11,28.00,29.61,27.99,25.60
1999,24.15,25.64,28.56,30.54,31.35,30.87,28.59,27.59,27.90,28.47,28.02,25.13
2000,25.83,27.10,29.84,31.78,31.44,29.98,28.55,27.62,28.17,28.05,26.74,24.95
2001,25.32,27.46,29.64,30.75,31.38,30.37,28.81,28.56,28.46,29.42,28.09,26.99
2002,25.49,27.26,28.57,30.17,31.76,30.74,29.32,28.87,28.89,29.59,28.16,26.27
2003,25.20,26.83,30.08,31.64,32.32,30.40,28.80,27.98,27.99,29.13,27.96,25.77
2004,25.18,27.33,29.25,30.65,32.03,30.81,28.59,28.15,28.35,29.92,28.63,26.26
2005,25.48,26.27,29.98,31.30,32.38,31.07,28.88,28.62,28.21,29.61,28.12,26.87
2006,25.51,26.65,29.80,30.79,31.21,30.89,29.39,28.39,28.20,29.90,28.49,24.76
2007,25.64,27.94,29.67,30.79,32.20,30.58,28.86,27.86,28.10,29.81,27.80,25.07
2008,24.67,27.80,30.00,31.49,32.62,30.79,28.65,27.71,28.37,28.98,28.05,25.38
2009,23.39,26.31,28.55,30.96,31.89,30.85,29.23,28.05,27.96,29.50,27.74,25.97
2010,26.10,28.80,31.00,31.65,32.76,31.14,29.01,28.20,27.80,29.08,27.99,26.57
2011,25.53,26.22,29.26,31.12,31.46,30.76,29.50,28.23,28.59,29.72,28.27,25.02
2012,25.00,26.16,29.38,30.89,31.91,31.03,28.67,27.90,28.12,29.55,29.07,24.94
2013,24.56,27.45,30.32,30.22,32.57,31.15,29.38,27.74,28.39,29.43,27.97,25.54
2014,25.40,26.08,28.37,31.17,31.11,31.29,30.02,28.18,28.41,30.06,27.98,25.54
2015,25.08,27.21,28.71,31.29,32.13,31.46,29.74,28.47,29.60,29.42,28.48,25.04
2016,26.66,27.60,29.16,31.47,31.80,30.81,28.88,28.44,28.29,30.19,28.74,26.44
2017,25.33,27.48,30.88,31.98,31.97,31.00,29.29,28.44,29.11,30.36,28.50,24.69
2018,24.76,25.57,30.50,30.69,31.09,30.80,29.07,28.39,28.23,29.20,28.12,25.96
2019,24.31,26.58,28.51,30.19,31.24,30.25,29.86,28.85,28.65,29.48,28.62,26.14
2020,25.87,29.47,30.17,32.36,32.46,31.59,28.91,28.67,28.20,29.50,27.96,26.42
