Variable:,tas
Country:,"Sierra Leone"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.10,28.45,28.72,28.32,26.95,26.47,25.47,25.21,26.14,26.18,26.01,26.07
1902,26.47,27.83,28.00,27.98,27.43,27.12,25.77,25.68,25.46,26.60,26.77,25.25
1903,25.57,27.69,28.31,27.92,27.20,26.05,25.02,24.51,25.41,26.66,26.37,25.42
1904,25.08,26.56,27.57,27.49,27.11,26.28,24.90,24.73,25.80,26.27,26.55,25.73
1905,25.78,27.16,28.18,28.29,27.28,25.70,25.26,24.94,25.56,25.93,26.19,26.09
1906,26.23,27.50,29.23,28.48,27.05,25.94,24.71,24.58,25.50,25.96,26.30,24.81
1907,25.20,26.95,28.10,27.63,26.61,25.50,24.83,24.51,25.36,25.77,26.35,25.65
1908,25.94,27.23,28.32,28.21,27.25,26.33,25.24,24.65,25.64,26.15,26.49,25.96
1909,25.43,27.47,28.65,27.71,26.66,25.51,25.18,24.95,25.69,26.24,26.38,25.65
1910,24.70,27.89,28.59,28.36,27.46,26.68,24.85,24.71,25.96,26.32,26.91,26.17
1911,25.39,27.39,27.60,28.18,26.49,25.43,25.10,24.61,25.83,26.40,26.43,25.76
1912,25.78,28.06,28.99,28.35,27.64,26.67,25.39,24.95,25.70,26.30,26.62,25.88
1913,26.07,27.23,27.48,27.91,26.48,26.92,25.27,24.89,25.59,26.23,26.77,25.98
1914,25.82,26.91,28.02,27.98,27.47,25.88,24.99,24.49,25.40,26.26,26.24,25.55
1915,26.08,27.40,27.69,28.11,26.80,27.08,25.56,25.05,25.90,27.06,26.76,26.65
1916,26.12,27.41,27.55,26.98,26.67,26.13,24.58,24.95,25.50,26.41,26.24,25.53
1917,26.44,26.66,28.14,27.78,26.98,26.16,25.86,24.82,25.40,26.12,25.82,25.56
1918,26.07,27.68,28.02,27.38,27.11,26.17,24.64,24.52,26.13,26.22,26.30,25.22
1919,26.02,28.24,27.93,26.83,26.09,26.17,24.72,24.78,25.26,26.18,27.08,26.12
1920,26.12,27.35,27.56,27.55,26.84,26.07,24.62,24.54,25.30,26.12,25.91,25.64
1921,25.45,26.81,27.11,27.38,25.89,25.28,24.92,24.83,25.84,26.50,25.90,25.28
1922,25.57,27.21,27.40,26.23,26.36,25.64,24.73,24.59,25.15,25.86,26.28,25.52
1923,25.23,27.09,27.01,27.53,26.53,25.99,25.29,24.95,25.60,26.36,26.59,26.27
1924,25.02,25.87,28.00,27.50,27.33,25.53,24.72,24.55,24.85,25.51,25.98,24.72
1925,23.79,26.77,27.01,27.64,27.77,26.13,25.24,24.53,24.96,25.34,26.04,26.17
1926,25.79,27.07,27.64,27.32,26.97,25.93,24.75,25.04,25.51,26.11,25.80,26.09
1927,23.63,26.56,27.07,27.73,26.24,25.18,24.79,24.10,25.20,25.58,25.99,25.44
1928,24.45,25.81,26.77,26.71,26.09,25.85,24.89,23.99,24.95,25.12,25.41,25.21
1929,24.70,26.37,26.77,27.48,26.13,24.33,24.37,23.82,24.81,25.67,25.78,24.54
1930,24.16,25.88,25.90,26.95,25.83,25.03,24.92,24.18,25.36,25.81,26.26,25.55
1931,25.36,26.74,27.80,28.00,26.76,25.58,24.52,24.92,24.76,26.17,26.31,25.91
1932,24.82,26.80,27.25,27.90,26.86,26.32,24.61,24.64,25.57,26.42,26.36,24.62
1933,25.62,26.66,27.55,28.10,27.62,25.62,24.96,25.21,25.77,25.79,25.83,24.72
1934,24.73,26.44,27.20,27.92,27.13,26.07,25.27,24.82,25.77,25.86,26.20,25.17
1935,25.38,26.60,27.02,27.68,27.37,25.72,24.93,24.29,25.61,25.58,25.72,25.66
1936,25.84,26.67,27.56,27.72,26.17,25.82,24.65,24.27,25.42,26.33,25.92,26.18
1937,25.56,27.43,27.63,27.10,26.79,26.36,25.00,24.46,25.38,25.96,26.81,26.34
1938,25.59,28.09,27.68,28.00,27.55,26.66,24.82,24.74,25.31,25.86,26.32,25.23
1939,25.83,26.01,27.37,28.04,26.88,26.72,25.45,24.95,25.60,25.79,26.14,25.99
1940,25.58,26.35,27.97,27.54,27.61,26.92,25.51,24.88,26.10,25.64,25.89,25.22
1941,25.86,27.01,27.92,28.01,27.38,26.30,25.65,25.63,25.88,27.11,26.83,25.68
1942,24.98,26.66,28.09,28.30,27.22,26.43,25.21,24.40,26.17,26.42,26.88,25.17
