Variable:,tas
Country:,"San Marino"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.88,-2.57,3.34,7.83,11.74,17.14,18.74,18.53,14.73,10.13,4.33,2.33
1902,1.63,2.93,4.23,9.43,9.03,14.74,19.23,18.33,15.13,9.63,4.33,1.12
1903,0.33,2.63,5.03,5.13,12.04,14.74,18.23,18.83,15.13,10.43,5.63,2.53
1904,1.42,2.73,4.73,8.93,13.43,17.54,20.63,19.13,13.03,9.63,4.13,1.63
1905,-1.78,0.43,4.63,7.53,11.34,16.14,20.64,18.84,15.93,6.63,5.73,2.33
1906,0.42,0.73,3.63,7.24,11.94,15.94,18.73,19.13,13.43,10.83,6.84,0.03
1907,-1.28,0.03,1.93,5.93,12.84,16.44,17.53,19.23,15.33,12.14,5.93,2.63
1908,0.42,1.73,2.53,5.53,14.24,17.44,18.24,17.63,13.33,10.23,3.83,1.12
1909,-1.08,-1.77,2.54,8.63,12.03,14.84,17.14,18.43,14.04,11.03,4.53,3.33
1910,1.33,2.64,4.43,7.33,11.04,16.04,16.94,17.93,12.83,10.63,3.93,3.93
1911,-0.28,0.53,4.33,7.23,11.94,15.54,19.83,20.03,15.93,10.23,7.64,3.33
1912,1.82,4.04,6.03,6.13,12.54,16.14,18.64,16.73,11.03,8.73,2.83,2.63
1913,1.42,0.63,5.44,7.34,11.94,16.34,16.23,17.23,14.53,11.13,6.93,1.53
1914,-1.28,3.52,4.83,9.13,11.64,14.84,17.54,18.33,13.73,8.83,5.03,3.13
1915,0.43,1.04,3.53,7.33,13.84,17.04,18.33,17.43,12.83,7.93,3.73,4.43
1916,2.13,2.23,5.34,8.13,13.04,15.64,18.34,17.93,12.73,9.63,6.63,3.53
1917,0.43,-0.27,2.43,5.63,13.64,17.84,18.74,19.04,16.53,9.34,4.73,0.13
1918,0.93,1.83,3.93,7.64,12.74,14.14,18.53,17.83,16.33,8.73,4.43,2.53
1919,2.43,1.03,4.43,6.63,10.43,16.43,16.63,19.43,15.93,8.03,3.84,1.73
1920,3.13,3.53,6.33,8.54,15.53,15.74,19.54,17.63,15.24,9.53,4.63,3.03
1921,3.43,1.93,5.23,6.83,13.44,15.64,20.04,19.14,15.43,12.13,4.53,1.32
1922,-0.28,1.33,5.74,6.93,13.83,17.04,18.64,19.83,13.23,8.83,3.33,1.53
1923,0.73,2.33,4.63,7.33,13.44,13.64,20.03,20.23,14.44,11.54,7.03,1.33
1924,-0.38,0.73,3.63,8.13,14.34,16.64,19.23,16.53,15.64,10.13,5.43,3.23
1925,2.33,3.34,2.33,7.74,12.14,16.73,18.14,18.63,13.23,10.73,5.83,0.03
1926,0.23,4.74,4.73,8.84,10.74,14.34,17.63,18.03,16.73,11.33,9.83,1.93
1927,1.83,0.73,5.44,8.43,12.63,17.44,19.54,19.34,15.14,10.23,7.53,2.22
1928,2.02,2.73,3.83,8.43,10.13,16.54,21.93,20.83,15.03,10.13,6.43,0.83
1929,-2.08,-3.27,3.93,6.03,13.34,17.14,19.93,19.04,16.33,10.93,6.73,3.03
1930,2.53,1.33,5.54,8.14,11.34,18.04,18.54,18.33,15.64,9.73,7.34,2.43
1931,1.62,1.33,2.53,6.13,13.44,18.44,19.44,18.23,11.53,9.63,6.63,0.73
1932,2.22,-2.47,1.43,6.14,11.94,14.74,18.74,20.83,18.14,10.53,6.93,3.83
1933,0.22,1.13,4.53,7.43,10.63,13.24,18.93,19.23,14.63,10.53,5.33,-0.87
1934,1.12,2.33,5.34,9.54,13.93,15.64,19.13,17.84,15.93,9.83,6.14,4.83
1935,-1.18,1.73,3.23,7.03,10.34,18.24,19.43,18.13,15.13,11.53,6.93,1.83
1936,4.63,2.53,6.14,7.74,12.63,15.64,19.24,18.23,14.53,6.73,5.63,2.73
1937,0.92,3.63,4.44,7.33,13.44,17.34,18.93,18.13,14.33,10.43,5.63,1.23
1938,0.12,1.53,6.63,5.03,10.64,18.14,19.23,18.33,14.23,11.13,7.63,1.13
1939,2.93,3.83,1.73,9.54,9.84,16.14,18.94,18.74,14.33,9.33,6.93,1.02
1940,-2.28,0.13,3.43,7.63,11.63,15.14,17.54,16.93,15.03,10.23,7.23,-2.17
1941,0.12,1.93,4.53,6.83,9.84,16.64,19.34,18.13,13.73,9.23,4.33,0.83
1942,-3.38,-0.37,5.03,7.43,12.84,16.94,19.13,19.03,17.63,12.43,5.13,3.43
1943,-0.58,3.63,5.63,9.23,12.84,15.84,19.13,20.93,17.03,12.03,4.63,3.33
1944,1.82,0.03,1.73,8.83,12.14,15.54,18.63,21.04,14.73,9.63,4.53,0.63
1945,-2.78,2.33,5.43,9.23,14.44,18.44,21.03,18.84,15.43,9.93,5.23,2.03
1946,0.32,2.63,4.83,9.74,12.34,16.34,20.24,19.84,17.04,9.03,5.73,-0.07
1947,-2.78,1.13,5.14,9.84,13.94,17.94,20.63,20.23,16.84,10.33,6.83,1.23
1948,3.03,1.23,6.63,8.73,13.04,15.64,16.73,18.73,15.43,11.53,6.63,1.82
1949,2.83,2.73,2.23,10.33,12.04,15.73,18.93,18.53,16.63,12.03,5.93,2.73
1950,0.42,3.43,6.03,7.34,13.74,18.34,21.53,19.94,15.24,10.43,5.53,2.13
1951,3.22,3.93,3.73,7.83,11.54,16.64,18.63,19.43,16.63,9.23,7.63,2.43
1952,0.52,0.23,3.63,9.93,12.64,17.84,21.23,20.23,14.03,9.73,4.63,2.13
1953,-0.18,0.83,4.43,9.03,13.14,14.94,18.73,18.33,15.83,12.23,5.63,4.33
1954,-1.68,-0.47,5.43,6.93,11.14,17.04,17.43,17.63,16.23,9.93,6.03,3.43
1955,3.52,2.93,2.93,7.33,11.84,15.84,18.83,17.63,14.63,9.93,5.03,3.83
1956,2.12,-4.47,2.73,6.43,12.84,14.64,19.13,19.83,16.13,9.63,4.53,1.43
1957,1.12,3.83,5.73,7.84,10.44,17.14,19.13,18.43,14.53,10.73,6.63,2.13
1958,1.22,3.73,1.83,5.53,14.54,15.64,19.33,19.93,15.93,10.83,7.63,3.33
1959,1.12,3.03,6.43,8.13,11.94,16.24,20.13,18.33,14.33,9.33,6.53,4.03
1960,1.12,1.83,4.83,8.13,12.74,16.84,17.43,18.53,13.83,10.43,7.23,3.63
1961,1.43,3.53,5.73,10.13,12.04,16.74,18.03,18.73,16.63,11.53,7.03,2.03
1962,2.32,1.13,2.23,7.84,11.34,15.44,17.94,20.34,15.63,11.03,5.83,0.13
1963,-1.38,-0.87,3.03,8.53,12.34,15.94,19.74,18.53,15.33,10.03,9.13,1.43
1964,-0.97,1.43,4.04,8.33,13.03,17.64,19.23,18.23,14.83,10.33,6.53,2.53
1965,1.83,-0.47,4.13,6.53,11.23,15.84,18.34,17.43,13.84,9.93,6.73,3.03
1966,-0.78,4.93,4.23,9.04,12.54,17.14,17.74,17.73,15.33,13.03,4.63,1.83
1967,-0.08,1.83,5.53,7.33,12.54,14.84,19.73,19.13,15.13,11.43,7.23,1.63
1968,-0.48,3.63,4.83,9.23,12.54,15.44,18.53,16.93,14.73,10.83,6.53,1.23
1969,1.03,1.43,4.13,7.23,13.54,14.84,18.43,17.93,15.23,11.03,7.53,0.43
1970,2.73,1.93,3.23,6.93,10.54,16.94,18.33,18.63,15.93,9.63,7.23,1.73
1971,2.33,2.13,2.03,8.83,12.74,15.14,19.23,20.63,13.63,9.43,5.83,1.63
1972,2.32,4.43,6.33,7.84,11.54,15.84,18.43,17.63,12.43,8.73,6.13,2.93
1973,2.12,1.83,3.43,5.94,12.44,16.54,18.83,19.23,16.23,10.43,5.03,1.43
1974,3.52,4.63,5.33,7.23,11.64,15.04,18.53,19.73,15.03,7.03,5.63,2.23
1975,2.32,2.13,4.43,7.93,12.44,15.04,18.83,18.33,16.73,9.93,5.43,2.23
1976,1.12,2.93,2.83,7.53,12.44,16.84,18.83,16.03,13.23,10.73,6.53,2.73
1977,3.13,4.43,5.93,7.03,11.84,15.54,18.53,17.63,13.13,11.23,6.13,1.93
1978,2.32,1.73,4.93,6.63,10.64,15.54,17.63,17.73,14.23,9.93,3.73,2.73
1979,0.02,3.03,5.43,6.93,12.94,17.44,18.53,18.13,15.03,10.93,5.43,3.43
1980,1.12,2.63,4.83,6.13,10.34,14.84,17.33,19.43,15.53,10.33,5.13,0.53
1981,-0.68,0.53,5.43,8.64,11.94,16.54,17.93,18.63,15.63,11.13,4.03,2.83
1982,1.82,0.53,3.53,7.93,12.84,17.54,20.03,18.83,17.33,11.43,7.13,3.93
1983,1.52,0.03,4.63,8.53,12.24,16.04,21.03,18.73,15.73,10.63,4.93,2.13
1984,1.72,1.03,3.43,7.23,10.04,15.44,18.43,17.73,14.13,11.03,7.13,3.03
1985,-1.57,0.63,4.13,7.63,12.44,15.64,20.33,19.43,16.43,11.43,5.63,3.63
