Variable:,tas
Country:,Eswatini
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.25,23.69,21.33,20.87,17.04,14.70,14.43,16.85,18.32,19.09,20.79,22.53
1902,22.54,23.45,22.01,20.19,17.91,14.53,15.49,16.46,18.56,19.07,20.54,23.08
1903,23.85,23.42,22.07,20.06,18.30,14.59,14.89,17.02,18.11,19.63,20.55,22.54
1904,22.87,22.42,21.36,20.21,17.58,15.59,14.95,16.52,17.88,19.60,21.53,22.01
1905,23.41,22.66,20.98,20.28,17.40,14.84,15.07,16.14,18.86,20.51,20.90,22.98
1906,24.28,22.46,21.57,19.16,17.68,15.46,14.70,15.72,18.28,18.66,20.13,21.97
1907,22.71,22.76,22.18,19.02,16.96,14.64,14.15,16.20,18.34,18.72,20.10,21.54
1908,22.62,23.04,21.67,18.64,17.11,15.23,14.90,16.82,19.18,19.64,20.74,22.68
1909,22.98,22.23,21.06,19.47,17.25,15.18,15.29,16.98,18.19,19.41,20.56,22.39
1910,22.56,22.10,21.55,19.30,17.01,14.20,14.60,16.03,17.88,18.73,19.22,21.58
1911,22.66,23.11,21.14,18.97,16.18,13.47,14.04,15.47,17.65,20.52,20.86,23.68
1912,23.31,23.59,21.26,20.30,18.33,14.72,14.54,16.30,18.07,19.67,22.03,22.71
1913,23.65,23.65,21.45,20.02,17.89,15.26,15.59,17.19,18.55,19.70,21.32,23.10
1914,24.12,23.06,22.35,20.65,18.27,14.85,15.01,16.18,19.99,20.40,20.85,22.98
1915,24.28,23.35,22.07,20.16,16.95,14.92,14.62,16.55,18.40,19.52,20.92,22.19
1916,22.68,23.54,21.79,20.01,16.35,15.01,15.60,15.94,18.90,20.47,21.22,22.64
1917,22.97,22.72,21.99,19.52,17.32,15.10,14.39,15.12,17.66,19.53,20.42,21.74
1918,21.57,22.84,21.64,19.02,16.40,14.47,14.95,15.34,19.38,21.01,21.05,22.53
1919,23.38,23.04,22.04,20.92,16.58,15.43,15.38,16.15,17.98,20.01,20.10,22.46
1920,23.89,22.80,21.23,19.44,17.69,14.44,15.45,16.88,18.89,19.60,21.85,22.49
1921,22.81,23.26,22.33,19.32,16.63,15.40,13.74,15.78,18.14,19.86,20.46,22.03
1922,23.71,22.94,22.52,20.34,16.84,15.20,15.55,17.37,19.29,20.07,21.35,22.98
1923,23.05,22.96,22.44,19.62,17.26,15.11,15.40,16.88,19.25,21.32,22.55,22.35
1924,23.37,22.05,21.74,19.22,17.45,14.90,14.19,15.83,18.08,19.46,20.67,21.85
1925,22.67,23.61,21.86,20.12,16.97,14.77,14.71,16.85,17.88,19.47,21.47,23.51
1926,24.32,24.54,21.95,19.81,17.61,15.05,14.08,16.33,18.18,20.30,20.77,22.68
1927,23.82,23.42,21.95,20.47,17.25,14.76,15.35,16.48,19.48,20.15,21.52,22.71
