Variable:,tas
Country:,Chad
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.73,23.20,26.61,29.62,30.99,30.69,29.19,28.14,28.34,27.27,23.89,21.40
1902,20.72,23.20,26.64,29.62,31.01,30.70,29.17,28.15,28.35,27.26,23.88,21.37
1903,20.71,23.16,26.61,29.62,31.00,30.70,29.18,28.15,28.34,27.26,23.89,21.40
1904,20.74,23.18,26.63,29.61,31.00,30.70,29.18,28.16,28.35,27.26,23.88,21.38
1905,20.74,23.17,26.62,29.61,31.00,30.71,29.18,28.15,28.35,27.26,23.90,21.39
1906,20.74,23.20,26.62,29.61,31.01,30.71,29.18,28.14,28.34,27.26,23.89,21.40
1907,20.74,23.19,26.63,29.62,31.00,30.70,29.17,28.13,28.35,27.26,23.88,21.38
1908,20.73,23.18,26.63,29.62,31.00,30.70,29.17,28.14,28.34,27.26,23.88,21.39
1909,20.74,23.20,26.64,29.62,31.00,30.70,29.17,28.14,28.34,27.26,23.90,21.39
1910,20.69,23.21,26.49,29.59,31.00,30.72,29.14,28.14,28.31,27.23,23.82,21.30
1911,20.80,23.11,26.56,29.56,30.91,30.71,29.20,28.14,28.34,27.25,23.87,21.32
1912,20.67,23.14,26.56,29.54,30.98,30.71,29.18,28.13,28.33,27.21,23.86,21.32
1913,20.68,23.14,26.44,29.57,30.95,30.67,29.22,28.17,28.38,27.24,23.78,21.30
1914,20.81,23.18,26.63,29.55,30.97,30.74,29.19,28.14,28.35,27.26,23.90,21.39
1915,20.78,23.20,26.61,29.58,30.97,30.70,29.20,28.15,28.35,27.26,23.90,21.36
1916,20.59,23.17,26.58,29.61,30.94,30.67,29.15,28.12,28.31,27.17,23.87,21.32
1917,20.70,23.17,26.55,29.53,30.99,30.66,29.20,28.12,28.27,27.13,23.83,21.33
1918,20.64,23.13,27.13,29.53,30.92,30.68,29.55,28.11,28.74,27.54,24.38,22.12
1919,22.47,24.12,26.98,29.51,31.38,30.40,29.24,28.45,28.45,27.56,24.12,21.72
1920,20.79,22.85,25.74,29.26,30.40,30.48,28.82,27.38,27.44,26.88,24.01,21.22
1921,20.68,22.52,25.83,29.64,30.98,30.69,29.42,27.78,27.97,27.05,23.99,22.47
1922,21.17,22.80,25.68,29.37,30.31,30.47,28.50,27.01,27.41,26.77,24.21,21.45
1923,21.18,22.72,26.89,29.86,30.64,30.52,28.89,27.68,28.43,27.23,24.04,21.59
1924,21.65,24.18,27.82,30.08,30.70,30.74,29.35,27.68,27.57,27.16,23.88,21.97
1925,19.50,22.01,27.21,29.86,31.09,30.82,29.52,28.13,28.68,27.52,24.76,21.50
1926,20.89,23.29,26.27,29.29,31.57,30.93,29.67,28.87,28.96,27.49,24.45,21.93
1927,21.68,23.51,26.61,29.35,31.15,30.93,29.34,27.98,28.51,28.17,24.61,21.83
1928,22.52,23.53,27.58,29.83,31.07,30.52,29.59,27.91,28.56,27.33,24.14,22.00
1929,20.58,23.36,26.73,29.67,31.30,30.52,28.32,27.31,27.71,27.33,24.16,20.82
1930,20.32,23.91,26.29,29.72,30.98,30.46,28.82,28.06,28.63,27.64,23.93,22.52
1931,21.88,24.51,26.64,30.08,31.01,30.78,29.56,28.30,28.31,27.82,24.72,22.06
1932,21.28,23.96,27.27,29.92,30.94,30.81,29.72,28.25,28.37,27.67,24.47,21.46
1933,21.93,24.42,27.31,29.84,31.03,30.91,29.43,28.23,28.26,27.17,24.42,22.42
1934,21.05,22.69,27.07,30.03,31.13,30.64,29.62,28.12,28.69,28.02,24.64,21.92
1935,21.02,23.16,26.99,29.36,30.94,30.89,30.04,27.51,28.57,27.70,24.44,22.36
1936,20.78,23.69,27.47,30.11,32.02,30.90,29.08,27.81,28.12,27.70,25.06,22.39
1937,20.38,24.21,26.73,29.54,31.41,30.95,29.68,28.34,28.63,28.16,24.16,22.63
1938,21.88,24.35,26.42,31.00,31.69,30.56,29.22,27.83,28.41,27.57,24.93,23.08
1939,21.68,24.31,27.40,29.82,31.13,30.83,29.35,28.16,28.03,27.45,24.08,22.40
1940,21.50,23.38,25.69,29.67,30.71,31.05,29.33,28.30,28.58,27.76,23.75,22.16
1941,21.46,23.64,27.00,30.31,31.03,30.87,29.45,28.29,28.71,27.27,24.23,21.38
1942,21.60,24.74,26.50,29.62,30.80,30.91,28.83,27.66,28.54,27.27,24.18,21.83
1943,21.12,22.78,26.09,28.68,30.60,30.14,28.95,27.74,28.02,27.28,24.62,22.22
1944,20.74,23.20,27.01,29.29,30.34,30.88,29.24,28.15,28.21,27.42,23.72,21.59
1945,21.73,22.41,26.09,29.21,30.12,30.55,29.32,27.89,28.08,26.87,24.18,21.54
1946,21.16,23.45,26.41,29.34,30.84,30.23,28.49,27.31,27.77,27.05,24.31,21.79
1947,20.87,24.19,26.20,29.29,30.74,30.63,29.43,28.20,28.11,27.42,23.97,22.18
1948,20.73,23.27,25.56,29.88,30.94,30.19,29.17,27.70,28.22,26.74,23.38,20.86
1949,20.29,21.53,27.02,28.87,30.64,30.21,28.75,27.21,27.51,27.38,23.84,19.66
1950,20.39,22.07,25.60,28.87,30.25,30.01,27.91,26.45,28.09,26.63,23.23,21.00
1951,21.23,22.42,26.84,28.70,30.85,30.45,29.03,27.95,28.23,27.41,23.20,19.42
1952,21.44,22.92,26.18,29.47,31.21,30.61,28.98,26.74,27.76,26.93,23.49,21.74
1953,21.34,23.66,27.00,28.57,30.97,30.33,28.16,27.24,27.72,26.59,23.38,20.17
1954,20.52,24.46,26.89,29.66,30.40,29.83,28.10,26.68,27.17,26.44,24.49,20.89
1955,21.18,23.47,26.62,29.25,30.49,30.01,28.85,27.40,27.61,26.97,23.54,20.56
1956,19.70,24.37,27.10,28.65,30.19,30.12,28.17,26.93,27.73,25.99,24.37,20.97
1957,20.13,22.10,25.55,28.75,30.59,30.52,28.58,27.82,28.22,27.38,24.98,22.24
1958,21.61,22.11,26.88,30.14,30.53,30.44,28.45,27.66,28.09,26.94,24.84,22.77
1959,20.89,21.87,26.33,29.42,31.24,30.54,28.68,27.08,27.93,26.31,24.13,21.08
1960,20.53,22.96,26.35,29.56,30.29,30.60,28.56,28.10,27.94,27.15,23.69,23.55
1961,21.96,21.37,26.12,29.23,30.71,30.82,28.17,27.04,27.42,26.17,22.95,19.59
1962,19.55,22.80,27.17,29.42,30.43,30.11,29.10,27.32,27.95,27.27,25.32,22.12
1963,21.35,24.45,26.03,29.12,30.80,30.94,28.84,27.98,28.82,27.70,23.71,21.63
1964,20.91,22.62,27.16,29.63,30.57,30.60,28.42,27.15,27.36,26.11,23.32,21.39
1965,21.67,23.37,26.13,28.89,30.03,30.31,29.26,27.60,28.22,27.07,23.05,20.62
1966,21.46,22.30,26.28,29.22,30.89,30.01,29.64,28.16,28.70,27.41,24.44,21.09
1967,19.67,22.97,25.44,29.47,30.50,30.26,28.78,27.51,28.04,26.46,22.85,21.80
1968,20.61,22.69,26.15,28.70,30.18,29.92,28.65,28.35,28.29,27.07,24.20,22.11
1969,20.22,23.98,27.80,30.24,30.85,31.27,29.33,28.31,28.87,27.89,24.27,22.90
1970,21.74,23.23,26.07,29.41,31.08,30.61,29.25,27.97,27.87,26.89,23.67,20.69
1971,20.24,23.12,27.53,28.77,31.06,30.38,28.74,27.34,27.48,26.30,23.46,20.58
1972,21.18,23.31,26.99,29.71,31.01,30.50,29.65,28.62,28.95,27.81,23.01,21.76
1973,21.71,24.72,26.75,29.79,30.73,31.18,29.90,28.13,28.71,27.68,22.93,22.16
1974,20.30,23.32,26.61,30.16,30.50,30.60,28.25,27.70,27.74,27.46,23.88,20.13
1975,19.56,23.98,26.57,29.87,31.31,30.61,28.71,27.57,27.49,26.79,24.53,21.22
1976,20.98,23.82,26.56,29.44,31.20,30.60,29.21,28.14,28.24,27.95,24.22,22.34
1977,20.91,22.67,25.74,29.10,31.02,30.81,29.22,27.62,28.27,26.49,23.49,20.47
