Variable:,tas
Country:,Tonga
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.10,26.60,25.90,25.20,23.90,23.00,22.40,21.90,22.60,23.10,24.30,25.20
1902,26.00,26.70,26.00,25.10,23.90,23.00,22.30,21.90,22.50,23.20,24.40,25.30
1903,25.80,26.60,26.10,25.00,23.80,23.20,22.20,22.10,22.50,23.10,24.20,25.00
1904,25.70,26.40,25.70,24.90,23.70,23.00,22.10,21.90,22.50,23.20,24.40,25.20
1905,26.00,26.80,26.00,25.00,23.60,22.90,22.10,21.80,22.40,23.10,24.20,25.00
1906,26.20,26.80,26.10,25.20,23.80,23.00,22.20,22.00,22.60,23.20,24.20,25.10
1907,25.90,26.60,25.80,24.90,23.60,23.20,22.20,21.80,22.50,23.20,24.20,25.00
1908,25.90,26.50,25.80,25.00,23.70,23.20,22.00,22.10,22.40,23.10,24.20,25.10
1909,25.70,26.50,25.80,24.80,23.60,23.00,22.10,22.10,22.50,23.10,24.20,24.90
1910,25.80,26.50,25.70,24.90,23.60,22.80,22.30,22.10,22.60,23.00,24.20,25.00
1911,25.90,26.80,25.90,25.10,23.70,23.00,22.20,22.20,22.60,23.30,24.40,25.40
1912,26.40,26.80,26.20,25.20,23.90,23.10,22.30,22.10,22.70,23.30,24.40,25.20
1913,26.00,26.60,26.10,25.20,23.80,23.20,22.40,22.20,22.80,23.20,24.40,25.10
1914,26.10,26.90,26.20,25.30,24.10,23.30,22.30,22.20,22.70,23.30,24.30,25.20
1915,26.10,26.70,26.10,25.20,23.80,23.00,22.00,21.90,22.70,23.30,24.20,25.00
1916,25.90,26.60,25.80,24.90,23.60,23.00,22.30,22.20,22.60,23.10,24.10,25.00
1917,25.70,26.40,26.10,24.70,23.50,22.90,22.30,21.90,22.50,23.30,24.10,25.20
1918,25.80,26.40,25.80,24.90,23.70,23.20,22.20,22.00,22.60,23.30,24.40,25.20
1919,25.90,26.80,26.10,25.20,23.80,23.10,22.40,22.10,22.90,23.50,24.60,25.40
1920,26.30,26.80,26.10,25.20,24.00,23.10,22.50,22.10,22.90,23.20,24.40,25.10
1921,26.00,27.50,27.00,25.10,23.00,23.00,22.20,22.90,23.10,24.10,24.90,25.40
1922,26.10,26.80,26.60,25.40,24.20,23.40,22.60,23.10,23.70,23.80,24.80,25.80
1923,26.20,27.40,25.80,24.80,23.60,22.80,22.70,22.40,22.00,23.00,23.70,24.80
1924,26.00,26.60,26.50,25.00,24.60,23.50,23.00,22.70,23.10,23.70,25.00,25.30
1925,26.00,27.30,26.30,25.50,23.70,22.90,22.10,22.30,22.70,23.30,23.90,25.10
1926,26.20,26.80,26.10,25.10,23.90,22.90,22.40,22.20,23.30,23.30,24.40,24.90
1927,26.00,25.90,25.70,25.20,24.20,23.40,22.90,23.00,23.00,23.70,24.70,25.60
1928,26.10,26.50,26.40,25.20,24.00,22.50,21.90,22.10,22.90,23.30,24.40,25.40
1929,26.10,26.30,25.60,25.20,23.50,22.70,22.10,21.90,22.50,23.20,24.50,24.70
1930,26.30,26.70,26.10,25.20,24.00,22.10,22.00,21.60,21.90,23.20,24.40,24.70
1931,26.10,26.60,25.90,25.30,23.70,22.70,22.50,22.50,22.90,22.90,23.90,24.70
1932,26.00,26.60,25.80,24.90,24.30,22.50,23.00,22.40,22.70,23.50,24.50,26.10
1933,26.00,26.80,26.10,25.60,24.20,23.30,21.70,22.30,22.80,23.60,24.90,25.20
1934,25.90,26.90,25.90,25.10,23.70,23.50,22.70,22.00,22.90,23.50,24.70,24.90
1935,25.90,27.10,26.20,25.00,23.70,23.20,23.30,22.40,23.70,24.30,25.10,24.90
1936,26.10,26.90,26.50,25.40,24.10,22.20,22.70,22.00,22.80,23.50,24.50,25.30
1937,26.10,27.10,25.80,25.00,23.30,22.90,22.60,22.40,22.60,23.60,24.50,25.40
1938,26.10,26.70,25.60,25.20,24.00,23.70,23.70,23.10,23.70,23.90,24.60,25.80
1939,25.80,26.70,25.70,25.30,23.90,22.80,23.10,22.80,22.50,23.00,24.20,24.70
1940,26.20,27.30,26.20,24.70,24.00,22.70,21.60,21.80,22.70,23.20,24.30,24.90
1941,26.10,26.90,26.10,25.80,23.90,23.50,22.30,22.10,22.70,22.50,24.50,25.10
1942,25.90,27.00,26.20,25.20,24.30,23.40,22.60,22.40,22.70,23.00,23.90,25.10
1943,25.90,26.60,26.60,25.40,23.60,22.30,22.20,22.30,23.00,23.80,24.90,25.20
1944,25.70,26.30,26.30,25.30,23.90,23.10,22.00,21.90,22.90,23.20,23.80,24.90
1945,26.40,27.30,27.00,25.40,23.00,22.50,22.60,21.90,22.30,23.10,23.60,25.50
1946,26.10,26.30,25.70,25.50,24.00,23.40,21.90,22.30,22.80,23.70,24.50,25.60
1947,27.00,26.90,25.90,26.00,23.80,22.90,23.00,21.80,23.10,23.20,23.80,25.30
1948,26.30,25.90,25.60,25.20,24.10,22.90,22.10,22.10,22.80,23.40,24.40,24.40
1949,26.30,26.50,26.00,25.60,23.80,23.10,22.50,22.50,22.80,23.10,24.70,25.10
1950,25.70,26.80,25.30,25.20,23.60,23.80,22.40,22.70,22.70,23.90,25.20,25.60
1951,26.30,26.80,26.00,25.50,23.50,23.00,21.70,22.10,22.00,22.70,24.10,25.60
1952,26.70,26.90,26.10,25.00,24.30,23.70,22.90,22.50,22.50,23.10,24.70,25.70
1953,26.20,26.70,26.20,25.80,24.00,22.90,22.70,21.50,22.10,23.70,24.90,25.40
1954,26.30,26.30,25.80,25.40,24.80,23.40,23.00,22.40,23.40,23.80,24.40,25.60
1955,26.20,26.70,25.70,25.30,24.10,23.20,22.80,22.90,23.50,23.60,24.80,25.30
1956,25.40,26.20,25.30,25.00,24.50,23.00,22.50,22.20,23.10,24.10,24.80,25.50
1957,26.30,26.20,25.60,25.30,24.00,23.00,22.00,22.40,23.10,23.50,24.20,25.00
1958,25.90,26.80,26.60,25.30,24.00,23.00,22.60,22.40,22.40,23.40,24.00,24.60
1959,26.20,26.60,25.90,25.80,24.10,23.20,22.60,22.60,22.80,23.90,24.40,25.20
1960,26.00,26.40,25.80,25.30,23.90,23.40,22.20,22.20,23.30,23.30,24.80,25.10
1961,26.10,27.10,25.90,25.70,24.30,23.50,22.70,22.20,23.20,22.70,23.90,24.80
1962,25.70,26.40,26.00,25.30,24.00,22.80,22.30,22.00,22.50,23.60,24.10,24.70
1963,25.60,26.40,25.70,25.20,23.70,23.40,23.00,21.80,22.40,22.40,24.00,25.00
1964,26.10,26.60,25.80,25.10,23.70,23.30,22.40,22.70,22.70,23.50,24.40,24.60
1965,25.60,26.10,25.50,24.80,23.40,22.30,22.00,21.30,21.70,22.40,23.50,24.90
1966,26.40,26.30,26.20,25.20,23.80,22.60,22.30,21.40,22.40,22.80,23.90,24.90
1967,25.80,26.80,26.30,25.10,23.50,22.50,22.00,22.40,23.40,22.90,24.00,25.10
1968,26.10,26.60,25.70,24.70,23.50,23.80,22.80,21.80,22.30,23.20,24.20,25.40
1969,26.00,27.10,26.30,25.10,23.40,23.40,21.50,21.50,22.40,22.80,23.90,25.00
1970,26.10,26.70,26.00,25.10,24.30,23.70,22.80,22.10,22.70,23.40,24.20,24.40
1971,25.80,25.90,25.80,25.20,23.60,23.30,22.20,22.30,22.70,23.80,24.90,24.90
1972,25.30,26.00,25.80,25.30,23.70,22.90,22.10,22.00,22.50,23.00,24.20,25.30
1973,26.30,27.30,26.40,25.30,24.10,23.80,22.90,22.60,23.00,23.30,24.50,25.50
1974,26.20,26.50,25.40,24.60,23.60,23.30,23.00,22.10,23.30,23.90,25.00,25.40
