Variable:,tas
Country:,Turkey
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.92,2.41,7.26,10.69,14.10,19.70,22.35,22.20,17.46,12.16,5.66,3.99
1902,0.90,2.63,4.68,9.15,13.85,18.74,20.91,22.11,17.46,12.43,3.50,-0.34
1903,-1.24,0.88,4.18,10.57,14.60,18.41,21.55,21.63,17.19,12.93,6.49,1.94
1904,-2.99,3.05,4.02,8.26,13.22,17.71,21.68,21.76,17.83,13.47,6.08,0.93
1905,-2.54,-0.86,3.91,9.26,14.02,18.41,22.22,22.41,18.85,14.52,8.86,0.81
1906,-0.78,1.49,6.22,9.87,15.08,18.99,21.52,20.85,16.81,12.04,6.90,2.96
1907,-2.00,-0.95,2.95,8.21,15.24,18.79,21.94,21.56,16.89,13.16,4.48,1.23
1908,-1.59,1.13,3.81,8.74,14.54,18.75,21.21,21.85,18.18,11.63,4.42,-0.51
1909,-3.09,-0.62,5.40,8.58,15.14,17.68,22.47,22.11,20.01,14.33,8.27,3.06
1910,0.53,2.70,4.23,9.85,14.23,18.40,21.95,21.52,17.67,12.14,7.71,1.20
1911,-3.05,-3.69,2.66,8.63,14.43,17.51,21.53,21.68,17.21,12.11,7.68,1.26
1912,-1.26,2.07,6.13,8.39,12.48,18.33,20.14,20.74,18.49,11.49,6.79,1.72
1913,-1.50,-1.58,4.86,9.35,13.27,17.10,20.98,22.03,18.77,12.20,7.03,2.30
1914,-0.17,2.44,7.30,8.99,13.91,17.93,21.88,21.15,16.77,11.94,4.15,1.50
1915,3.70,2.03,5.33,9.47,12.84,17.94,21.91,20.86,17.10,12.92,7.18,3.97
1916,0.07,1.82,6.51,10.09,14.81,18.98,22.11,21.21,16.93,12.84,7.83,3.28
1917,1.18,-0.83,5.37,11.20,12.82,17.66,21.63,22.06,18.20,13.45,8.90,0.74
1918,0.32,0.67,4.28,8.93,13.42,17.33,21.18,21.19,19.83,16.23,7.05,2.39
1919,1.64,1.80,5.44,10.76,11.99,16.69,20.96,20.43,19.06,15.30,7.82,2.12
1920,0.45,-2.97,5.15,10.76,14.67,18.61,22.05,22.81,17.78,10.02,3.65,-1.07
1921,0.37,-2.25,3.47,9.18,15.55,17.82,21.77,22.41,16.34,11.15,5.75,0.25
1922,-0.44,0.73,6.40,10.06,14.80,18.39,22.64,21.73,17.81,13.32,6.93,1.63
1923,0.49,0.95,5.26,8.59,15.46,19.11,21.96,20.45,19.13,14.05,9.80,3.63
1924,-1.09,0.19,4.70,9.55,15.04,20.32,21.71,22.00,20.19,12.14,5.88,-0.61
1925,-2.22,2.51,6.76,9.13,14.72,17.14,21.47,21.94,18.81,12.76,8.37,2.68
1926,0.32,1.06,4.16,10.29,15.17,19.12,21.74,20.78,16.47,13.25,8.68,2.90
1927,-0.35,-2.58,6.08,9.77,14.70,19.73,22.12,22.77,19.91,15.29,7.75,-0.27
1928,-1.47,-2.29,1.06,11.20,14.68,17.90,22.29,21.05,18.75,11.78,8.74,1.98
1929,-2.16,-2.52,0.46,8.81,16.32,18.20,21.28,23.98,17.23,13.42,8.64,2.37
1930,0.74,1.16,6.35,10.75,14.43,17.60,22.25,22.75,18.45,13.02,7.85,3.51
1931,0.33,1.36,5.30,8.82,14.45,18.58,22.60,22.66,18.98,12.84,4.66,-0.67
1932,-2.26,-1.70,4.02,9.93,14.29,19.12,21.52,22.21,18.61,16.09,6.30,0.41
1933,-3.04,0.37,2.62,7.39,13.58,16.65,20.64,21.53,16.86,12.46,9.00,-0.38
1934,-1.96,-1.28,5.94,10.39,14.84,18.31,21.78,21.57,17.85,13.27,7.90,1.73
1935,-1.66,1.15,3.44,9.83,15.55,19.32,21.56,22.58,19.32,14.14,5.83,4.14
1936,1.97,2.34,5.91,10.89,13.35,17.38,22.42,22.45,16.65,13.15,7.47,0.09
1937,-3.29,1.71,7.63,10.70,14.59,17.87,23.03,22.51,20.61,13.72,8.57,3.83
1938,-0.37,-0.08,2.58,9.44,14.28,18.77,23.16,23.26,18.35,13.41,6.74,3.42
1939,1.75,0.96,4.04,10.18,15.87,18.37,22.27,21.58,18.13,14.51,6.26,2.88
1940,-1.58,2.05,3.40,10.32,13.16,18.30,22.35,22.05,18.05,13.51,8.51,2.75
1941,0.59,3.95,4.80,11.22,15.76,19.32,22.14,21.49,17.19,10.85,4.88,-2.27
1942,-3.05,1.45,2.77,8.72,15.15,20.01,21.80,21.90,18.10,12.87,6.93,0.65
1943,-0.92,-1.20,1.19,8.42,13.76,17.32,21.01,22.44,18.59,14.75,9.33,2.82
1944,-1.37,2.10,5.63,9.79,13.24,18.80,21.73,20.83,18.29,14.06,7.72,1.97
1945,-0.17,-1.67,2.27,8.25,15.66,17.95,22.02,22.61,18.79,12.04,6.77,1.24
1946,-1.16,1.01,4.20,9.67,14.31,18.87,21.74,22.70,19.86,10.81,8.62,2.03
1947,-1.56,1.78,8.19,11.34,15.13,19.34,22.69,21.73,17.70,11.67,7.98,4.21
1948,3.23,1.18,1.59,8.59,14.38,18.50,22.01,22.48,17.71,12.13,4.75,-1.86
1949,-2.18,-2.50,2.59,7.07,15.51,18.97,21.59,21.03,16.41,12.34,9.04,2.62
1950,-4.75,-1.51,4.20,12.68,14.76,18.05,21.87,21.31,19.61,11.88,7.30,3.68
1951,0.75,1.67,7.12,11.19,14.95,18.26,21.73,22.59,18.48,9.82,7.29,-0.50
1952,-0.13,2.01,3.73,10.31,13.68,17.38,21.79,22.98,20.76,14.98,7.65,4.65
1953,1.68,1.91,0.70,9.83,13.96,18.51,22.17,22.49,17.88,13.14,3.86,-3.11
1954,-3.16,-1.10,4.77,8.20,14.62,19.78,23.34,23.44,19.11,13.94,8.22,3.49
1955,2.42,5.50,5.94,9.43,15.26,20.07,22.15,21.43,18.72,15.34,7.49,2.74
1956,0.72,0.92,1.70,10.21,13.16,18.70,21.85,23.07,16.85,11.61,5.66,-1.04
1957,-3.10,1.51,4.98,10.63,13.54,18.91,22.29,23.38,19.84,14.07,7.05,2.17
1958,1.21,3.01,5.73,10.15,15.74,18.27,21.21,22.35,17.33,12.36,6.88,2.47
1959,1.39,-3.55,3.42,10.79,14.33,17.99,21.87,21.39,15.89,10.52,6.67,3.49
1960,1.50,1.32,4.30,9.46,15.75,18.16,21.78,21.10,18.54,14.85,9.00,4.83
1961,-0.30,0.59,3.74,11.24,15.61,19.17,22.13,22.51,16.36,12.72,7.72,3.46
1962,0.56,1.08,7.13,9.80,15.70,19.37,23.04,23.45,18.97,13.58,10.27,4.05
1963,2.15,3.70,2.98,9.33,13.07,18.23,21.96,22.60,18.87,13.64,7.79,2.06
1964,-4.79,-0.29,5.32,9.18,13.48,18.67,21.71,20.75,17.53,13.32,7.16,2.34
1965,-0.39,-0.26,5.31,8.61,13.97,19.30,21.86,22.05,18.70,9.94,6.60,3.30
1966,2.91,4.80,5.70,11.21,14.18,18.85,22.59,23.11,17.88,14.71,10.43,3.39
1967,-0.82,-2.69,3.06,8.78,14.16,17.16,20.99,21.85,17.60,12.93,6.14,2.55
1968,-1.71,0.26,3.96,11.84,16.48,17.87,22.16,20.41,17.82,12.80,7.98,2.91
1969,-0.68,0.67,5.41,7.94,15.47,19.66,20.39,22.20,18.58,12.31,6.78,3.90
1970,2.19,3.70,6.77,12.51,14.39,19.01,22.36,21.58,17.76,11.45,8.26,0.69
1971,1.84,1.03,5.69,9.18,15.26,18.36,21.81,21.31,19.00,10.98,7.06,0.29
1972,-4.66,-2.49,4.27,11.68,13.96,18.41,21.85,21.70,18.48,13.44,5.68,-0.37
1973,-2.12,3.05,4.03,9.37,15.10,17.67,21.84,21.57,18.89,13.55,4.08,1.02
1974,-3.50,0.21,5.94,8.32,14.74,19.47,21.57,20.90,17.03,15.62,7.17,1.33
1975,-1.03,-0.19,5.87,11.93,14.16,18.98,22.53,21.48,18.27,12.01,5.92,-0.85
1976,-1.33,-2.68,3.56,9.47,13.74,17.81,20.47,20.53,16.98,12.93,7.67,2.66
1977,-1.68,4.63,5.07,10.11,14.65,18.55,21.89,22.27,18.19,10.09,8.32,0.31
1978,0.49,3.77,6.01,9.38,14.90,18.05,22.56,20.62,17.48,13.53,4.47,2.98
1979,1.26,3.54,6.55,10.24,14.95,18.83,20.99,22.45,19.21,12.86,7.95,1.61
1980,-2.15,-0.16,4.02,8.93,14.21,19.05,23.22,21.68,16.97,12.99,7.81,3.05
1981,1.43,2.30,6.47,9.28,12.57,19.04,22.22,21.65,18.93,14.63,5.44,5.20
1982,0.89,-0.51,3.46,10.34,14.25,18.30,20.12,20.97,18.78,12.44,4.97,1.50
1983,-2.27,0.18,4.63,10.51,14.86,17.74,21.61,20.42,17.69,11.66,7.66,2.87
1984,1.90,2.15,5.41,8.76,14.83,18.62,21.44,19.65,19.18,13.13,6.71,-0.67
1985,1.51,-2.38,2.26,11.02,16.11,19.09,20.66,22.99,18.04,10.77,8.62,1.91
1986,1.37,2.42,5.35,11.84,12.51,18.30,22.51,23.38,19.60,12.48,4.52,0.95
1987,1.13,2.91,1.02,8.29,14.58,18.72,22.48,21.27,18.46,11.54,5.98,1.76
1988,-0.24,1.10,3.95,9.58,14.56,18.19,22.41,21.87,17.95,11.96,3.54,2.14
1989,-2.84,0.04,6.76,13.37,15.21,18.58,22.46,22.70,18.12,11.70,6.39,0.75
1990,-2.74,0.86,5.38,9.91,14.18,18.50,22.62,21.45,17.77,13.05,8.40,2.99
1991,-0.52,-0.36,5.62,10.36,13.07,18.94,22.10,22.21,18.09,13.67,7.06,-0.37
1992,-3.19,-3.03,2.47,9.56,13.35,17.72,20.11,22.14,17.04,14.39,5.75,-0.84
1993,-2.09,-1.31,3.93,9.47,13.24,18.41,21.75,22.20,18.35,14.00,4.05,2.96
1994,2.25,1.07,5.42,12.00,15.42,18.67,22.23,22.27,21.01,15.00,5.94,-0.40
1995,0.80,3.00,5.64,9.19,15.60,19.89,21.45,22.28,18.38,11.78,4.58,1.51
1996,-0.02,2.32,3.66,8.50,16.30,18.90,23.11,22.36,17.55,11.76,7.68,4.96
1997,1.14,-0.37,2.20,7.49,15.79,19.02,21.92,20.88,16.41,12.87,7.07,2.53
1998,-0.16,0.75,3.55,11.62,14.80,19.90,23.19,23.94,18.82,14.11,9.11,3.23
1999,2.03,2.54,5.52,10.73,15.80,19.55,23.12,23.34,18.56,13.89,6.87,3.85
2000,-2.16,-0.00,3.45,11.84,14.77,19.50,24.35,22.67,18.82,12.41,7.91,2.50
2001,1.27,2.81,9.38,11.20,14.17,20.00,23.95,23.64,19.83,13.36,6.29,2.07
2002,-2.56,3.40,6.84,9.24,14.56,19.47,23.22,21.99,18.68,13.97,7.91,-1.22
2003,2.51,-0.79,2.36,9.01,16.49,19.78,22.59,23.29,18.03,14.45,6.84,1.75
2004,-0.07,1.27,6.20,9.96,14.26,19.02,22.24,22.30,18.82,14.48,6.89,0.82
2005,0.70,0.69,5.08,10.72,15.16,18.60,23.36,23.50,18.58,11.95,6.17,3.21
2006,-1.66,1.09,6.20,11.30,15.17,20.37,22.23,24.54,18.65,13.71,5.71,0.39
2007,-0.64,1.47,5.58,8.38,16.88,20.65,23.68,23.71,19.63,14.64,6.65,1.08
2008,-3.45,-0.74,8.47,12.68,14.35,20.07,23.20,24.25,19.16,13.55,8.27,1.30
2009,0.30,3.01,4.92,9.69,14.89,20.03,22.49,21.81,17.68,15.04,7.37,4.76
2010,2.47,4.41,7.35,10.79,15.89,19.94,23.48,24.69,20.65,13.47,10.09,5.07
2011,1.08,1.67,5.20,9.34,13.91,18.85,23.47,22.65,19.52,11.90,3.41,1.69
2012,-0.84,-1.67,3.11,12.19,15.55,20.99,23.77,23.15,20.13,15.44,9.20,3.05
2013,1.11,3.80,6.85,11.59,16.96,19.86,22.21,22.95,18.45,11.65,8.33,-0.80
2014,1.78,3.73,7.29,11.60,15.18,19.11,23.23,24.12,18.92,13.31,6.79,4.75
2015,0.40,2.46,5.75,9.19,15.17,18.49,22.90,22.15,21.20,14.31,8.26,0.79
2016,-0.00,5.35,7.11,12.99,14.78,20.34,23.21,24.08,18.53,13.79,6.48,-0.88
2017,-1.99,0.67,6.53,10.17,14.83,19.78,23.96,23.76,21.04,13.05,7.18,4.09
2018,2.09,4.88,8.94,13.02,16.30,19.83,23.41,23.49,19.99,14.60,8.16,3.08
2019,1.04,2.90,5.79,9.43,16.45,20.81,22.17,23.24,19.37,15.78,8.90,3.93
2020,0.63,2.46,7.53,10.32,15.40,19.37,23.75,23.08,21.72,16.42,7.51,4.22
